x,y,z,r,g,b
-0.875,-0.625,-0.875,13,3,3
-0.875,-0.625,-0.625,13,3,3
-0.875,-0.625,-0.375,13,3,3
-0.875,-0.625,-0.125,13,3,3
-0.875,-0.625,0.125,13,3,3
-0.875,-0.625,0.375,13,3,3
-0.875,-0.625,0.625,13,3,3
-0.875,-0.625,0.875,13,3,3
-0.625,-0.625,-0.875,172,59,51
-0.625,-0.625,-0.625,172,59,51
-0.625,-0.625,-0.375,172,59,51
-0.625,-0.625,-0.125,172,59,51
-0.625,-0.625,0.125,172,59,51
-0.625,-0.625,0.375,172,59,51
-0.625,-0.625,0.625,172,59,51
-0.625,-0.625,0.875,172,59,51
-0.375,-0.625,-0.875,205,61,53
-0.375,-0.625,-0.625,205,61,53
-0.375,-0.625,-0.375,205,61,53
-0.375,-0.625,-0.125,205,61,53
-0.375,-0.625,0.125,205,61,53
-0.375,-0.625,0.375,205,61,53
-0.375,-0.625,0.625,205,61,53
-0.375,-0.625,0.875,205,61,53
-0.125,-0.625,-0.875,93,23,22
-0.125,-0.625,-0.625,93,23,22
-0.125,-0.625,-0.375,93,23,22
-0.125,-0.625,-0.125,93,23,22
-0.125,-0.625,0.125,93,23,22
-0.125,-0.625,0.375,93,23,22
-0.125,-0.625,0.625,93,23,22
-0.125,-0.625,0.875,93,23,22
0.125,-0.625,-0.875,73,20,16
0.125,-0.625,-0.625,73,20,16
0.125,-0.625,-0.375,73,20,16
0.125,-0.625,-0.125,73,20,16
0.125,-0.625,0.125,73,20,16
0.125,-0.625,0.375,73,20,16
0.125,-0.625,0.625,73,20,16
0.125,-0.625,0.875,73,20,16
0.375,-0.625,-0.875,207,74,65
0.375,-0.625,-0.625,207,74,65
0.375,-0.625,-0.375,207,74,65
0.375,-0.625,-0.125,207,74,65
0.375,-0.625,0.125,207,74,65
0.375,-0.625,0.375,207,74,65
0.375,-0.625,0.625,207,74,65
0.375,-0.625,0.875,207,74,65
0.625,-0.625,-0.875,173,45,40
0.625,-0.625,-0.625,173,45,40
0.625,-0.625,-0.375,173,45,40
0.625,-0.625,-0.125,173,45,40
0.625,-0.625,0.125,173,45,40
0.625,-0.625,0.375,173,45,40
0.625,-0.625,0.625,173,45,40
0.625,-0.625,0.875,173,45,40
0.875,-0.625,-0.875,26,6,6
0.875,-0.625,-0.625,26,6,6
0.875,-0.625,-0.375,26,6,6
0.875,-0.625,-0.125,26,6,6
0.875,-0.625,0.125,26,6,6
0.875,-0.625,0.375,26,6,6
0.875,-0.625,0.625,26,6,6
0.875,-0.625,0.875,26,6,6
-0.875,-0.375,-0.875,103,28,22
-0.875,-0.375,-0.625,103,28,22
-0.875,-0.375,-0.375,103,28,22
-0.875,-0.375,-0.125,103,28,22
-0.875,-0.375,0.125,103,28,22
-0.875,-0.375,0.375,103,28,22
-0.875,-0.375,0.625,103,28,22
-0.875,-0.375,0.875,103,28,22
-0.625,-0.375,-0.875,252,121,110
-0.625,-0.375,-0.625,252,121,110
-0.625,-0.375,-0.375,252,121,110
-0.625,-0.375,-0.125,252,121,110
-0.625,-0.375,0.125,252,121,110
-0.625,-0.375,0.375,252,121,110
-0.625,-0.375,0.625,252,121,110
-0.625,-0.375,0.875,252,121,110
-0.375,-0.375,-0.875,245,75,63
-0.375,-0.375,-0.625,245,75,63
-0.375,-0.375,-0.375,245,75,63
-0.375,-0.375,-0.125,245,75,63
-0.375,-0.375,0.125,245,75,63
-0.375,-0.375,0.375,245,75,63
-0.375,-0.375,0.625,245,75,63
-0.375,-0.375,0.875,245,75,63
-0.125,-0.375,-0.875,231,61,52
-0.125,-0.375,-0.625,231,61,52
-0.125,-0.375,-0.375,231,61,52
-0.125,-0.375,-0.125,231,61,52
-0.125,-0.375,0.125,231,61,52
-0.125,-0.375,0.375,231,61,52
-0.125,-0.375,0.625,231,61,52
-0.125,-0.375,0.875,231,61,52
0.125,-0.375,-0.875,232,73,61
0.125,-0.375,-0.625,232,73,61
0.125,-0.375,-0.375,232,73,61
0.125,-0.375,-0.125,232,73,61
0.125,-0.375,0.125,232,73,61
0.125,-0.375,0.375,232,73,61
0.125,-0.375,0.625,232,73,61
0.125,-0.375,0.875,232,73,61
0.375,-0.375,-0.875,247,89,77
0.375,-0.375,-0.625,247,89,77
0.375,-0.375,-0.375,247,89,77
0.375,-0.375,-0.125,247,89,77
0.375,-0.375,0.125,247,89,77
0.375,-0.375,0.375,247,89,77
0.375,-0.375,0.625,247,89,77
