CHTML Profiling Output
Format: Cycle,IPC_Time(μs),UI_Time(μs),Redraw_Time(μs)
1,3,0,0
2,4,0,0
3,2,0,0
4,5,0,0
5,3,0,0
6,3,0,0
7,2,0,0
8,3,0,0
9,3,0,0
10,4,0,0
11,4,0,0
12,3,0,0
13,3,0,0
14,4,0,0
15,3,0,0
16,2,0,0
17,2,0,0
18,2,0,0
19,2,0,0
20,2,0,0
21,2,0,0
22,2,0,0
23,3,0,0
24,3,0,0
25,4,0,0
26,3,0,0
27,3,0,0
28,2,0,0
29,3,0,0
30,5,0,0
31,2,0,0
32,2,0,0
33,2,0,0
34,2,0,0
35,2,0,0
36,2,0,0
37,1,0,0
38,58,6,0
39,2,0,0
40,2,0,0
41,2,0,0
42,2,0,0
43,2,0,0
44,1,0,0
45,2,0,0
46,2,0,0
47,2,0,0
48,2,0,0
49,2,0,0
50,2,0,0
51,2,0,0
52,1,0,0
53,33,4,0
54,2,0,0
55,3,0,0
56,2,0,0
57,2,0,0
58,3,0,0
59,4,0,0
60,4,0,0
61,3,0,0
62,3,0,0
63,4,0,0
64,2,0,0
65,3,0,0
66,2,0,0
67,4,0,0
68,5,0,0
69,2,0,0
70,2,0,0
71,2,0,0
72,2,0,0
73,2,0,0
74,2,0,0
75,2,0,0
76,2,0,0
77,2,0,0
78,2,0,0
79,2,0,0
80,2,0,0
81,2,0,0
82,3,0,0
83,1,0,0
84,34,4,0
85,27,2,0
86,29,2,0
87,2,0,0
88,1,0,0
89,38,4,0
90,43,4,0
91,3,0,0
92,2,0,0
93,35,3,0
94,44,4,0
95,28,2,0
96,1,0,0
97,1,0,0
98,43,4,0
99,29,2,0
100,2,0,0
101,1,0,0
102,33,4,0
103,30,3,0
104,30,2,0
105,2,0,0
106,2,0,0
107,1,0,0
108,32,4,0
109,2,0,0
110,2,0,0
111,2,0,0
112,2,0,0
113,2,0,0
114,3,0,0
115,2,0,0
116,2,0,0
117,2,0,0
118,2,0,0
119,2,0,0
120,2,0,0
121,2,0,0
122,3,0,0
123,3,0,0
124,2,0,0
125,3,0,0
126,2,0,0
127,3,0,0
128,2,0,0
129,2,0,0
130,2,0,0
131,3,0,0
132,2,0,0
133,2,0,0
134,3,0,0
135,3,0,0
136,4,0,0
137,2,0,0
138,35,4,0
139,34,3,0
140,3,0,0
141,1,0,0
142,45,5,0
143,38,4,0
144,33,3,0
145,2,0,0
146,1,0,0
147,34,4,0
148,33,2,0
149,3,0,0
150,3,0,0
151,2,0,0
152,2,0,0
153,4,0,0
154,4,0,0
155,4,0,0
156,2,0,0
157,2,0,0
158,2,0,0
159,3,0,0
160,3,0,0
161,4,0,0
162,2,0,0
163,2,0,0
164,2,0,0
165,2,0,0
166,2,0,0
167,2,0,0
168,2,0,0
169,2,0,0
170,2,0,0
171,3,0,0
172,2,0,0
173,2,0,0
174,4,0,0
175,3,0,0
176,2,0,0
177,2,0,0
178,2,0,0
179,2,0,0
180,1,0,0
181,2,0,0
182,2,0,0
183,1,0,0
184,2,0,0
185,2,0,0
186,2,0,0
187,3,0,0
188,2,0,0
189,2,0,0
190,2,0,0
191,2,0,0
192,2,0,0
193,2,0,0
194,3,0,0
195,2,0,0
196,2,0,0
197,1,0,0
198,2,0,0
199,3,0,0
200,2,0,0
201,4,0,0
202,3,0,0
203,2,0,0
204,3,0,0
205,3,0,0
206,3,0,0
207,6,0,0
208,6,0,0
209,5,0,0
210,6,0,0
211,4,0,0
212,27,0,0
213,4,0,0
214,5,0,0
