# 3D Voxel Map Format
# x,y,z,type
# where type: 0=empty, 1=solid, 2=player_start, 3=goal, 4=obstacle

# Platform (base)
0,0,0,1
1,0,0,1
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,0,1
7,0,0,1
8,0,0,1
9,0,0,1
0,0,1,1
1,0,1,1
2,0,1,1
3,0,1,1
4,0,1,1
5,0,1,1
6,0,1,1
7,0,1,1
8,0,1,1
9,0,1,1

# Player start position (on platform)
4,1,0,2

# Goal position (on platform)
8,1,0,3

# Obstacles (red cubes)
2,1,0,4
6,1,0,4
1,1,1,4
7,1,1,4

# Additional platform structure
0,0,2,1
1,0,2,1
2,0,2,1
3,0,2,1
4,0,2,1
5,0,2,1
6,0,2,1
7,0,2,1
8,0,2,1
9,0,2,1
