x,y,z,emoji_idx,fg_color_idx,bg_color_idx,scale,rel_x,rel_y,rel_z
scale_info,0,0,0,0,0,1.90,0,0,0
0,0,0,14,0,7,1.90,0.00,0.00,0.00
7,0,0,0,0,7,1.90,1.30,0.00,0.00
0,1,0,14,0,7,1.90,0.00,1.00,0.00
1,1,0,55,6,7,1.90,1.00,1.00,0.00
2,1,0,55,6,7,1.90,0.10,1.00,0.00
3,1,0,55,6,7,1.90,1.10,1.00,0.00
4,1,0,55,6,7,1.90,0.20,1.00,0.00
1,2,0,55,6,7,1.90,1.00,0.10,0.00
4,2,0,55,6,7,1.90,0.20,0.10,0.00
9,2,0,0,0,7,1.90,1.40,0.10,0.00
1,3,0,55,6,7,1.90,1.00,1.10,0.00
3,3,0,0,0,7,1.90,1.10,1.10,0.00
4,3,0,55,6,7,1.90,0.20,1.10,0.00
1,4,0,55,6,7,1.90,1.00,0.20,0.00
4,4,0,55,6,7,1.90,0.20,0.20,0.00
0,5,0,0,0,7,1.90,0.00,1.20,0.00
1,5,0,55,6,7,1.90,1.00,1.20,0.00
2,5,0,55,6,7,1.90,0.10,1.20,0.00
3,5,0,55,6,7,1.90,1.10,1.20,0.00
4,5,0,55,6,7,1.90,0.20,1.20,0.00
5,9,0,0,0,7,1.90,1.20,1.40,0.00
