Prompt	Curriculum_Token	Token_Number	Attention_Score
dogs	<PAD>	1	0.613190
dogs	<START>	2	0.599142
dogs	<END>	3	0.599847
dogs	<UNK>	4	0.619931
dogs	i	5	0.803162
dogs	am	6	0.942495
dogs	happy	7	0.860345
dogs	it	8	0.942564
dogs	is	9	0.942477
dogs	cold	10	0.759586
dogs	the	11	0.598303
dogs	cat	12	0.594749
dogs	ran	13	0.597787
dogs	dog	14	0.595102
dogs	big	15	0.593764
dogs	she	16	0.595714
dogs	likes	17	0.579240
dogs	books	18	0.641095
dogs	he	19	0.655639
dogs	plays	20	0.582604
dogs	games	21	0.572133
dogs	they	22	0.633332
dogs	eat	23	0.593860
dogs	food	24	0.545379
dogs	we	25	0.655783
dogs	go	26	0.655665
dogs	home	27	0.559193
dogs	love	28	0.584736
dogs	cats	29	0.521291
dogs	you	30	0.595876
dogs	like	31	0.582135
dogs	dogs	32	0.529592
are	<PAD>	1	0.613190
are	<START>	2	0.599142
are	<END>	3	0.599847
are	<UNK>	4	0.619931
are	i	5	0.803162
are	am	6	0.942495
are	happy	7	0.860345
are	it	8	0.942564
are	is	9	0.942477
are	cold	10	0.759586
are	the	11	0.598303
are	cat	12	0.594749
are	ran	13	0.597787
are	dog	14	0.595102
are	big	15	0.593764
are	she	16	0.595714
are	likes	17	0.579240
are	books	18	0.641095
are	he	19	0.655639
are	plays	20	0.582604
are	games	21	0.572133
are	they	22	0.633332
are	eat	23	0.593860
are	food	24	0.545379
are	we	25	0.655783
are	go	26	0.655665
are	home	27	0.559193
are	love	28	0.584736
are	cats	29	0.521291
are	you	30	0.595876
are	like	31	0.582135
are	dogs	32	0.529592
