param,system,unit,value
heart_rate,circulatory,bpm,72
blood_pressure_systolic,circulatory,mmHg,120
blood_pressure_diastolic,circulatory,mmHg,80
blood_volume,circulatory,L,5.0
oxygen_saturation,circulatory,%,98.5
lung_capacity,respiratory,L,6.0
breathing_rate,respiratory,breaths_per_min,12
oxygen_intake_rate,respiratory,L/min,0.25
co2_output_rate,respiratory,L/min,0.20
stomach_volume,digestive,L,0.5
stomach_calories,digestive,cal,200
nutrient_absorption_rate,digestive,fraction,0.8
brain_activity,nervous,fraction,0.85
neural_response_time,nervous,s,0.2
biceps_strength,muscular,fraction,0.7
biceps_fatigue,muscular,fraction,0.1
quadriceps_strength,muscular,fraction,0.8
quadriceps_fatigue,muscular,fraction,0.05
heart_pos_x,organ,voxels,0
heart_pos_y,organ,voxels,5
heart_pos_z,organ,voxels,0
heart_size_x,organ,voxels,0.2
heart_size_y,organ,voxels,0.15
heart_size_z,organ,voxels,0.1
heart_function,organ,,circulation
heart_efficiency,organ,fraction,1.0
heart_health,organ,%,100.0
liver_pos_x,organ,voxels,0
liver_pos_y,organ,voxels,4
liver_pos_z,organ,voxels,0
liver_size_x,organ,voxels,0.3
liver_size_y,organ,voxels,0.2
liver_size_z,organ,voxels,0.25
liver_function,organ,,metabolism
liver_efficiency,organ,fraction,1.0
liver_health,organ,%,100.0
stomach_pos_x,organ,voxels,0
stomach_pos_y,organ,voxels,3
stomach_pos_z,organ,voxels,0
stomach_size_x,organ,voxels,0.25
stomach_size_y,organ,voxels,0.2
stomach_size_z,organ,voxels,0.2
stomach_function,organ,,digestion
stomach_efficiency,organ,fraction,1.0
stomach_health,organ,%,100.0
lung_left_pos_x,organ,voxels,-0.5
lung_left_pos_y,organ,voxels,4
lung_left_pos_z,organ,voxels,0
lung_left_size_x,organ,voxels,0.3
lung_left_size_y,organ,voxels,0.4
lung_left_size_z,organ,voxels,0.3
lung_left_function,organ,,respiration
lung_left_efficiency,organ,fraction,1.0
lung_left_health,organ,%,100.0
lung_right_pos_x,organ,voxels,0.5
lung_right_pos_y,organ,voxels,4
lung_right_pos_z,organ,voxels,0
lung_right_size_x,organ,voxels,0.3
lung_right_size_y,organ,voxels,0.4
lung_right_size_z,organ,voxels,0.3
lung_right_function,organ,,respiration
lung_right_efficiency,organ,fraction,1.0
lung_right_health,organ,%,100.0
