compound_id,concentration_ppm,location,molecule,phase,pressure_atm,source_sink,state,temperature_bp_kelvin
N2,780000,atmosphere,NITROGEN_GAS,gas,1.0,atmospheric_deposit,gas_phase,77.36
O2,210000,atmosphere,OXYGEN_GAS,gas,1.0,photosynthesis,gas_phase,90.2
Ar,9340,atmosphere,ARGON_GAS,gas,1.0,atmospheric_deposit,gas_phase,87.3
CO2,420,atmosphere,CARBON_DIOXIDE,gas,1.0,respiration_combustion,gas_phase,194.67
H2O,variable,atmosphere,WATER_VAPOR,liquid_gas,variable,evaporation_precipitation,gas_phase_variable,373.15
Ne,18.18,atmosphere,NEON_GAS,gas,1.0,atmospheric_deposit,gas_phase,27.07
He,5.24,atmosphere,HELIUM_GAS,gas,1.0,atmospheric_deposit,gas_phase,4.22
CH4,1.8,atmosphere,METHANE,liquid_gas,1.0,bacterial_process,gas_phase,111.66
Kr,1.14,atmosphere,KRYPTON_GAS,gas,1.0,atmospheric_deposit,gas_phase,120.85
NO,variable,atmosphere,NITRIC_OXIDE,gas,1.0,pollution_combustion,gas_phase,121.45
SO2,variable,atmosphere,SULFUR_DIOXIDE,gas,1.0,volcanism_anthropogenic,gas_phase,263.08
NH3,variable,atmosphere,AMMONIA,gas,1.0,biological_process,gas_phase,239.81
O3,10-50,atmosphere,OZONE,gas,1.0,UV_photolysis,gas_phase,80.35
H2S,0.1-5,atmosphere,HYDROGEN_SULFIDE,gas,1.0,volcanism_bacteria,gas_phase,212.79
CO,0-0.2,atmosphere,CARBON_MONOXIDE,gas,1.0,combustion_process,gas_phase,81.66
Xe,0.087,atmosphere,XENON_GAS,gas,1.0,atmospheric_deposit,gas_phase,165.03
