param,system,unit,value
rock_density,geology,g/cm³,3.95
surface_area,geology,km²,510072000
ocean_coverage,hydrology,%,71
forest_coverage,biome,%,31
desert_coverage,biome,%,33
grassland_coverage,biome,%,26
urban_coverage,biome,%,3
pressure,atmosphere,kPa,101.3
oxygen,atmosphere,%,21
nitrogen,atmosphere,%,78
carbon_dioxide,atmosphere,%,0.04
volcanic_activity,geology,frequency,low
average_temperature,climate,C,15
jungle_coverage,biome,%,7
ice_coverage,biome,%,3
mountain_coverage,geology,%,24
seismic_activity,geology,frequency,moderate
crust_thickness,geology,km,35
core_temperature,geology,K,5700
magnetic_field_strength,geology,µT,25-65
fresh_water,hydrology,%,2.5
precipitation_average,climate,mm/year,990
plate_tectonics,geology,state,active
atmospheric_mass,geology,kg,5.15e18
