param,system,unit,value
class,stellar,spectral,G2V
mass,stellar,kg,1.989e30
radius,stellar,km,696340
temperature_surface,stellar,K,5778
temperature_core,stellar,K,15.7e6
radiant_power,energy,W,3.828e26
luminosity,energy,W,3.828e26
age,stellar,years,4.6e9
hydrogen_fusion_rate,stellar,tons/sec,600e6
metallicity,stellar,fraction,0.0134
rotation_period,stellar,days,25-35
magnetic_field_strength,stellar,gauss,1
solar_wind_speed,stellar,km/s,400-750
solar_cycle,stellar,years,11
energy_output,energy,J/s,3.828e26
helium_abundance,stellar,%,24
hydrogen_abundance,stellar,%,74
heavy_elements,stellar,%,2
flare_frequency,stellar,frequency,moderate
corona_temperature,stellar,K,1-3e6
density_avg,stellar,kg/m³,1408
escape_velocity,stellar,km/s,617.6
orbital_speed,stellar,km/s,720
convective_zone,stellar,region,outer
radiative_zone,stellar,region,middle
core_reaction_rate,stellar,frequency,high
