color_a,color_b,color_g,color_r,part,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,size_x,size_y,size_z,type,voxel_id
255.0,0.0,255.00,255.0,core,0.0,0.0,0.0,center,0.0,0.0,0.0,1.0,1.0,15.0,15.0,15.0,star,voxel_000
255.0,0.0,165.00,255.0,photosphere,1.0,0.0,0.0,surface,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,atmosphere,voxel_001
255.0,0.0,165.00,255.0,photosphere,-1.0,0.0,0.0,surface,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,atmosphere,voxel_002
255.0,0.0,165.00,255.0,photosphere,0.0,1.0,0.0,surface,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,atmosphere,voxel_003
255.0,0.0,165.00,255.0,photosphere,0.0,-1.0,0.0,surface,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,atmosphere,voxel_004
255.0,0.0,165.00,255.0,photosphere,0.0,0.0,1.0,surface,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,atmosphere,voxel_005
255.0,0.0,165.00,255.0,photosphere,0.0,0.0,-1.0,surface,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,atmosphere,voxel_006
255.0,0.0,69.00,255.0,solar_flare,2.0,0.0,0.0,active,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_007
255.0,0.0,69.00,255.0,solar_flare,-2.0,0.0,0.0,active,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_008
255.0,0.0,69.00,255.0,solar_flare,0.0,2.0,0.0,active,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_009
255.0,0.0,69.00,255.0,solar_flare,0.0,-2.0,0.0,active,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_010
255.0,0.0,69.00,255.0,solar_flare,0.0,0.0,2.0,active,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_011
255.0,0.0,69.00,255.0,solar_flare,0.0,0.0,-2.0,active,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_012
255.0,0.0,140.00,255.0,corona,1.0,1.0,0.0,extended,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_013
255.0,0.0,140.00,255.0,corona,-1.0,1.0,0.0,extended,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_014
255.0,0.0,140.00,255.0,corona,-1.0,-1.0,0.0,extended,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_015
255.0,0.0,140.00,255.0,corona,1.0,-1.0,0.0,extended,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,phenomenon,voxel_016
255.0,0.0,215.00,255.0,sunspot,1.5,1.5,0.0,magnetic,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,phenomenon,voxel_017
255.0,0.0,215.00,255.0,sunspot,-1.5,-1.5,0.0,magnetic,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,phenomenon,voxel_018
255.0,0.0,100.00,255.0,radiation,0.0,0.0,0.5,outward,0.0,0.0,0.0,1.0,1.0,1.2,1.2,0.5,energy,voxel_019
255.0,224.0,255.00,255.0,solar_wind,0.5,0.0,0.0,emanation,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.8,energy,voxel_020
255.0,224.0,255.00,255.0,solar_wind,-0.5,0.5,0.0,emanation,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.8,energy,voxel_021
255.0,224.0,255.00,255.0,solar_wind,0.0,-0.5,-0.5,emanation,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.8,energy,voxel_022
255.0,0.0,255.00,255.0,thermal,1.0,0.0,1.0,emission,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,heat,voxel_023
255.0,0.0,255.00,255.0,thermal,-1.0,0.0,1.0,emission,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,heat,voxel_024
255.0,0.0,220.00,255.0,photon,0.0,1.0,1.0,outburst,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,light,voxel_025
255.0,0.0,220.00,255.0,photon,0.0,-1.0,1.0,outburst,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,light,voxel_026
255.0,200.0,255.00,255.0,charged_particles,1.0,1.0,1.0,field,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,plasma,voxel_027
255.0,200.0,255.00,255.0,charged_particles,-1.0,-1.0,1.0,field,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,plasma,voxel_028
180.0,0.0,165.00,255.0,chromosphere,0.5,0.5,0.0,transition,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,atmosphere,voxel_029
180.0,0.0,165.00,255.0,chromosphere,-0.5,-0.5,0.0,transition,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,atmosphere,voxel_030
