Prompt	Curriculum_Token	Token_Number	Attention_Score
cat	<PAD>	1	0.613190
cat	<START>	2	0.599142
cat	<END>	3	0.599847
cat	<UNK>	4	0.619931
cat	i	5	0.803162
cat	am	6	0.942495
cat	happy	7	0.860345
cat	it	8	0.942564
cat	is	9	0.942477
cat	cold	10	0.759586
cat	the	11	0.598303
cat	cat	12	0.594749
cat	ran	13	0.597787
cat	dog	14	0.595102
cat	big	15	0.593764
cat	she	16	0.595714
cat	likes	17	0.579240
cat	books	18	0.641095
cat	he	19	0.655639
cat	plays	20	0.582604
cat	games	21	0.572133
cat	they	22	0.633332
cat	eat	23	0.593860
cat	food	24	0.545379
cat	we	25	0.655783
cat	go	26	0.655665
cat	home	27	0.559193
cat	love	28	0.584736
cat	cats	29	0.521291
cat	you	30	0.595876
cat	like	31	0.582135
cat	dogs	32	0.529592
is	<PAD>	1	0.613190
is	<START>	2	0.599142
is	<END>	3	0.599847
is	<UNK>	4	0.619931
is	i	5	0.803162
is	am	6	0.942495
is	happy	7	0.860345
is	it	8	0.942564
is	is	9	0.942477
is	cold	10	0.759586
is	the	11	0.598303
is	cat	12	0.594749
is	ran	13	0.597787
is	dog	14	0.595102
is	big	15	0.593764
is	she	16	0.595714
is	likes	17	0.579240
is	books	18	0.641095
is	he	19	0.655639
is	plays	20	0.582604
is	games	21	0.572133
is	they	22	0.633332
is	eat	23	0.593860
is	food	24	0.545379
is	we	25	0.655783
is	go	26	0.655665
is	home	27	0.559193
is	love	28	0.584736
is	cats	29	0.521291
is	you	30	0.595876
is	like	31	0.582135
is	dogs	32	0.529592
like	<PAD>	1	0.613190
like	<START>	2	0.599142
like	<END>	3	0.599847
like	<UNK>	4	0.619931
like	i	5	0.803162
like	am	6	0.942495
like	happy	7	0.860345
like	it	8	0.942564
like	is	9	0.942477
like	cold	10	0.759586
like	the	11	0.598303
like	cat	12	0.594749
like	ran	13	0.597787
like	dog	14	0.595102
like	big	15	0.593764
like	she	16	0.595714
like	likes	17	0.579240
like	books	18	0.641095
like	he	19	0.655639
like	plays	20	0.582604
like	games	21	0.572133
like	they	22	0.633332
like	eat	23	0.593860
like	food	24	0.545379
like	we	25	0.655783
like	go	26	0.655665
like	home	27	0.559193
like	love	28	0.584736
like	cats	29	0.521291
like	you	30	0.595876
like	like	31	0.582135
like	dogs	32	0.529592
