word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 Astronomy 0.099061 0.031523 0.007127 0.001413 0.000000 0.000000 0.000000 0.000000
2 gazes -0.003180 -0.001012 0.000007 0.000001 0.000000 0.000000 0.000000 0.000000
3 at 0.023382 0.007440 0.000397 0.000079 0.000000 0.000000 0.000000 0.000000
4 the -0.018774 -0.005974 0.000256 0.000051 0.000000 0.000000 0.000000 0.000000
5 cosmos. -0.001250 -0.000398 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000
6 Stars 0.006528 0.002077 0.000031 0.000006 0.000000 0.000000 0.000000 0.000000
7 burn -0.006756 -0.002150 0.000033 0.000007 0.000000 0.000000 0.000000 0.000000
8 hydrogen, -0.007740 -0.002463 0.000044 0.000009 0.000000 0.000000 0.000000 0.000000
9 shining 0.012169 0.003872 0.000108 0.000021 0.000000 0.000000 0.000000 0.000000
10 for -0.004744 -0.001509 0.000016 0.000003 0.000000 0.000000 0.000000 0.000000
11 billions -0.000736 -0.000234 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 of -0.094377 -0.030032 0.006469 0.001282 0.000000 0.000000 0.000000 0.000000
13 years. 0.006028 0.001918 0.000026 0.000005 0.000000 0.000000 0.000000 0.000000
14 Planets 0.028916 0.009202 0.000607 0.000120 0.000000 0.000000 0.000000 0.000000
15 orbit -0.038293 -0.012186 0.001065 0.000211 0.000000 0.000000 0.000000 0.000000
16 stars—Earth -0.022200 -0.007065 0.000358 0.000071 0.000000 0.000000 0.000000 0.000000
17 spins 0.000594 0.000189 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
18 daily. 0.002443 0.000777 0.000004 0.000001 0.000000 0.000000 0.000000 0.000000
19 Galaxies 0.003012 0.000959 0.000007 0.000001 0.000000 0.000000 0.000000 0.000000
20 swirl 0.026277 0.008362 0.000501 0.000099 0.000000 0.000000 0.000000 0.000000
21 with -0.025408 -0.008085 0.000469 0.000093 0.000000 0.000000 0.000000 0.000000
22 millions 0.005992 0.001907 0.000026 0.000005 0.000000 0.000000 0.000000 0.000000
23 suns. 0.001082 0.000344 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000
24 Telescopes 0.012382 0.003940 0.000111 0.000022 0.000000 0.000000 0.000000 0.000000
25 spot -0.012087 -0.003846 0.000106 0.000021 0.000000 0.000000 0.000000 0.000000
26 nebulas -0.022255 -0.007082 0.000360 0.000071 0.000000 0.000000 0.000000 0.000000
27 and -0.016997 -0.005409 0.000210 0.000042 0.000000 0.000000 0.000000 0.000000
28 black 0.004116 0.001310 0.000012 0.000002 0.000000 0.000000 0.000000 0.000000
29 holes, 0.014153 0.004504 0.000145 0.000029 0.000000 0.000000 0.000000 0.000000
30 where -0.004925 -0.001567 0.000018 0.000003 0.000000 0.000000 0.000000 0.000000
31 gravity 0.003636 0.001157 0.000010 0.000002 0.000000 0.000000 0.000000 0.000000
32 traps -0.007801 -0.002482 0.000044 0.000009 0.000000 0.000000 0.000000 0.000000
33 light. -0.015868 -0.005049 0.000183 0.000036 0.000000 0.000000 0.000000 0.000000
34 The -0.021279 -0.006771 0.000329 0.000065 0.000000 0.000000 0.000000 0.000000
35 Big -0.023608 -0.007513 0.000405 0.000080 0.000000 0.000000 0.000000 0.000000
36 Bang -0.009546 -0.003038 0.000066 0.000013 0.000000 0.000000 0.000000 0.000000
37 started -0.037863 -0.012049 0.001041 0.000206 0.000000 0.000000 0.000000 0.000000
38 it 0.033695 0.010722 0.000825 0.000163 0.000000 0.000000 0.000000 0.000000
39 all -0.011733 -0.003734 0.000100 0.000020 0.000000 0.000000 0.000000 0.000000
40 13 -0.001329 -0.000423 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000
41 billion 0.006115 0.001946 0.000027 0.000005 0.000000 0.000000 0.000000 0.000000
42 years -0.011566 -0.003680 0.000097 0.000019 0.000000 0.000000 0.000000 0.000000
43 ago. -0.005755 -0.001831 0.000024 0.000005 0.000000 0.000000 0.000000 0.000000
44 seeks 0.021142 0.006728 0.000325 0.000064 0.000000 0.000000 0.000000 0.000000
45 life 0.007876 0.002506 0.000045 0.000009 0.000000 0.000000 0.000000 0.000000
46 beyond, 0.012357 0.003932 0.000111 0.000022 0.000000 0.000000 0.000000 0.000000
47 scanning -0.024567 -0.007818 0.000438 0.000087 0.000000 0.000000 0.000000 0.000000
48 signals. -0.023232 -0.007393 0.000392 0.000078 0.000000 0.000000 0.000000 0.000000
49 end_token -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
