epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 1 Astronomy 0.000000 0.045338 0.045338 0.000000 -0.000531 -0.000531 0.000000 0.000426 0.000426 + - +
5 2 gazes 0.000000 -0.006064 -0.006064 0.000000 -0.000009 -0.000009 0.000000 0.000008 0.000008 - - +
5 3 at 0.000000 0.032709 0.032709 0.000000 -0.000276 -0.000276 0.000000 0.000222 0.000222 + - +
5 4 the 0.000000 -0.029062 -0.029062 0.000000 -0.000218 -0.000218 0.000000 0.000175 0.000175 - - +
5 5 cosmos. 0.000000 -0.002211 -0.002211 0.000000 -0.000001 -0.000001 0.000000 0.000001 0.000001 - - +
5 6 Stars 0.000000 0.009329 0.009329 0.000000 -0.000022 -0.000022 0.000000 0.000018 0.000018 + - +
5 7 burn 0.000000 -0.011407 -0.011407 0.000000 -0.000034 -0.000034 0.000000 0.000027 0.000027 - - +
5 8 hydrogen, 0.000000 -0.014859 -0.014859 0.000000 -0.000057 -0.000057 0.000000 0.000046 0.000046 - - +
5 9 shining 0.000000 0.025465 0.025465 0.000000 -0.000167 -0.000167 0.000000 0.000134 0.000134 + - +
5 10 for 0.000000 -0.007385 -0.007385 0.000000 -0.000014 -0.000014 0.000000 0.000011 0.000011 - - +
5 11 billions 0.000000 -0.001491 -0.001491 0.000000 -0.000001 -0.000001 0.000000 0.000000 0.000000 - - +
5 12 of 0.000000 -0.001222 -0.001222 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 - - +
5 13 years. 0.000000 0.010370 0.010370 0.000000 -0.000028 -0.000028 0.000000 0.000022 0.000022 + - +
5 14 Planets 0.000000 0.034233 0.034233 0.000000 -0.000303 -0.000303 0.000000 0.000243 0.000243 + - +
5 15 orbit 0.000000 -0.040249 -0.040249 0.000000 -0.000418 -0.000418 0.000000 0.000336 0.000336 - - +
5 16 stars—Earth 0.000000 -0.040234 -0.040234 0.000000 -0.000418 -0.000418 0.000000 0.000335 0.000335 - - +
5 17 spins 0.000000 0.001095 0.001095 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 + - +
5 18 daily. 0.000000 0.005026 0.005026 0.000000 -0.000007 -0.000007 0.000000 0.000005 0.000005 + - +
5 19 Galaxies 0.000000 0.004737 0.004737 0.000000 -0.000006 -0.000006 0.000000 0.000005 0.000005 + - +
5 20 swirl 0.000000 0.035538 0.035538 0.000000 -0.000326 -0.000326 0.000000 0.000262 0.000262 + - +
5 21 with 0.000000 -0.029641 -0.029641 0.000000 -0.000227 -0.000227 0.000000 0.000182 0.000182 - - +
5 22 millions 0.000000 0.010363 0.010363 0.000000 -0.000028 -0.000028 0.000000 0.000022 0.000022 + - +
5 23 suns. 0.000000 0.001240 0.001240 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 + - +
5 24 Telescopes 0.000000 0.016302 0.016302 0.000000 -0.000069 -0.000069 0.000000 0.000055 0.000055 + - +
5 25 spot 0.000000 -0.014483 -0.014483 0.000000 -0.000054 -0.000054 0.000000 0.000043 0.000043 - - +
5 26 nebulas 0.000000 -0.030952 -0.030952 0.000000 -0.000247 -0.000247 0.000000 0.000199 0.000199 - - +
5 27 and 0.000000 -0.037542 -0.037542 0.000000 -0.000364 -0.000364 0.000000 0.000292 0.000292 - - +
5 28 black 0.000000 0.004464 0.004464 0.000000 -0.000005 -0.000005 0.000000 0.000004 0.000004 + - +
5 29 holes, 0.000000 0.020128 0.020128 0.000000 -0.000105 -0.000105 0.000000 0.000084 0.000084 + - +
5 30 where 0.000000 -0.009540 -0.009540 0.000000 -0.000024 -0.000024 0.000000 0.000019 0.000019 - - +
5 31 gravity 0.000000 0.006045 0.006045 0.000000 -0.000009 -0.000009 0.000000 0.000008 0.000008 + - +
5 32 traps 0.000000 -0.010329 -0.010329 0.000000 -0.000028 -0.000028 0.000000 0.000022 0.000022 - - +
5 33 light. 0.000000 -0.032367 -0.032367 0.000000 -0.000271 -0.000271 0.000000 0.000217 0.000217 - - +
5 34 The 0.000000 -0.038366 -0.038366 0.000000 -0.000380 -0.000380 0.000000 0.000305 0.000305 - - +
5 35 Big 0.000000 -0.041862 -0.041862 0.000000 -0.000453 -0.000453 0.000000 0.000363 0.000363 - - +
5 36 Bang 0.000000 -0.020658 -0.020658 0.000000 -0.000110 -0.000110 0.000000 0.000088 0.000088 - - +
5 37 started 0.000000 -0.037578 -0.037578 0.000000 -0.000365 -0.000365 0.000000 0.000293 0.000293 - - +
5 38 it 0.000000 0.032366 0.032366 0.000000 -0.000271 -0.000271 0.000000 0.000217 0.000217 + - +
5 39 all 0.000000 -0.019632 -0.019632 0.000000 -0.000100 -0.000100 0.000000 0.000080 0.000080 - - +
5 40 13 0.000000 -0.002481 -0.002481 0.000000 -0.000002 -0.000002 0.000000 0.000001 0.000001 - - +
5 41 billion 0.000000 0.007680 0.007680 0.000000 -0.000015 -0.000015 0.000000 0.000012 0.000012 + - +
5 42 years 0.000000 -0.021295 -0.021295 0.000000 -0.000117 -0.000117 0.000000 0.000094 0.000094 - - +
5 43 ago. 0.000000 -0.009812 -0.009812 0.000000 -0.000025 -0.000025 0.000000 0.000020 0.000020 - - +
5 44 seeks 0.000000 0.034681 0.034681 0.000000 -0.000311 -0.000311 0.000000 0.000249 0.000249 + - +
5 45 life 0.000000 0.013637 0.013637 0.000000 -0.000048 -0.000048 0.000000 0.000039 0.000039 + - +
5 46 beyond, 0.000000 0.019160 0.019160 0.000000 -0.000095 -0.000095 0.000000 0.000076 0.000076 + - +
5 47 scanning 0.000000 -0.037240 -0.037240 0.000000 -0.000358 -0.000358 0.000000 0.000287 0.000287 - - +
5 48 signals. 0.000000 -0.040503 -0.040503 0.000000 -0.000424 -0.000424 0.000000 0.000340 0.000340 - - +
5 49 end_token 0.000000 -0.004919 -0.004919 0.000000 -0.000006 -0.000006 0.000000 0.000005 0.000005 - - +
10 1 Astronomy 0.045338 0.070980 0.025642 -0.000531 -0.001301 -0.000770 0.000426 0.002098 0.001672 + - +
10 2 gazes -0.006064 -0.005863 0.000202 -0.000009 -0.000009 0.000001 0.000008 0.000014 0.000007 + + +
10 3 at 0.032709 0.031622 -0.001087 -0.000276 -0.000258 0.000018 0.000222 0.000416 0.000195 - + +
10 4 the -0.029062 -0.028096 0.000966 -0.000218 -0.000204 0.000014 0.000175 0.000329 0.000154 + + +
10 5 cosmos. -0.002211 -0.002138 0.000073 -0.000001 -0.000001 0.000000 0.000001 0.000002 0.000001 + + +
10 6 Stars 0.009329 0.009019 -0.000310 -0.000022 -0.000021 0.000001 0.000018 0.000034 0.000016 - + +
10 7 burn -0.011407 -0.011028 0.000379 -0.000034 -0.000031 0.000002 0.000027 0.000051 0.000024 + + +
10 8 hydrogen, -0.014859 -0.014366 0.000494 -0.000057 -0.000053 0.000004 0.000046 0.000086 0.000040 + + +
10 9 shining 0.025465 0.024619 -0.000846 -0.000167 -0.000157 0.000011 0.000134 0.000252 0.000118 - + +
10 10 for -0.007385 -0.007140 0.000245 -0.000014 -0.000013 0.000001 0.000011 0.000021 0.000010 + + +
10 11 billions -0.001491 -0.001442 0.000050 -0.000001 -0.000001 0.000000 0.000000 0.000001 0.000000 + + +
10 12 of -0.001222 -0.001913 -0.000691 -0.000000 -0.000001 -0.000001 0.000000 0.000002 0.000001 - - +
10 13 years. 0.010370 0.010025 -0.000345 -0.000028 -0.000026 0.000002 0.000022 0.000042 0.000020 - + +
10 14 Planets 0.034233 0.033095 -0.001138 -0.000303 -0.000283 0.000020 0.000243 0.000456 0.000213 - + +
