word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 Biology -0.061494 -0.065178 0.130171 -0.029388 0.000000 0.000000 0.000000 0.000000
2 investigates -0.007935 -0.008410 0.002167 -0.000489 0.000000 0.000000 0.000000 0.000000
3 life, 0.007999 0.008478 0.002202 -0.000497 0.000000 0.000000 0.000000 0.000000
4 from -0.146343 -0.155109 0.737208 -0.166436 0.000000 0.000000 0.000000 0.000000
5 cells -0.000486 -0.000515 0.000008 -0.000002 0.000000 0.000000 0.000000 0.000000
6 to 0.013852 0.014682 0.006605 -0.001491 0.000000 0.000000 0.000000 0.000000
7 ecosystems. 0.001203 0.001275 0.000050 -0.000011 0.000000 0.000000 0.000000 0.000000
8 Cells -0.001680 -0.001781 0.000097 -0.000022 0.000000 0.000000 0.000000 0.000000
9 are -0.008628 -0.009145 0.002563 -0.000579 0.000000 0.000000 0.000000 0.000000
10 life’s 0.008437 0.008943 0.002450 -0.000553 0.000000 0.000000 0.000000 0.000000
11 units, 0.002612 0.002769 0.000235 -0.000053 0.000000 0.000000 0.000000 0.000000
12 with 0.003186 0.003377 0.000349 -0.000079 0.000000 0.000000 0.000000 0.000000
13 DNA -0.009285 -0.009842 0.002968 -0.000670 0.000000 0.000000 0.000000 0.000000
14 storing -0.021895 -0.023207 0.016502 -0.003726 0.000000 0.000000 0.000000 0.000000
15 genetic 0.006508 0.006898 0.001458 -0.000329 0.000000 0.000000 0.000000 0.000000
16 instructions 0.007594 0.008049 0.001985 -0.000448 0.000000 0.000000 0.000000 0.000000
17 for -0.098699 -0.104612 0.335332 -0.075707 0.000000 0.000000 0.000000 0.000000
18 proteins. -0.010134 -0.010741 0.003535 -0.000798 0.000000 0.000000 0.000000 0.000000
19 Evolution -0.023634 -0.025049 0.019227 -0.004341 0.000000 0.000000 0.000000 0.000000
20 drives -0.010700 -0.011341 0.003941 -0.000890 0.000000 0.000000 0.000000 0.000000
21 diversity -0.011683 -0.012383 0.004699 -0.001061 0.000000 0.000000 0.000000 0.000000
22 through 0.003496 0.003706 0.000421 -0.000095 0.000000 0.000000 0.000000 0.000000
23 natural 0.014219 0.015070 0.006959 -0.001571 0.000000 0.000000 0.000000 0.000000
24 selection—species 0.002997 0.003177 0.000309 -0.000070 0.000000 0.000000 0.000000 0.000000
25 adapt 0.005649 0.005987 0.001098 -0.000248 0.000000 0.000000 0.000000 0.000000
26 over -0.007200 -0.007631 0.001784 -0.000403 0.000000 0.000000 0.000000 0.000000
27 generations. 0.008012 0.008491 0.002209 -0.000499 0.000000 0.000000 0.000000 0.000000
28 Plants 0.015891 0.016843 0.008693 -0.001963 0.000000 0.000000 0.000000 0.000000
29 photosynthesize, -0.001497 -0.001586 0.000077 -0.000017 0.000000 0.000000 0.000000 0.000000
30 converting -0.021314 -0.022590 0.015637 -0.003530 0.000000 0.000000 0.000000 0.000000
31 sunlight 0.008342 0.008841 0.002395 -0.000541 0.000000 0.000000 0.000000 0.000000
32 into 0.022527 0.023877 0.017469 -0.003944 0.000000 0.000000 0.000000 0.000000
33 energy. 0.016477 0.017464 0.009346 -0.002110 0.000000 0.000000 0.000000 0.000000
34 Animals -0.012861 -0.013631 0.005693 -0.001285 0.000000 0.000000 0.000000 0.000000
35 consume -0.009636 -0.010213 0.003196 -0.000722 0.000000 0.000000 0.000000 0.000000
36 food 0.013426 0.014230 0.006205 -0.001401 0.000000 0.000000 0.000000 0.000000
37 fuel. 0.024092 0.025536 0.019981 -0.004511 0.000000 0.000000 0.000000 0.000000
38 Ecosystems -0.009360 -0.009921 0.003016 -0.000681 0.000000 0.000000 0.000000 0.000000
39 balance 0.009282 0.009839 0.002966 -0.000670 0.000000 0.000000 0.000000 0.000000
40 predators, -0.006975 -0.007393 0.001675 -0.000378 0.000000 0.000000 0.000000 0.000000
41 prey, -0.006714 -0.007117 0.001552 -0.000350 0.000000 0.000000 0.000000 0.000000
42 and -0.177609 -0.188249 1.085868 -0.245152 0.000000 0.000000 0.000000 0.000000
43 resources. -0.012310 -0.013047 0.005216 -0.001178 0.000000 0.000000 0.000000 0.000000
44 Genetics 0.020228 0.021440 0.014085 -0.003180 0.000000 0.000000 0.000000 0.000000
45 explains 0.007017 0.007437 0.001695 -0.000383 0.000000 0.000000 0.000000 0.000000
46 inheritance, 0.015933 0.016888 0.008739 -0.001973 0.000000 0.000000 0.000000 0.000000
47 like -0.016235 -0.017207 0.009072 -0.002048 0.000000 0.000000 0.000000 0.000000
48 eye -0.005710 -0.006052 0.001122 -0.000253 0.000000 0.000000 0.000000 0.000000
49 color 0.017216 0.018247 0.010202 -0.002303 0.000000 0.000000 0.000000 0.000000
50 passing -0.002364 -0.002505 0.000192 -0.000043 0.000000 0.000000 0.000000 0.000000
51 parents. -0.012548 -0.013300 0.005420 -0.001224 0.000000 0.000000 0.000000 0.000000
52 Microbes, -0.011454 -0.012140 0.004516 -0.001019 0.000000 0.000000 0.000000 0.000000
53 tiny 0.006602 0.006998 0.001501 -0.000339 0.000000 0.000000 0.000000 0.000000
54 yet -0.010296 -0.010913 0.003649 -0.000824 0.000000 0.000000 0.000000 0.000000
55 vital, -0.030778 -0.032621 0.032608 -0.007362 0.000000 0.000000 0.000000 0.000000
56 decompose -0.011898 -0.012611 0.004873 -0.001100 0.000000 0.000000 0.000000 0.000000
57 waste 0.008431 0.008936 0.002447 -0.000552 0.000000 0.000000 0.000000 0.000000
58 or 0.007979 0.008457 0.002192 -0.000495 0.000000 0.000000 0.000000 0.000000
59 cause 0.001318 0.001397 0.000060 -0.000013 0.000000 0.000000 0.000000 0.000000
60 disease. -0.009790 -0.010376 0.003299 -0.000745 0.000000 0.000000 0.000000 0.000000
61 advances 0.006382 0.006764 0.001402 -0.000317 0.000000 0.000000 0.000000 0.000000
62 medicine 0.016344 0.017323 0.009196 -0.002076 0.000000 0.000000 0.000000 0.000000
63 conservation. -0.009336 -0.009895 0.003000 -0.000677 0.000000 0.000000 0.000000 0.000000
64 end_token -0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
