word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 Chemistry 0.128891 0.642274 8.532528 3.978521 0.000000 0.000000 0.000000 0.000000
2 studies 0.011164 0.055632 0.064016 0.029849 0.000000 0.000000 0.000000 0.000000
3 matter—atoms -0.012455 -0.062065 0.079677 0.037151 0.000000 0.000000 0.000000 0.000000
4 bond 0.004902 0.024429 0.012344 0.005756 0.000000 0.000000 0.000000 0.000000
5 into -0.008314 -0.041427 0.035498 0.016552 0.000000 0.000000 0.000000 0.000000
6 molecules. -0.017514 -0.087275 0.157548 0.073461 0.000000 0.000000 0.000000 0.000000
7 Elements -0.004636 -0.023101 0.011038 0.005147 0.000000 0.000000 0.000000 0.000000
8 like -0.044510 -0.221798 1.017542 0.474457 0.000000 0.000000 0.000000 0.000000
9 carbon 0.025353 0.126334 0.330124 0.153929 0.000000 0.000000 0.000000 0.000000
10 or 0.221119 1.101851 25.112062 11.709177 0.000000 0.000000 0.000000 0.000000
11 oxygen -0.062636 -0.312119 2.015010 0.939553 0.000000 0.000000 0.000000 0.000000
12 form -0.013460 -0.067075 0.093058 0.043391 0.000000 0.000000 0.000000 0.000000
13 the 0.010121 0.050436 0.052615 0.024533 0.000000 0.000000 0.000000 0.000000
14 periodic -0.003050 -0.015199 0.004778 0.002228 0.000000 0.000000 0.000000 0.000000
15 table. -0.008621 -0.042959 0.038172 0.017799 0.000000 0.000000 0.000000 0.000000
16 Reactions -0.011400 -0.056808 0.066750 0.031124 0.000000 0.000000 0.000000 0.000000
17 rearrange -0.000059 -0.000294 0.000002 0.000001 0.000000 0.000000 0.000000 0.000000
18 bonds, -0.008320 -0.041459 0.035553 0.016578 0.000000 0.000000 0.000000 0.000000
19 hydrogen 0.006883 0.034300 0.024335 0.011347 0.000000 0.000000 0.000000 0.000000
20 and 0.099212 0.494379 5.055426 2.357229 0.000000 0.000000 0.000000 0.000000
21 making -0.007012 -0.034941 0.025252 0.011774 0.000000 0.000000 0.000000 0.000000
22 water 0.014471 0.072110 0.107555 0.050150 0.000000 0.000000 0.000000 0.000000
23 (H2O). -0.003985 -0.019855 0.008154 0.003802 0.000000 0.000000 0.000000 0.000000
24 Acids -0.003199 -0.015942 0.005257 0.002451 0.000000 0.000000 0.000000 0.000000
25 bases 0.009500 0.047340 0.046354 0.021614 0.000000 0.000000 0.000000 0.000000
26 shift 0.002040 0.010165 0.002137 0.000997 0.000000 0.000000 0.000000 0.000000
27 pH. -0.010061 -0.050134 0.051988 0.024241 0.000000 0.000000 0.000000 0.000000
28 Organic 0.016678 0.083109 0.142866 0.066615 0.000000 0.000000 0.000000 0.000000
29 chemistry 0.000584 0.002912 0.000175 0.000082 0.000000 0.000000 0.000000 0.000000
30 explores -0.003966 -0.019762 0.008078 0.003766 0.000000 0.000000 0.000000 0.000000
31 chains, -0.007318 -0.036468 0.027508 0.012826 0.000000 0.000000 0.000000 0.000000
32 vital 0.026314 0.131122 0.355624 0.165819 0.000000 0.000000 0.000000 0.000000
33 for 0.017521 0.087307 0.157665 0.073515 0.000000 0.000000 0.000000 0.000000
34 life. 0.016713 0.083282 0.143463 0.066893 0.000000 0.000000 0.000000 0.000000
35 Labs 0.005642 0.028112 0.016347 0.007622 0.000000 0.000000 0.000000 0.000000
36 mix 0.014562 0.072562 0.108907 0.050781 0.000000 0.000000 0.000000 0.000000
37 substances, 0.001611 0.008026 0.001332 0.000621 0.000000 0.000000 0.000000 0.000000
38 observing -0.011946 -0.059529 0.073300 0.034178 0.000000 0.000000 0.000000 0.000000
39 gas 0.015764 0.078552 0.127630 0.059511 0.000000 0.000000 0.000000 0.000000
40 color -0.003484 -0.017362 0.006235 0.002907 0.000000 0.000000 0.000000 0.000000
41 changes. -0.007948 -0.039605 0.032445 0.015128 0.000000 0.000000 0.000000 0.000000
42 drives 0.003799 0.018931 0.007413 0.003457 0.000000 0.000000 0.000000 0.000000
43 industry, -0.010494 -0.052293 0.056562 0.026374 0.000000 0.000000 0.000000 0.000000
44 creating 0.018079 0.090091 0.167880 0.078278 0.000000 0.000000 0.000000 0.000000
45 plastics -0.003871 -0.019288 0.007695 0.003588 0.000000 0.000000 0.000000 0.000000
46 drugs. -0.009430 -0.046992 0.045675 0.021297 0.000000 0.000000 0.000000 0.000000
47 end_token -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
