epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 1 Chemistry 0.000000 0.051216 0.051216 0.000000 -0.000787 -0.000787 0.000000 0.000694 0.000694 + - +
5 2 studies 0.000000 0.041849 0.041849 0.000000 -0.000525 -0.000525 0.000000 0.000463 0.000463 + - +
5 3 matter—atoms 0.000000 -0.024238 -0.024238 0.000000 -0.000176 -0.000176 0.000000 0.000155 0.000155 - - +
5 4 bond 0.000000 0.015072 0.015072 0.000000 -0.000068 -0.000068 0.000000 0.000060 0.000060 + - +
5 5 into 0.000000 -0.012364 -0.012364 0.000000 -0.000046 -0.000046 0.000000 0.000040 0.000040 - - +
5 6 molecules. 0.000000 -0.033329 -0.033329 0.000000 -0.000333 -0.000333 0.000000 0.000294 0.000294 - - +
5 7 Elements 0.000000 -0.010238 -0.010238 0.000000 -0.000031 -0.000031 0.000000 0.000028 0.000028 - - +
5 8 like 0.000000 -0.031995 -0.031995 0.000000 -0.000307 -0.000307 0.000000 0.000271 0.000271 - - +
5 9 carbon 0.000000 0.040313 0.040313 0.000000 -0.000487 -0.000487 0.000000 0.000430 0.000430 + - +
5 10 or 0.000000 0.058242 0.058242 0.000000 -0.001017 -0.001017 0.000000 0.000897 0.000897 + - +
5 11 oxygen 0.000000 -0.063568 -0.063568 0.000000 -0.001212 -0.001212 0.000000 0.001069 0.001069 - - +
5 12 form 0.000000 -0.041716 -0.041716 0.000000 -0.000522 -0.000522 0.000000 0.000460 0.000460 - - +
5 13 the 0.000000 0.026216 0.026216 0.000000 -0.000206 -0.000206 0.000000 0.000182 0.000182 + - +
5 14 periodic 0.000000 -0.010103 -0.010103 0.000000 -0.000031 -0.000031 0.000000 0.000027 0.000027 - - +
5 15 table. 0.000000 -0.021886 -0.021886 0.000000 -0.000144 -0.000144 0.000000 0.000127 0.000127 - - +
5 16 Reactions 0.000000 -0.024656 -0.024656 0.000000 -0.000182 -0.000182 0.000000 0.000161 0.000161 - - +
5 17 rearrange 0.000000 -0.000179 -0.000179 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 - - +
