word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 Economics 0.085713 -0.106717 0.248502 -0.031361 0.000000 0.000000 0.000000 0.000000
2 tracks -0.016741 0.020844 0.009480 -0.001196 0.000000 0.000000 0.000000 0.000000
3 money 0.004393 -0.005469 0.000653 -0.000082 0.000000 0.000000 0.000000 0.000000
4 and -0.089456 0.111377 0.270678 -0.034160 0.000000 0.000000 0.000000 0.000000
5 trade. -0.008116 0.010105 0.002228 -0.000281 0.000000 0.000000 0.000000 0.000000
6 Supply 0.010217 -0.012721 0.003531 -0.000446 0.000000 0.000000 0.000000 0.000000
7 demand -0.040941 0.050973 0.056696 -0.007155 0.000000 0.000000 0.000000 0.000000
8 set 0.014568 -0.018138 0.007178 -0.000906 0.000000 0.000000 0.000000 0.000000
9 prices—scarce 0.005038 -0.006273 0.000859 -0.000108 0.000000 0.000000 0.000000 0.000000
10 goods 0.018917 -0.023552 0.012104 -0.001528 0.000000 0.000000 0.000000 0.000000
11 cost 0.008828 -0.010992 0.002636 -0.000333 0.000000 0.000000 0.000000 0.000000
12 more. 0.000413 -0.000515 0.000006 -0.000001 0.000000 0.000000 0.000000 0.000000
13 Markets -0.007711 0.009600 0.002011 -0.000254 0.000000 0.000000 0.000000 0.000000
14 exchange 0.003767 -0.004690 0.000480 -0.000061 0.000000 0.000000 0.000000 0.000000
15 everything, 0.004826 -0.006009 0.000788 -0.000099 0.000000 0.000000 0.000000 0.000000
16 from -0.036290 0.045182 0.044545 -0.005622 0.000000 0.000000 0.000000 0.000000
17 apples 0.021695 -0.027011 0.015921 -0.002009 0.000000 0.000000 0.000000 0.000000
18 to 0.017535 -0.021832 0.010401 -0.001313 0.000000 0.000000 0.000000 0.000000
19 stocks. -0.023509 0.029270 0.018694 -0.002359 0.000000 0.000000 0.000000 0.000000
20 Governments 0.022734 -0.028304 0.017481 -0.002206 0.000000 0.000000 0.000000 0.000000
21 tax -0.029821 0.037128 0.030079 -0.003796 0.000000 0.000000 0.000000 0.000000
22 spend, -0.006432 0.008008 0.001399 -0.000177 0.000000 0.000000 0.000000 0.000000
23 influencing 0.015808 -0.019681 0.008452 -0.001067 0.000000 0.000000 0.000000 0.000000
24 growth. -0.006365 0.007925 0.001370 -0.000173 0.000000 0.000000 0.000000 0.000000
25 Inflation -0.009018 0.011227 0.002751 -0.000347 0.000000 0.000000 0.000000 0.000000
26 erodes 0.027793 -0.034603 0.026127 -0.003297 0.000000 0.000000 0.000000 0.000000
27 cash 0.002732 -0.003402 0.000253 -0.000032 0.000000 0.000000 0.000000 0.000000
28 value -0.007390 0.009201 0.001847 -0.000233 0.000000 0.000000 0.000000 0.000000
29 over 0.010068 -0.012535 0.003429 -0.000433 0.000000 0.000000 0.000000 0.000000
30 time. -0.021605 0.026899 0.015789 -0.001993 0.000000 0.000000 0.000000 0.000000
31 Labor -0.002615 0.003255 0.000231 -0.000029 0.000000 0.000000 0.000000 0.000000
32 earns 0.079236 -0.098653 0.212366 -0.026801 0.000000 0.000000 0.000000 0.000000
33 wages, -0.010273 0.012791 0.003570 -0.000451 0.000000 0.000000 0.000000 0.000000
34 capital 0.015422 -0.019201 0.008045 -0.001015 0.000000 0.000000 0.000000 0.000000
35 profit. 0.012975 -0.016155 0.005695 -0.000719 0.000000 0.000000 0.000000 0.000000
36 Theories 0.018599 -0.023157 0.011701 -0.001477 0.000000 0.000000 0.000000 0.000000
37 debate -0.008382 0.010435 0.002376 -0.000300 0.000000 0.000000 0.000000 0.000000
38 free -0.014553 0.018119 0.007164 -0.000904 0.000000 0.000000 0.000000 0.000000
39 markets 0.009163 -0.011408 0.002840 -0.000358 0.000000 0.000000 0.000000 0.000000
40 versus 0.006579 -0.008191 0.001464 -0.000185 0.000000 0.000000 0.000000 0.000000
41 control. -0.011764 0.014646 0.004681 -0.000591 0.000000 0.000000 0.000000 0.000000
42 predicts -0.013794 0.017174 0.006436 -0.000812 0.000000 0.000000 0.000000 0.000000
43 trends, 0.003504 -0.004362 0.000415 -0.000052 0.000000 0.000000 0.000000 0.000000
44 like 0.010148 -0.012635 0.003484 -0.000440 0.000000 0.000000 0.000000 0.000000
45 recessions. 0.002507 -0.003121 0.000213 -0.000027 0.000000 0.000000 0.000000 0.000000
46 end_token 0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
