word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 Geography -0.155249 -0.150132 0.104180 -0.003459 0.000000 0.000000 0.000000 0.000000
2 maps 0.006749 0.006527 0.000197 -0.000007 0.000000 0.000000 0.000000 0.000000
3 Earth’s -0.008046 -0.007781 0.000280 -0.000009 0.000000 0.000000 0.000000 0.000000
4 features. 0.009694 0.009374 0.000406 -0.000013 0.000000 0.000000 0.000000 0.000000
5 Mountains -0.025723 -0.024875 0.002860 -0.000095 0.000000 0.000000 0.000000 0.000000
6 rise -0.019889 -0.019233 0.001710 -0.000057 0.000000 0.000000 0.000000 0.000000
7 from 0.008950 0.008655 0.000346 -0.000011 0.000000 0.000000 0.000000 0.000000
8 tectonic 0.009474 0.009162 0.000388 -0.000013 0.000000 0.000000 0.000000 0.000000
9 plates -0.012755 -0.012335 0.000703 -0.000023 0.000000 0.000000 0.000000 0.000000
10 clashing. 0.026672 0.025793 0.003075 -0.000102 0.000000 0.000000 0.000000 0.000000
11 Rivers -0.017831 -0.017244 0.001374 -0.000046 0.000000 0.000000 0.000000 0.000000
12 carve -0.000444 -0.000429 0.000001 -0.000000 0.000000 0.000000 0.000000 0.000000
13 valleys, -0.024141 -0.023346 0.002519 -0.000084 0.000000 0.000000 0.000000 0.000000
14 flowing -0.021438 -0.020732 0.001987 -0.000066 0.000000 0.000000 0.000000 0.000000
15 to -0.007775 -0.007519 0.000261 -0.000009 0.000000 0.000000 0.000000 0.000000
16 oceans. 0.004272 0.004131 0.000079 -0.000003 0.000000 0.000000 0.000000 0.000000
17 Climate 0.030900 0.029882 0.004127 -0.000137 0.000000 0.000000 0.000000 0.000000
18 varies—deserts -0.001363 -0.001318 0.000008 -0.000000 0.000000 0.000000 0.000000 0.000000
19 bake, -0.012948 -0.012521 0.000725 -0.000024 0.000000 0.000000 0.000000 0.000000
20 tundras -0.019376 -0.018738 0.001623 -0.000054 0.000000 0.000000 0.000000 0.000000
21 freeze. -0.026518 -0.025644 0.003040 -0.000101 0.000000 0.000000 0.000000 0.000000
22 Population 0.026200 0.025337 0.002967 -0.000099 0.000000 0.000000 0.000000 0.000000
23 clusters 0.008515 0.008234 0.000313 -0.000010 0.000000 0.000000 0.000000 0.000000
24 in -0.010523 -0.010176 0.000479 -0.000016 0.000000 0.000000 0.000000 0.000000
25 cities, 0.031556 0.030516 0.004304 -0.000143 0.000000 0.000000 0.000000 0.000000
26 spreading -0.020113 -0.019450 0.001749 -0.000058 0.000000 0.000000 0.000000 0.000000
27 culture. -0.027258 -0.026359 0.003212 -0.000107 0.000000 0.000000 0.000000 0.000000
28 Resources 0.032353 0.031287 0.004524 -0.000150 0.000000 0.000000 0.000000 0.000000
29 like 0.010880 0.010522 0.000512 -0.000017 0.000000 0.000000 0.000000 0.000000
30 oil -0.005584 -0.005400 0.000135 -0.000004 0.000000 0.000000 0.000000 0.000000
31 or 0.014963 0.014470 0.000968 -0.000032 0.000000 0.000000 0.000000 0.000000
32 water -0.004384 -0.004239 0.000083 -0.000003 0.000000 0.000000 0.000000 0.000000
33 shape 0.000642 0.000620 0.000002 -0.000000 0.000000 0.000000 0.000000 0.000000
34 economies. -0.026982 -0.026093 0.003147 -0.000104 0.000000 0.000000 0.000000 0.000000
35 Maps 0.016982 0.016423 0.001247 -0.000041 0.000000 0.000000 0.000000 0.000000
36 guide -0.026298 -0.025431 0.002989 -0.000099 0.000000 0.000000 0.000000 0.000000
37 travel, 0.026340 0.025472 0.002999 -0.000100 0.000000 0.000000 0.000000 0.000000
38 showing -0.020677 -0.019995 0.001848 -0.000061 0.000000 0.000000 0.000000 0.000000
39 borders -0.006597 -0.006379 0.000188 -0.000006 0.000000 0.000000 0.000000 0.000000
40 and -0.017693 -0.017110 0.001353 -0.000045 0.000000 0.000000 0.000000 0.000000
41 terrain. -0.003563 -0.003446 0.000055 -0.000002 0.000000 0.000000 0.000000 0.000000
42 explains 0.017871 0.017282 0.001381 -0.000046 0.000000 0.000000 0.000000 0.000000
43 human-environment -0.012934 -0.012508 0.000723 -0.000024 0.000000 0.000000 0.000000 0.000000
44 ties. 0.010151 0.009816 0.000445 -0.000015 0.000000 0.000000 0.000000 0.000000
45 end_token 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
