epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 1 Geography 0.000000 -0.076046 -0.076046 0.000000 -0.001570 -0.001570 0.000000 0.000381 0.000381 - - +
5 2 maps 0.000000 0.011936 0.011936 0.000000 -0.000039 -0.000039 0.000000 0.000009 0.000009 + - +
5 3 Earth’s 0.000000 -0.011054 -0.011054 0.000000 -0.000033 -0.000033 0.000000 0.000008 0.000008 - - +
5 4 features. 0.000000 0.015586 0.015586 0.000000 -0.000066 -0.000066 0.000000 0.000016 0.000016 + - +
5 5 Mountains 0.000000 -0.042229 -0.042229 0.000000 -0.000484 -0.000484 0.000000 0.000118 0.000118 - - +
5 6 rise 0.000000 -0.035290 -0.035290 0.000000 -0.000338 -0.000338 0.000000 0.000082 0.000082 - - +
5 7 from 0.000000 0.011946 0.011946 0.000000 -0.000039 -0.000039 0.000000 0.000009 0.000009 + - +
5 8 tectonic 0.000000 0.014006 0.014006 0.000000 -0.000053 -0.000053 0.000000 0.000013 0.000013 + - +
5 9 plates 0.000000 -0.019368 -0.019368 0.000000 -0.000102 -0.000102 0.000000 0.000025 0.000025 - - +
5 10 clashing. 0.000000 0.046106 0.046106 0.000000 -0.000577 -0.000577 0.000000 0.000140 0.000140 + - +
5 11 Rivers 0.000000 -0.027798 -0.027798 0.000000 -0.000210 -0.000210 0.000000 0.000051 0.000051 - - +
5 12 carve 0.000000 -0.000610 -0.000610 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 - - +
5 13 valleys, 0.000000 -0.036007 -0.036007 0.000000 -0.000352 -0.000352 0.000000 0.000086 0.000086 - - +
5 14 flowing 0.000000 -0.037172 -0.037172 0.000000 -0.000375 -0.000375 0.000000 0.000091 0.000091 - - +
5 15 to 0.000000 -0.011843 -0.011843 0.000000 -0.000038 -0.000038 0.000000 0.000009 0.000009 - - +
5 16 oceans. 0.000000 0.005367 0.005367 0.000000 -0.000008 -0.000008 0.000000 0.000002 0.000002 + - +
5 17 Climate 0.000000 0.046200 0.046200 0.000000 -0.000579 -0.000579 0.000000 0.000141 0.000141 + - +
5 18 varies—deserts 0.000000 -0.002251 -0.002251 0.000000 -0.000001 -0.000001 0.000000 0.000000 0.000000 - - +
5 19 bake, 0.000000 -0.018323 -0.018323 0.000000 -0.000091 -0.000091 0.000000 0.000022 0.000022 - - +
