word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 History -0.013103 0.078015 0.157354 -0.000311 0.000000 0.000000 0.000000 0.000000
2 traces 0.059380 -0.353550 3.231658 -0.006395 0.000000 0.000000 0.000000 0.000000
3 human -0.005579 0.033219 0.028530 -0.000056 0.000000 0.000000 0.000000 0.000000
4 events -0.002927 0.017429 0.007853 -0.000016 0.000000 0.000000 0.000000 0.000000
5 across 0.000752 -0.004478 0.000518 -0.000001 0.000000 0.000000 0.000000 0.000000
6 time. -0.001905 0.011342 0.003326 -0.000007 0.000000 0.000000 0.000000 0.000000
7 Ancient 0.010019 -0.059653 0.092000 -0.000182 0.000000 0.000000 0.000000 0.000000
8 civilizations 0.003913 -0.023299 0.014035 -0.000028 0.000000 0.000000 0.000000 0.000000
9 built 0.026180 -0.155879 0.628204 -0.001243 0.000000 0.000000 0.000000 0.000000
10 pyramids -0.010564 0.062897 0.102279 -0.000202 0.000000 0.000000 0.000000 0.000000
11 and 0.097737 -0.581932 8.755215 -0.017325 0.000000 0.000000 0.000000 0.000000
12 wrote 0.005015 -0.029862 0.023054 -0.000046 0.000000 0.000000 0.000000 0.000000
13 laws. 0.003691 -0.021975 0.012485 -0.000025 0.000000 0.000000 0.000000 0.000000
14 The -0.002090 0.012443 0.004003 -0.000008 0.000000 0.000000 0.000000 0.000000
15 Middle -0.011594 0.069032 0.123202 -0.000244 0.000000 0.000000 0.000000 0.000000
16 Ages -0.095009 0.565689 8.273301 -0.016371 0.000000 0.000000 0.000000 0.000000
17 saw 0.000171 -0.001020 0.000027 -0.000000 0.000000 0.000000 0.000000 0.000000
18 knights 0.002082 -0.012395 0.003972 -0.000008 0.000000 0.000000 0.000000 0.000000
19 castles, 0.004053 -0.024134 0.015058 -0.000030 0.000000 0.000000 0.000000 0.000000
20 while -0.001277 0.007600 0.001493 -0.000003 0.000000 0.000000 0.000000 0.000000
21 the 0.033624 -0.200198 1.036197 -0.002050 0.000000 0.000000 0.000000 0.000000
22 Renaissance 0.038580 -0.229705 1.364154 -0.002699 0.000000 0.000000 0.000000 0.000000
23 sparked 0.085051 -0.506396 6.629849 -0.013119 0.000000 0.000000 0.000000 0.000000
24 art -0.034278 0.204090 1.076882 -0.002131 0.000000 0.000000 0.000000 0.000000
25 science. -0.005431 0.032335 0.027031 -0.000053 0.000000 0.000000 0.000000 0.000000
26 Wars -0.227983 1.357419 47.637691 -0.094267 0.000000 0.000000 0.000000 0.000000
27 shaped 0.006515 -0.038792 0.038906 -0.000077 0.000000 0.000000 0.000000 0.000000
28 nations—World -0.024654 0.146791 0.557084 -0.001102 0.000000 0.000000 0.000000 0.000000
29 War -0.000215 0.001278 0.000042 -0.000000 0.000000 0.000000 0.000000 0.000000
30 II -0.002551 0.015189 0.005965 -0.000012 0.000000 0.000000 0.000000 0.000000
31 involved -0.123504 0.735351 13.980172 -0.027664 0.000000 0.000000 0.000000 0.000000
32 tanks, -0.002574 0.015325 0.006072 -0.000012 0.000000 0.000000 0.000000 0.000000
33 planes, 0.006584 -0.039202 0.039732 -0.000079 0.000000 0.000000 0.000000 0.000000
34 millions -0.006873 0.040923 0.043297 -0.000086 0.000000 0.000000 0.000000 0.000000
35 dead. -0.034005 0.202469 1.059842 -0.002097 0.000000 0.000000 0.000000 0.000000
36 Revolutions, 0.008548 -0.050892 0.066962 -0.000133 0.000000 0.000000 0.000000 0.000000
37 like -0.115662 0.688659 12.261157 -0.024263 0.000000 0.000000 0.000000 0.000000
