epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 1 History 0.000000 -0.007553 -0.007553 0.000000 0.000007 0.000007 0.000000 0.000005 0.000005 - + +
5 2 traces 0.000000 0.013231 0.013231 0.000000 0.000021 0.000021 0.000000 0.000016 0.000016 + + +
5 3 human 0.000000 -0.034096 -0.034096 0.000000 0.000140 0.000140 0.000000 0.000107 0.000107 - + +
5 4 events 0.000000 -0.003093 -0.003093 0.000000 0.000001 0.000001 0.000000 0.000001 0.000001 - + +
5 5 across 0.000000 0.002382 0.002382 0.000000 0.000001 0.000001 0.000000 0.000001 0.000001 + + +
5 6 time. 0.000000 -0.010296 -0.010296 0.000000 0.000013 0.000013 0.000000 0.000010 0.000010 - + +
5 7 Ancient 0.000000 0.032099 0.032099 0.000000 0.000124 0.000124 0.000000 0.000095 0.000095 + + +
5 8 civilizations 0.000000 0.016098 0.016098 0.000000 0.000031 0.000031 0.000000 0.000024 0.000024 + + +
5 9 built 0.000000 0.010993 0.010993 0.000000 0.000015 0.000015 0.000000 0.000011 0.000011 + + +
5 10 pyramids 0.000000 -0.036708 -0.036708 0.000000 0.000162 0.000162 0.000000 0.000124 0.000124 - + +
5 11 and 0.000000 0.056815 0.056815 0.000000 0.000389 0.000389 0.000000 0.000297 0.000297 + + +
5 12 wrote 0.000000 0.013165 0.013165 0.000000 0.000021 0.000021 0.000000 0.000016 0.000016 + + +
5 13 laws. 0.000000 0.015218 0.015218 0.000000 0.000028 0.000028 0.000000 0.000021 0.000021 + + +
5 14 The 0.000000 -0.007099 -0.007099 0.000000 0.000006 0.000006 0.000000 0.000005 0.000005 - + +
5 15 Middle 0.000000 -0.020040 -0.020040 0.000000 0.000048 0.000048 0.000000 0.000037 0.000037 - + +
5 16 Ages 0.000000 -0.021920 -0.021920 0.000000 0.000058 0.000058 0.000000 0.000044 0.000044 - + +
5 17 saw 0.000000 0.000653 0.000653 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 + + +
5 18 knights 0.000000 0.011765 0.011765 0.000000 0.000017 0.000017 0.000000 0.000013 0.000013 + + +
5 19 castles, 0.000000 0.016330 0.016330 0.000000 0.000032 0.000032 0.000000 0.000025 0.000025 + + +
5 20 while 0.000000 -0.001877 -0.001877 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 - + +
5 21 the 0.000000 0.025970 0.025970 0.000000 0.000081 0.000081 0.000000 0.000062 0.000062 + + +
5 22 Renaissance 0.000000 0.023748 0.023748 0.000000 0.000068 0.000068 0.000000 0.000052 0.000052 + + +
5 23 sparked 0.000000 0.009332 0.009332 0.000000 0.000010 0.000010 0.000000 0.000008 0.000008 + + +
5 24 art 0.000000 -0.032794 -0.032794 0.000000 0.000130 0.000130 0.000000 0.000099 0.000099 - + +
5 25 science. 0.000000 -0.035314 -0.035314 0.000000 0.000150 0.000150 0.000000 0.000115 0.000115 - + +
5 26 Wars 0.000000 -0.020242 -0.020242 0.000000 0.000049 0.000049 0.000000 0.000038 0.000038 - + +
5 27 shaped 0.000000 0.031761 0.031761 0.000000 0.000121 0.000121 0.000000 0.000093 0.000093 + + +
5 28 nations—World 0.000000 -0.008537 -0.008537 0.000000 0.000009 0.000009 0.000000 0.000007 0.000007 - + +
5 29 War 0.000000 -0.000666 -0.000666 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 - + +
5 30 II 0.000000 -0.013211 -0.013211 0.000000 0.000021 0.000021 0.000000 0.000016 0.000016 - + +
5 31 involved 0.000000 -0.024784 -0.024784 0.000000 0.000074 0.000074 0.000000 0.000057 0.000057 - + +
5 32 tanks, 0.000000 -0.009651 -0.009651 0.000000 0.000011 0.000011 0.000000 0.000009 0.000009 - + +
5 33 planes, 0.000000 0.022481 0.022481 0.000000 0.000061 0.000061 0.000000 0.000047 0.000047 + + +
5 34 millions 0.000000 -0.026944 -0.026944 0.000000 0.000087 0.000087 0.000000 0.000067 0.000067 - + +
5 35 dead. 0.000000 -0.013652 -0.013652 0.000000 0.000022 0.000022 0.000000 0.000017 0.000017 - + +
5 36 Revolutions, 0.000000 0.002207 0.002207 0.000000 0.000001 0.000001 0.000000 0.000000 0.000000 + + +
5 37 like 0.000000 -0.049132 -0.049132 0.000000 0.000291 0.000291 0.000000 0.000222 0.000222 - + +
5 38 America’s, 0.000000 0.022128 0.022128 0.000000 0.000059 0.000059 0.000000 0.000045 0.000045 + + +
5 39 birthed 0.000000 -0.002437 -0.002437 0.000000 0.000001 0.000001 0.000000 0.000001 0.000001 - + +
5 40 democracies. 0.000000 -0.004188 -0.004188 0.000000 0.000002 0.000002 0.000000 0.000002 0.000002 - + +
5 41 Leaders 0.000000 -0.018737 -0.018737 0.000000 0.000042 0.000042 0.000000 0.000032 0.000032 - + +
5 42 Caesar 0.000000 0.026030 0.026030 0.000000 0.000082 0.000082 0.000000 0.000062 0.000062 + + +
5 43 or 0.000000 0.005664 0.005664 0.000000 0.000004 0.000004 0.000000 0.000003 0.000003 + + +
5 44 Lincoln 0.000000 -0.014630 -0.014630 0.000000 0.000026 0.000026 0.000000 0.000020 0.000020 - + +
5 45 left 0.000000 -0.017028 -0.017028 0.000000 0.000035 0.000035 0.000000 0.000027 0.000027 - + +
5 46 marks. 0.000000 -0.013120 -0.013120 0.000000 0.000021 0.000021 0.000000 0.000016 0.000016 - + +
5 47 Trade 0.000000 -0.021800 -0.021800 0.000000 0.000057 0.000057 0.000000 0.000044 0.000044 - + +
5 48 connected 0.000000 -0.032458 -0.032458 0.000000 0.000127 0.000127 0.000000 0.000097 0.000097 - + +
5 49 continents, 0.000000 -0.033915 -0.033915 0.000000 0.000139 0.000139 0.000000 0.000106 0.000106 - + +
5 50 spreading 0.000000 0.027082 0.027082 0.000000 0.000088 0.000088 0.000000 0.000068 0.000068 + + +
5 51 goods 0.000000 0.032210 0.032210 0.000000 0.000125 0.000125 0.000000 0.000096 0.000096 + + +
5 52 ideas. 0.000000 0.019918 0.019918 0.000000 0.000048 0.000048 0.000000 0.000037 0.000037 + + +
5 53 teaches 0.000000 0.020532 0.020532 0.000000 0.000051 0.000051 0.000000 0.000039 0.000039 + + +
5 54 patterns, 0.000000 0.034415 0.034415 0.000000 0.000143 0.000143 0.000000 0.000109 0.000109 + + +
5 55 power 0.000000 0.003478 0.003478 0.000000 0.000001 0.000001 0.000000 0.000001 0.000001 + + +
5 56 shifting 0.000000 0.019900 0.019900 0.000000 0.000048 0.000048 0.000000 0.000036 0.000036 + + +
5 57 with 0.000000 0.027842 0.027842 0.000000 0.000093 0.000093 0.000000 0.000071 0.000071 + + +
5 58 technology. 0.000000 0.003025 0.003025 0.000000 0.000001 0.000001 0.000000 0.000001 0.000001 + + +
5 59 end_token 0.000000 0.013330 0.013330 0.000000 0.000021 0.000021 0.000000 0.000016 0.000016 + + +
10 1 History -0.007553 -0.011346 -0.003793 0.000007 0.000016 0.000009 0.000005 0.000159 0.000154 - + +
10 2 traces 0.013231 0.012276 -0.000955 0.000021 0.000018 -0.000003 0.000016 0.000186 0.000170 - - +
10 3 human -0.034096 -0.031634 0.002462 0.000140 0.000121 -0.000019 0.000107 0.001235 0.001128 + - +
10 4 events -0.003093 -0.002869 0.000223 0.000001 0.000001 -0.000000 0.000001 0.000010 0.000009 + - +
10 5 across 0.002382 0.002210 -0.000172 0.000001 0.000001 -0.000000 0.000001 0.000006 0.000006 - - +
10 6 time. -0.010296 -0.009552 0.000743 0.000013 0.000011 -0.000002 0.000010 0.000113 0.000103 + - +
10 7 Ancient 0.032099 0.029781 -0.002318 0.000124 0.000107 -0.000017 0.000095 0.001095 0.001000 - - +
10 8 civilizations 0.016098 0.014936 -0.001162 0.000031 0.000027 -0.000004 0.000024 0.000275 0.000251 - - +
10 9 built 0.010993 0.010199 -0.000794 0.000015 0.000013 -0.000002 0.000011 0.000128 0.000117 - - +
10 10 pyramids -0.036708 -0.034057 0.002651 0.000162 0.000140 -0.000022 0.000124 0.001432 0.001308 + - +
10 11 and 0.056815 0.362252 0.305437 0.000389 0.015825 0.015436 0.000297 0.161970 0.161672 + + +
10 12 wrote 0.013165 0.012215 -0.000951 0.000021 0.000018 -0.000003 0.000016 0.000184 0.000168 - - +
10 13 laws. 0.015218 0.014119 -0.001099 0.000028 0.000024 -0.000004 0.000021 0.000246 0.000225 - - +
10 14 The -0.007099 -0.006586 0.000513 0.000006 0.000005 -0.000001 0.000005 0.000054 0.000049 + - +
10 15 Middle -0.020040 -0.018593 0.001447 0.000048 0.000042 -0.000007 0.000037 0.000427 0.000390 + - +
10 16 Ages -0.021920 -0.020337 0.001583 0.000058 0.000050 -0.000008 0.000044 0.000510 0.000466 + - +
10 17 saw 0.000653 0.000606 -0.000047 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 - - +
10 18 knights 0.011765 0.010915 -0.000850 0.000017 0.000014 -0.000002 0.000013 0.000147 0.000134 - - +
10 19 castles, 0.016330 0.015151 -0.001179 0.000032 0.000028 -0.000004 0.000025 0.000283 0.000259 - - +
10 20 while -0.001877 -0.001741 0.000136 0.000000 0.000000 -0.000000 0.000000 0.000004 0.000003 + - +
10 21 the 0.025970 0.024095 -0.001875 0.000081 0.000070 -0.000011 0.000062 0.000717 0.000654 - - +
