word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 Literature -0.109840 -0.132012 0.513463 -0.043063 0.000000 0.000000 0.000000 0.000000
2 tells -0.027284 -0.032791 0.031681 -0.002657 0.000000 0.000000 0.000000 0.000000
3 stories -0.004702 -0.005651 0.000941 -0.000079 0.000000 0.000000 0.000000 0.000000
4 through -0.024431 -0.029363 0.025403 -0.002131 0.000000 0.000000 0.000000 0.000000
5 words. 0.012840 0.015432 0.007017 -0.000588 0.000000 0.000000 0.000000 0.000000
6 Shakespeare 0.001873 0.002252 0.000149 -0.000013 0.000000 0.000000 0.000000 0.000000
7 wrote -0.034398 -0.041342 0.050356 -0.004223 0.000000 0.000000 0.000000 0.000000
8 plays -0.000782 -0.000939 0.000026 -0.000002 0.000000 0.000000 0.000000 0.000000
9 like -0.079458 -0.095498 0.268700 -0.022535 0.000000 0.000000 0.000000 0.000000
10 Hamlet, 0.009560 0.011490 0.003889 -0.000326 0.000000 0.000000 0.000000 0.000000
11 exploring 0.005351 0.006431 0.001218 -0.000102 0.000000 0.000000 0.000000 0.000000
12 tragedy 0.001993 0.002395 0.000169 -0.000014 0.000000 0.000000 0.000000 0.000000
13 and 0.086931 0.104479 0.321614 -0.026973 0.000000 0.000000 0.000000 0.000000
14 human -0.030234 -0.036337 0.038902 -0.003263 0.000000 0.000000 0.000000 0.000000
15 nature. 0.004038 0.004853 0.000694 -0.000058 0.000000 0.000000 0.000000 0.000000
16 Novels, 0.005144 0.006182 0.001126 -0.000094 0.000000 0.000000 0.000000 0.000000
17 Dickens’ 0.006279 0.007546 0.001678 -0.000141 0.000000 0.000000 0.000000 0.000000
18 tales, -0.062895 -0.075592 0.168356 -0.014120 0.000000 0.000000 0.000000 0.000000
19 paint 0.010376 0.012471 0.004582 -0.000384 0.000000 0.000000 0.000000 0.000000
20 society’s 0.009539 0.011465 0.003873 -0.000325 0.000000 0.000000 0.000000 0.000000
21 struggles. -0.000089 -0.000107 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
22 Poetry -0.003220 -0.003870 0.000441 -0.000037 0.000000 0.000000 0.000000 0.000000
23 uses -0.004638 -0.005574 0.000916 -0.000077 0.000000 0.000000 0.000000 0.000000
24 rhythm—think -0.003690 -0.004435 0.000579 -0.000049 0.000000 0.000000 0.000000 0.000000
25 Frost’s 0.006243 0.007503 0.001659 -0.000139 0.000000 0.000000 0.000000 0.000000
26 “roads -0.015546 -0.018684 0.010285 -0.000863 0.000000 0.000000 0.000000 0.000000
27 diverged.” -0.053959 -0.064852 0.123915 -0.010393 0.000000 0.000000 0.000000 0.000000
28 Themes -0.002618 -0.003146 0.000292 -0.000024 0.000000 0.000000 0.000000 0.000000
29 of -0.010346 -0.012435 0.004556 -0.000382 0.000000 0.000000 0.000000 0.000000
30 love, 0.015110 0.018160 0.009717 -0.000815 0.000000 0.000000 0.000000 0.000000
31 death, -0.011555 -0.013887 0.005682 -0.000477 0.000000 0.000000 0.000000 0.000000
32 identity 0.003482 0.004185 0.000516 -0.000043 0.000000 0.000000 0.000000 0.000000
33 recur. 0.005575 0.006701 0.001323 -0.000111 0.000000 0.000000 0.000000 0.000000
34 Authors 0.006233 0.007491 0.001653 -0.000139 0.000000 0.000000 0.000000 0.000000
35 craft 0.010990 0.013208 0.005140 -0.000431 0.000000 0.000000 0.000000 0.000000
36 characters, 0.004389 0.005275 0.000820 -0.000069 0.000000 0.000000 0.000000 0.000000
37 from 0.015981 0.019207 0.010869 -0.000912 0.000000 0.000000 0.000000 0.000000
38 heroes -0.009550 -0.011478 0.003882 -0.000326 0.000000 0.000000 0.000000 0.000000
39 to 0.001703 0.002047 0.000123 -0.000010 0.000000 0.000000 0.000000 0.000000
40 villains, 0.017611 0.021166 0.013200 -0.001107 0.000000 0.000000 0.000000 0.000000
41 driving 0.008331 0.010013 0.002954 -0.000248 0.000000 0.000000 0.000000 0.000000
42 plots. -0.136684 -0.164276 0.795111 -0.066684 0.000000 0.000000 0.000000 0.000000
43 Books -0.001593 -0.001914 0.000108 -0.000009 0.000000 0.000000 0.000000 0.000000
44 shape -0.017561 -0.021106 0.013125 -0.001101 0.000000 0.000000 0.000000 0.000000
45 culture, -0.022408 -0.026931 0.021369 -0.001792 0.000000 0.000000 0.000000 0.000000
46 inspiring 0.008364 0.010053 0.002978 -0.000250 0.000000 0.000000 0.000000 0.000000
47 films -0.037671 -0.045275 0.060394 -0.005065 0.000000 0.000000 0.000000 0.000000
48 debates. -0.060044 -0.072165 0.153437 -0.012868 0.000000 0.000000 0.000000 0.000000
49 Reading -0.003813 -0.004582 0.000619 -0.000052 0.000000 0.000000 0.000000 0.000000
50 builds -0.004976 -0.005980 0.001054 -0.000088 0.000000 0.000000 0.000000 0.000000
51 empathy -0.019201 -0.023076 0.015690 -0.001316 0.000000 0.000000 0.000000 0.000000
52 imagination. 0.013176 0.015836 0.007389 -0.000620 0.000000 0.000000 0.000000 0.000000
53 end_token -0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
