epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 1 Literature 0.000000 -0.041712 -0.041712 0.000000 0.002576 0.002576 0.000000 -0.001314 -0.001314 - + -
5 2 tells 0.000000 -0.033810 -0.033810 0.000000 0.001692 0.001692 0.000000 -0.000863 -0.000863 - + -
5 3 stories 0.000000 -0.016175 -0.016175 0.000000 0.000387 0.000387 0.000000 -0.000198 -0.000198 - + -
5 4 through 0.000000 -0.031034 -0.031034 0.000000 0.001426 0.001426 0.000000 -0.000727 -0.000727 - + -
5 5 words. 0.000000 0.011031 0.011031 0.000000 0.000180 0.000180 0.000000 -0.000092 -0.000092 + + -
5 6 Shakespeare 0.000000 0.001697 0.001697 0.000000 0.000004 0.000004 0.000000 -0.000002 -0.000002 + + -
5 7 wrote 0.000000 -0.040638 -0.040638 0.000000 0.002445 0.002445 0.000000 -0.001247 -0.001247 - + -
5 8 plays 0.000000 -0.001721 -0.001721 0.000000 0.000004 0.000004 0.000000 -0.000002 -0.000002 - + -
5 9 like 0.000000 -0.035647 -0.035647 0.000000 0.001881 0.001881 0.000000 -0.000959 -0.000959 - + -
5 10 Hamlet, 0.000000 0.045617 0.045617 0.000000 0.003081 0.003081 0.000000 -0.001571 -0.001571 + + -
5 11 exploring 0.000000 0.005107 0.005107 0.000000 0.000039 0.000039 0.000000 -0.000020 -0.000020 + + -
5 12 tragedy 0.000000 0.003084 0.003084 0.000000 0.000014 0.000014 0.000000 -0.000007 -0.000007 + + -
5 13 and 0.000000 0.174646 0.174646 0.000000 0.045155 0.045155 0.000000 -0.023029 -0.023029 + + -
5 14 human 0.000000 -0.043085 -0.043085 0.000000 0.002748 0.002748 0.000000 -0.001402 -0.001402 - + -
5 15 nature. 0.000000 0.003353 0.003353 0.000000 0.000017 0.000017 0.000000 -0.000008 -0.000008 + + -
5 16 Novels, 0.000000 0.027637 0.027637 0.000000 0.001131 0.001131 0.000000 -0.000577 -0.000577 + + -
5 17 Dickens’ 0.000000 0.041363 0.041363 0.000000 0.002533 0.002533 0.000000 -0.001292 -0.001292 + + -
5 18 tales, 0.000000 -0.038570 -0.038570 0.000000 0.002202 0.002202 0.000000 -0.001123 -0.001123 - + -
5 19 paint 0.000000 0.018055 0.018055 0.000000 0.000483 0.000483 0.000000 -0.000246 -0.000246 + + -
5 20 society’s 0.000000 0.045750 0.045750 0.000000 0.003099 0.003099 0.000000 -0.001580 -0.001580 + + -
5 21 struggles. 0.000000 -0.000316 -0.000316 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 - + -
5 22 Poetry 0.000000 -0.005722 -0.005722 0.000000 0.000048 0.000048 0.000000 -0.000025 -0.000025 - + -
