word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 Numbers 0.008181 -0.025544 -1.028029 0.026088 0.000000 0.000000 0.000000 0.000000
2 form 0.001146 -0.003578 -0.020168 0.000512 0.000000 0.000000 0.000000 0.000000
3 the 0.009359 -0.029223 -1.345426 0.034143 0.000000 0.000000 0.000000 0.000000
4 foundation -0.004588 0.014327 -0.323374 0.008206 0.000000 0.000000 0.000000 0.000000
5 of -0.007179 0.022415 -0.791546 0.020087 0.000000 0.000000 0.000000 0.000000
6 mathematics, 0.013907 -0.043423 -2.970717 0.075387 0.000000 0.000000 0.000000 0.000000
7 encompassing -0.007757 0.024220 -0.924223 0.023454 0.000000 0.000000 0.000000 0.000000
8 algebra, -0.001144 0.003570 -0.020084 0.000510 0.000000 0.000000 0.000000 0.000000
9 geometry, 0.003309 -0.010331 -0.168162 0.004267 0.000000 0.000000 0.000000 0.000000
10 and -0.033860 0.105722 -17.609510 0.446874 0.000000 0.000000 0.000000 0.000000
11 calculus. 0.000451 -0.001410 -0.003131 0.000079 0.000000 0.000000 0.000000 0.000000
12 Algebra -0.008741 0.027293 -1.173574 0.029782 0.000000 0.000000 0.000000 0.000000
13 deals 0.019285 -0.060214 -5.712398 0.144963 0.000000 0.000000 0.000000 0.000000
14 with 0.006774 -0.021149 -0.704710 0.017883 0.000000 0.000000 0.000000 0.000000
15 equations -0.002613 0.008158 -0.104846 0.002661 0.000000 0.000000 0.000000 0.000000
16 like 0.004668 -0.014576 -0.334737 0.008495 0.000000 0.000000 0.000000 0.000000
17 x 0.002086 -0.006512 -0.066808 0.001695 0.000000 0.000000 0.000000 0.000000
18 + 0.005791 -0.018082 -0.515117 0.013072 0.000000 0.000000 0.000000 0.000000
19 2 0.280590 -0.876090 -1209.244629 30.686808 0.000000 0.000000 0.000000 0.000000
20 = -0.000359 0.001121 -0.001979 0.000050 0.000000 0.000000 0.000000 0.000000
21 5, 0.003373 -0.010533 -0.174785 0.004435 0.000000 0.000000 0.000000 0.000000
22 solving -0.001066 0.003329 -0.017456 0.000443 0.000000 0.000000 0.000000 0.000000
23 for 0.004923 -0.015370 -0.372184 0.009445 0.000000 0.000000 0.000000 0.000000
24 unknowns 0.020809 -0.064974 -6.651071 0.168783 0.000000 0.000000 0.000000 0.000000
25 using -0.003254 0.010159 -0.162608 0.004126 0.000000 0.000000 0.000000 0.000000
26 addition, -0.012550 0.039185 -2.419137 0.061390 0.000000 0.000000 0.000000 0.000000
