epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 1 Numbers 0.000000 0.037441 0.037441 0.000000 0.000813 0.000813 0.000000 0.000138 0.000138 + + +
5 2 form 0.000000 0.014937 0.014937 0.000000 0.000129 0.000129 0.000000 0.000022 0.000022 + + +
5 3 the 0.000000 0.020068 0.020068 0.000000 0.000233 0.000233 0.000000 0.000040 0.000040 + + +
5 4 foundation 0.000000 -0.047353 -0.047353 0.000000 0.001300 0.001300 0.000000 0.000221 0.000221 - + +
5 5 of 0.000000 -0.025681 -0.025681 0.000000 0.000382 0.000382 0.000000 0.000065 0.000065 - + +
5 6 mathematics, 0.000000 0.020676 0.020676 0.000000 0.000248 0.000248 0.000000 0.000042 0.000042 + + +
5 7 encompassing 0.000000 -0.011178 -0.011178 0.000000 0.000072 0.000072 0.000000 0.000012 0.000012 - + +
5 8 algebra, 0.000000 -0.005830 -0.005830 0.000000 0.000020 0.000020 0.000000 0.000003 0.000003 - + +
5 9 geometry, 0.000000 0.027490 0.027490 0.000000 0.000438 0.000438 0.000000 0.000074 0.000074 + + +
5 10 and 0.000000 -0.244696 -0.244696 0.000000 0.034707 0.034707 0.000000 0.005890 0.005890 - + +
5 11 calculus. 0.000000 0.008070 0.008070 0.000000 0.000038 0.000038 0.000000 0.000006 0.000006 + + +
5 12 Algebra 0.000000 -0.037076 -0.037076 0.000000 0.000797 0.000797 0.000000 0.000135 0.000135 - + +
5 13 deals 0.000000 0.027274 0.027274 0.000000 0.000431 0.000431 0.000000 0.000073 0.000073 + + +
5 14 with 0.000000 0.112173 0.112173 0.000000 0.007294 0.007294 0.000000 0.001238 0.001238 + + +
5 15 equations 0.000000 -0.024209 -0.024209 0.000000 0.000340 0.000340 0.000000 0.000058 0.000058 - + +
5 16 like 0.000000 0.031263 0.031263 0.000000 0.000567 0.000567 0.000000 0.000096 0.000096 + + +
5 17 x 0.000000 0.025394 0.025394 0.000000 0.000374 0.000374 0.000000 0.000063 0.000063 + + +
5 18 + 0.000000 0.022118 0.022118 0.000000 0.000284 0.000284 0.000000 0.000048 0.000048 + + +
5 19 2 0.000000 0.076390 0.076390 0.000000 0.003382 0.003382 0.000000 0.000574 0.000574 + + +
5 20 = 0.000000 -0.000331 -0.000331 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 - + +
5 21 5, 0.000000 0.037215 0.037215 0.000000 0.000803 0.000803 0.000000 0.000136 0.000136 + + +
5 22 solving 0.000000 -0.011630 -0.011630 0.000000 0.000078 0.000078 0.000000 0.000013 0.000013 - + +
5 23 for 0.000000 0.045783 0.045783 0.000000 0.001215 0.001215 0.000000 0.000206 0.000206 + + +
5 24 unknowns 0.000000 0.053363 0.053363 0.000000 0.001651 0.001651 0.000000 0.000280 0.000280 + + +
5 25 using 0.000000 -0.031821 -0.031821 0.000000 0.000587 0.000587 0.000000 0.000100 0.000100 - + +
5 26 addition, 0.000000 -0.041921 -0.041921 0.000000 0.001019 0.001019 0.000000 0.000173 0.000173 - + +
5 27 subtraction, 0.000000 -0.047316 -0.047316 0.000000 0.001298 0.001298 0.000000 0.000220 0.000220 - + +
5 28 multiplication, 0.000000 0.013864 0.013864 0.000000 0.000111 0.000111 0.000000 0.000019 0.000019 + + +
5 29 division. 0.000000 0.003615 0.003615 0.000000 0.000008 0.000008 0.000000 0.000001 0.000001 + + +
5 30 Geometry 0.000000 0.016057 0.016057 0.000000 0.000149 0.000149 0.000000 0.000025 0.000025 + + +
5 31 explores 0.000000 -0.034381 -0.034381 0.000000 0.000685 0.000685 0.000000 0.000116 0.000116 - + +
5 32 shapes—triangles, 0.000000 0.042375 0.042375 0.000000 0.001041 0.001041 0.000000 0.000177 0.000177 + + +
5 33 circles, 0.000000 0.005662 0.005662 0.000000 0.000019 0.000019 0.000000 0.000003 0.000003 + + +
5 34 squares—measuring 0.000000 0.030313 0.030313 0.000000 0.000533 0.000533 0.000000 0.000090 0.000090 + + +
5 35 angles 0.000000 0.008697 0.008697 0.000000 0.000044 0.000044 0.000000 0.000007 0.000007 + + +
5 36 areas, 0.000000 -0.027842 -0.027842 0.000000 0.000449 0.000449 0.000000 0.000076 0.000076 - + +
5 37 such 0.000000 0.014335 0.014335 0.000000 0.000119 0.000119 0.000000 0.000020 0.000020 + + +
5 38 as 0.000000 0.042298 0.042298 0.000000 0.001037 0.001037 0.000000 0.000176 0.000176 + + +
5 39 Pythagorean 0.000000 -0.002426 -0.002426 0.000000 0.000003 0.000003 0.000000 0.000001 0.000001 - + +
5 40 theorem: 0.000000 0.007002 0.007002 0.000000 0.000028 0.000028 0.000000 0.000005 0.000005 + + +
5 41 a^2 0.000000 -0.037934 -0.037934 0.000000 0.000834 0.000834 0.000000 0.000142 0.000142 - + +
5 42 b^2 0.000000 -0.036632 -0.036632 0.000000 0.000778 0.000778 0.000000 0.000132 0.000132 - + +
5 43 c^2. 0.000000 -0.011694 -0.011694 0.000000 0.000079 0.000079 0.000000 0.000013 0.000013 - + +
5 44 Calculus 0.000000 -0.032914 -0.032914 0.000000 0.000628 0.000628 0.000000 0.000107 0.000107 - + +
5 45 tackles 0.000000 0.034050 0.034050 0.000000 0.000672 0.000672 0.000000 0.000114 0.000114 + + +
5 46 change, 0.000000 0.009577 0.009577 0.000000 0.000053 0.000053 0.000000 0.000009 0.000009 + + +
5 47 derivatives 0.000000 -0.032389 -0.032389 0.000000 0.000608 0.000608 0.000000 0.000103 0.000103 - + +
5 48 slopes 0.000000 0.038787 0.038787 0.000000 0.000872 0.000872 0.000000 0.000148 0.000148 + + +
5 49 integrals 0.000000 -0.017174 -0.017174 0.000000 0.000171 0.000171 0.000000 0.000029 0.000029 - + +
