word_index word embedding1 pe_weight1 weight1 weight2 bias1 bias2 bias3 bias4
1 Physics -0.169067 -0.025803 -0.037513 -0.003499 0.000000 0.000000 0.000000 0.000000
2 studies 0.001522 0.000232 -0.000003 -0.000000 0.000000 0.000000 0.000000 0.000000
3 the 0.003574 0.000545 -0.000017 -0.000002 0.000000 0.000000 0.000000 0.000000
4 universe’s 0.022090 0.003371 -0.000640 -0.000060 0.000000 0.000000 0.000000 0.000000
5 laws, -0.001067 -0.000163 -0.000001 -0.000000 0.000000 0.000000 0.000000 0.000000
6 like 0.150595 0.022984 -0.029763 -0.002776 0.000000 0.000000 0.000000 0.000000
7 motion, 0.008188 0.001250 -0.000088 -0.000008 0.000000 0.000000 0.000000 0.000000
8 energy, 0.020676 0.003156 -0.000561 -0.000052 0.000000 0.000000 0.000000 0.000000
9 and 0.009558 0.001459 -0.000120 -0.000011 0.000000 0.000000 0.000000 0.000000
10 force. 0.000046 0.000007 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
11 Mechanics 0.004261 0.000650 -0.000024 -0.000002 0.000000 0.000000 0.000000 0.000000
12 describes -0.000534 -0.000082 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
13 how -0.026606 -0.004061 -0.000929 -0.000087 0.000000 0.000000 0.000000 0.000000
14 objects -0.019351 -0.002953 -0.000491 -0.000046 0.000000 0.000000 0.000000 0.000000
15 move—Newton’s 0.006044 0.000922 -0.000048 -0.000004 0.000000 0.000000 0.000000 0.000000
16 laws 0.007643 0.001167 -0.000077 -0.000007 0.000000 0.000000 0.000000 0.000000
17 say 0.008947 0.001366 -0.000105 -0.000010 0.000000 0.000000 0.000000 0.000000
18 force -0.014156 -0.002161 -0.000263 -0.000025 0.000000 0.000000 0.000000 0.000000
19 equals 0.005688 0.000868 -0.000042 -0.000004 0.000000 0.000000 0.000000 0.000000
20 mass -0.008852 -0.001351 -0.000103 -0.000010 0.000000 0.000000 0.000000 0.000000
21 times 0.000874 0.000133 -0.000001 -0.000000 0.000000 0.000000 0.000000 0.000000
22 acceleration 0.008511 0.001299 -0.000095 -0.000009 0.000000 0.000000 0.000000 0.000000
23 (F 0.009211 0.001406 -0.000111 -0.000010 0.000000 0.000000 0.000000 0.000000
24 = 0.020200 0.003083 -0.000535 -0.000050 0.000000 0.000000 0.000000 0.000000
25 ma). 0.003647 0.000557 -0.000017 -0.000002 0.000000 0.000000 0.000000 0.000000
26 Thermodynamics 0.006994 0.001067 -0.000064 -0.000006 0.000000 0.000000 0.000000 0.000000
27 examines -0.007623 -0.001163 -0.000076 -0.000007 0.000000 0.000000 0.000000 0.000000
28 heat -0.011426 -0.001744 -0.000171 -0.000016 0.000000 0.000000 0.000000 0.000000
29 energy 0.012939 0.001975 -0.000220 -0.000020 0.000000 0.000000 0.000000 0.000000
30 transfer, 0.015593 0.002380 -0.000319 -0.000030 0.000000 0.000000 0.000000 0.000000
31 defining -0.009795 -0.001495 -0.000126 -0.000012 0.000000 0.000000 0.000000 0.000000
32 temperature 0.018717 0.002857 -0.000460 -0.000043 0.000000 0.000000 0.000000 0.000000
33 entropy. 0.016866 0.002574 -0.000373 -0.000035 0.000000 0.000000 0.000000 0.000000
34 Electromagnetism 0.007738 0.001181 -0.000079 -0.000007 0.000000 0.000000 0.000000 0.000000
35 covers -0.013000 -0.001984 -0.000222 -0.000021 0.000000 0.000000 0.000000 0.000000
36 electricity -0.006891 -0.001052 -0.000062 -0.000006 0.000000 0.000000 0.000000 0.000000
37 magnetism, 0.012810 0.001955 -0.000215 -0.000020 0.000000 0.000000 0.000000 0.000000
38 with 0.002051 0.000313 -0.000006 -0.000001 0.000000 0.000000 0.000000 0.000000
39 currents 0.009682 0.001478 -0.000123 -0.000011 0.000000 0.000000 0.000000 0.000000
40 generating -0.009036 -0.001379 -0.000107 -0.000010 0.000000 0.000000 0.000000 0.000000
41 fields -0.009527 -0.001454 -0.000119 -0.000011 0.000000 0.000000 0.000000 0.000000
42 light 0.017664 0.002696 -0.000409 -0.000038 0.000000 0.000000 0.000000 0.000000
43 as -0.005907 -0.000902 -0.000046 -0.000004 0.000000 0.000000 0.000000 0.000000
44 waves. -0.009162 -0.001398 -0.000110 -0.000010 0.000000 0.000000 0.000000 0.000000
45 Gravity 0.031614 0.004825 -0.001312 -0.000122 0.000000 0.000000 0.000000 0.000000
46 pulls -0.019146 -0.002922 -0.000481 -0.000045 0.000000 0.000000 0.000000 0.000000
47 together, -0.006198 -0.000946 -0.000050 -0.000005 0.000000 0.000000 0.000000 0.000000
48 seen 0.017679 0.002698 -0.000410 -0.000038 0.000000 0.000000 0.000000 0.000000
49 in -0.005466 -0.000834 -0.000039 -0.000004 0.000000 0.000000 0.000000 0.000000
50 orbits. -0.018271 -0.002789 -0.000438 -0.000041 0.000000 0.000000 0.000000 0.000000
51 Quantum -0.015770 -0.002407 -0.000326 -0.000030 0.000000 0.000000 0.000000 0.000000
52 mechanics -0.018912 -0.002886 -0.000469 -0.000044 0.000000 0.000000 0.000000 0.000000
53 explores 0.002032 0.000310 -0.000005 -0.000001 0.000000 0.000000 0.000000 0.000000
54 tiny 0.011511 0.001757 -0.000174 -0.000016 0.000000 0.000000 0.000000 0.000000
55 particles, 0.002273 0.000347 -0.000007 -0.000001 0.000000 0.000000 0.000000 0.000000
56 where -0.002675 -0.000408 -0.000009 -0.000001 0.000000 0.000000 0.000000 0.000000
57 probability -0.001251 -0.000191 -0.000002 -0.000000 0.000000 0.000000 0.000000 0.000000
58 rules. 0.016929 0.002584 -0.000376 -0.000035 0.000000 0.000000 0.000000 0.000000
59 Experiments 0.036081 0.005507 -0.001709 -0.000159 0.000000 0.000000 0.000000 0.000000
60 test -0.001128 -0.000172 -0.000002 -0.000000 0.000000 0.000000 0.000000 0.000000
61 theories, -0.015371 -0.002346 -0.000310 -0.000029 0.000000 0.000000 0.000000 0.000000
62 dropping -0.001598 -0.000244 -0.000003 -0.000000 0.000000 0.000000 0.000000 0.000000
63 balls 0.013350 0.002037 -0.000234 -0.000022 0.000000 0.000000 0.000000 0.000000
64 to -0.246501 -0.037621 -0.079744 -0.007438 0.000000 0.000000 0.000000 0.000000
65 measure 0.009786 0.001494 -0.000126 -0.000012 0.000000 0.000000 0.000000 0.000000
66 acceleration. -0.019720 -0.003010 -0.000510 -0.000048 0.000000 0.000000 0.000000 0.000000
67 powers 0.006791 0.001037 -0.000061 -0.000006 0.000000 0.000000 0.000000 0.000000
68 technology, 0.003228 0.000493 -0.000014 -0.000001 0.000000 0.000000 0.000000 0.000000
69 from -0.015368 -0.002345 -0.000310 -0.000029 0.000000 0.000000 0.000000 0.000000
70 bridges -0.011788 -0.001799 -0.000182 -0.000017 0.000000 0.000000 0.000000 0.000000
71 lasers. 0.004601 0.000702 -0.000028 -0.000003 0.000000 0.000000 0.000000 0.000000
72 end_token -0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
