epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
5 1 Physics 0.000000 -0.020589 -0.020589 0.000000 0.000382 0.000382 0.000000 -0.000613 -0.000613 - + -
5 2 studies 0.000000 0.004995 0.004995 0.000000 0.000023 0.000023 0.000000 -0.000036 -0.000036 + + -
5 3 the 0.000000 0.010127 0.010127 0.000000 0.000092 0.000092 0.000000 -0.000148 -0.000148 + + -
5 4 universe’s 0.000000 0.017215 0.017215 0.000000 0.000267 0.000267 0.000000 -0.000428 -0.000428 + + -
5 5 laws, 0.000000 -0.001043 -0.001043 0.000000 0.000001 0.000001 0.000000 -0.000002 -0.000002 - + -
5 6 like 0.000000 0.016107 0.016107 0.000000 0.000234 0.000234 0.000000 -0.000375 -0.000375 + + -
5 7 motion, 0.000000 0.011485 0.011485 0.000000 0.000119 0.000119 0.000000 -0.000191 -0.000191 + + -
5 8 energy, 0.000000 0.016905 0.016905 0.000000 0.000258 0.000258 0.000000 -0.000413 -0.000413 + + -
5 9 and 0.000000 0.046595 0.046595 0.000000 0.001958 0.001958 0.000000 -0.003138 -0.003138 + + -
5 10 force. 0.000000 0.000093 0.000093 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 + + -
5 11 Mechanics 0.000000 0.005339 0.005339 0.000000 0.000026 0.000026 0.000000 -0.000041 -0.000041 + + -
5 12 describes 0.000000 -0.001153 -0.001153 0.000000 0.000001 0.000001 0.000000 -0.000002 -0.000002 - + -
5 13 how 0.000000 -0.031484 -0.031484 0.000000 0.000894 0.000894 0.000000 -0.001433 -0.001433 - + -
5 14 objects 0.000000 -0.059598 -0.059598 0.000000 0.003203 0.003203 0.000000 -0.005134 -0.005134 - + -
5 15 move—Newton’s 0.000000 0.015929 0.015929 0.000000 0.000229 0.000229 0.000000 -0.000367 -0.000367 + + -
5 16 laws 0.000000 0.037336 0.037336 0.000000 0.001257 0.001257 0.000000 -0.002015 -0.002015 + + -
5 17 say 0.000000 0.009106 0.009106 0.000000 0.000075 0.000075 0.000000 -0.000120 -0.000120 + + -
5 18 force 0.000000 -0.028535 -0.028535 0.000000 0.000734 0.000734 0.000000 -0.001177 -0.001177 - + -
5 19 equals 0.000000 0.009438 0.009438 0.000000 0.000080 0.000080 0.000000 -0.000129 -0.000129 + + -
5 20 mass 0.000000 -0.024995 -0.024995 0.000000 0.000563 0.000563 0.000000 -0.000903 -0.000903 - + -
5 21 times 0.000000 0.000868 0.000868 0.000000 0.000001 0.000001 0.000000 -0.000001 -0.000001 + + -
5 22 acceleration 0.000000 0.027826 0.027826 0.000000 0.000698 0.000698 0.000000 -0.001119 -0.001119 + + -
5 23 (F 0.000000 0.032595 0.032595 0.000000 0.000958 0.000958 0.000000 -0.001536 -0.001536 + + -
5 24 = 0.000000 0.035094 0.035094 0.000000 0.001111 0.001111 0.000000 -0.001780 -0.001780 + + -
5 25 ma). 0.000000 0.006984 0.006984 0.000000 0.000044 0.000044 0.000000 -0.000070 -0.000070 + + -
5 26 Thermodynamics 0.000000 0.019504 0.019504 0.000000 0.000343 0.000343 0.000000 -0.000550 -0.000550 + + -
5 27 examines 0.000000 -0.008113 -0.008113 0.000000 0.000059 0.000059 0.000000 -0.000095 -0.000095 - + -
5 28 heat 0.000000 -0.032555 -0.032555 0.000000 0.000956 0.000956 0.000000 -0.001532 -0.001532 - + -
