number word embedding pe weight bias1 bias2 bias3 bias4
1 1 0.177622 0.000000 0.218475 0.000000 0.000000 0.000000 0.000000
2 10 0.862574 0.011364 1.059736 0.000000 0.000000 0.000000 0.000000
3 2 0.179623 0.022727 0.218476 0.000000 0.000000 0.000000 0.000000
4 3 0.180624 0.034091 0.218478 0.000000 0.000000 0.000000 0.000000
5 4 0.181625 0.045455 0.218479 0.000000 0.000000 0.000000 0.000000
6 5 0.182626 0.056818 0.218480 0.000000 0.000000 0.000000 0.000000
7 6 0.183627 0.068182 0.218481 0.000000 0.000000 0.000000 0.000000
8 7 0.184628 0.079545 0.218482 0.000000 0.000000 0.000000 0.000000
9 8 0.185629 0.090909 0.218484 0.000000 0.000000 0.000000 0.000000
10 9 0.186630 0.102273 0.218485 0.000000 0.000000 0.000000 0.000000
11 airplane 0.118849 0.113636 0.133884 0.000000 0.000000 0.000000 0.000000
12 apartment 0.928393 0.125000 1.128393 0.000000 0.000000 0.000000 0.000000
13 apple 0.746647 0.136364 0.903616 0.000000 0.000000 0.000000 0.000000
14 automobile 0.701502 0.147727 0.846857 0.000000 0.000000 0.000000 0.000000
15 ballpoint 0.572826 0.159091 0.687356 0.000000 0.000000 0.000000 0.000000
16 banana 0.521470 0.170455 0.622958 0.000000 0.000000 0.000000 0.000000
17 big 0.503287 0.181818 0.599363 0.000000 0.000000 0.000000 0.000000
18 bird 0.097934 0.193182 0.099549 0.000000 0.000000 0.000000 0.000000
19 blanket 0.268022 0.204545 0.307527 0.000000 0.000000 0.000000 0.000000
20 blue 0.103301 0.215909 0.103690 0.000000 0.000000 0.000000 0.000000
21 book 0.107376 0.227273 0.107472 0.000000 0.000000 0.000000 0.000000
22 boot 0.108385 0.238636 0.107484 0.000000 0.000000 0.000000 0.000000
23 bread 1.002099 0.250000 1.205522 0.000000 0.000000 0.000000 0.000000
24 bus 0.510695 0.261364 0.599865 0.000000 0.000000 0.000000 0.000000
25 canine 0.674579 0.272727 0.800212 0.000000 0.000000 0.000000 0.000000
26 car 0.513123 0.284091 0.600391 0.000000 0.000000 0.000000 0.000000
27 carpet 0.827668 0.295455 0.986052 0.000000 0.000000 0.000000 0.000000
28 cat 0.515125 0.306818 0.600394 0.000000 0.000000 0.000000 0.000000
29 cellphone 0.731935 0.318182 0.865840 0.000000 0.000000 0.000000 0.000000
30 chair 0.831572 0.329545 0.987164 0.000000 0.000000 0.000000 0.000000
31 clock 0.991361 0.340909 1.182474 0.000000 0.000000 0.000000 0.000000
32 cloud 0.992948 0.352273 1.183196 0.000000 0.000000 0.000000 0.000000
33 coffee 0.994413 0.363636 1.183768 0.000000 0.000000 0.000000 0.000000
34 computer 0.502492 0.375000 0.577475 0.000000 0.000000 0.000000 0.000000
35 creek 0.200159 0.386364 0.204376 0.000000 0.000000 0.000000 0.000000
36 crimson 1.025816 0.397727 1.218704 0.000000 0.000000 0.000000 0.000000
37 dog 0.525663 0.409091 0.602286 0.000000 0.000000 0.000000 0.000000
38 elm 0.527659 0.420455 0.603511 0.000000 0.000000 0.000000 0.000000
39 end-token 0.682298 0.431818 0.792487 0.000000 0.000000 0.000000 0.000000
40 feline 0.767568 0.443182 0.896139 0.000000 0.000000 0.000000 0.000000
41 forest 0.839224 0.454545 0.983046 0.000000 0.000000 0.000000 0.000000
42 grape 0.946844 0.465909 1.114188 0.000000 0.000000 0.000000 0.000000
43 home 0.344926 0.477273 0.372599 0.000000 0.000000 0.000000 0.000000
44 house 0.048833 0.488636 0.007175 0.000000 0.000000 0.000000 0.000000
45 jacket 0.248919 0.500000 0.252050 0.000000 0.000000 0.000000 0.000000
46 kitten 0.493404 0.511364 0.551537 0.000000 0.000000 0.000000 0.000000
47 lake 0.477362 0.522727 0.530575 0.000000 0.000000 0.000000 0.000000
48 large 0.289736 0.534091 0.298565 0.000000 0.000000 0.000000 0.000000
49 magazine 0.962513 0.545455 1.124851 0.000000 0.000000 0.000000 0.000000
50 marker 0.199151 0.556818 0.184686 0.000000 0.000000 0.000000 0.000000
51 navy 0.553619 0.568182 0.619451 0.000000 0.000000 0.000000 0.000000
52 novel 0.172993 0.579545 0.150051 0.000000 0.000000 0.000000 0.000000
53 oak 0.553184 0.590909 0.616456 0.000000 0.000000 0.000000 0.000000
54 orange 1.026985 0.602273 1.198002 0.000000 0.000000 0.000000 0.000000
55 pear 0.633149 0.613636 0.712353 0.000000 0.000000 0.000000 0.000000
56 pen 0.557408 0.625000 0.617962 0.000000 0.000000 0.000000 0.000000
57 pencil 0.203680 0.636364 0.181646 0.000000 0.000000 0.000000 0.000000
58 phone 0.291943 0.647727 0.288980 0.000000 0.000000 0.000000 0.000000
59 puppy 0.761299 0.659091 0.865058 0.000000 0.000000 0.000000 0.000000
60 rainbow 0.785103 0.670455 0.893107 0.000000 0.000000 0.000000 0.000000
61 red 0.564576 0.681818 0.620629 0.000000 0.000000 0.000000 0.000000
62 river 0.711061 0.693182 0.799575 0.000000 0.000000 0.000000 0.000000
63 roll 0.724270 0.704545 0.814592 0.000000 0.000000 0.000000 0.000000
64 run 0.568114 0.715909 0.621290 0.000000 0.000000 0.000000 0.000000
65 screwdriver 0.096725 0.727273 0.040252 0.000000 0.000000 0.000000 0.000000
66 seat 0.751962 0.738636 0.844963 0.000000 0.000000 0.000000 0.000000
67 shirt 0.852319 0.750000 0.967172 0.000000 0.000000 0.000000 0.000000
68 shoe 0.757676 0.761364 0.849531 0.000000 0.000000 0.000000 0.000000
69 smartphone 0.388966 0.772727 0.394788 0.000000 0.000000 0.000000 0.000000
70 sofa 0.766998 0.784091 0.858538 0.000000 0.000000 0.000000 0.000000
71 solar 0.110582 0.795455 0.049916 0.000000 0.000000 0.000000 0.000000
72 sparrow 0.969771 0.806818 1.105488 0.000000 0.000000 0.000000 0.000000
73 spoon 0.152244 0.818182 0.098700 0.000000 0.000000 0.000000 0.000000
74 sprint 0.822445 0.829545 0.921817 0.000000 0.000000 0.000000 0.000000
75 star 0.777295 0.840909 0.865053 0.000000 0.000000 0.000000 0.000000
76 start-token 0.914489 0.852273 1.032571 0.000000 0.000000 0.000000 0.000000
77 stream 0.564337 0.863636 0.600655 0.000000 0.000000 0.000000 0.000000
78 sun 0.583203 0.875000 0.622630 0.000000 0.000000 0.000000 0.000000
79 table 0.790845 0.886364 0.876799 0.000000 0.000000 0.000000 0.000000
80 tea 0.585751 0.897727 0.623304 0.000000 0.000000 0.000000 0.000000
81 teacup 0.302471 0.909091 0.273639 0.000000 0.000000 0.000000 0.000000
