number word embedding pe weight bias1 bias2 bias3 bias4
1 # 0.177608 0.000000 0.218458 0.000000 0.000000 0.000000 0.000000
2 ## 0.862099 0.002174 1.059152 0.000000 0.000000 0.000000 0.000000
3 ### 0.418302 0.004348 0.512051 0.000000 0.000000 0.000000 0.000000
4 * 0.180615 0.006522 0.218466 0.000000 0.000000 0.000000 0.000000
5 ** 0.865337 0.008696 1.059445 0.000000 0.000000 0.000000 0.000000
6 **Black 0.266430 0.010870 0.321559 0.000000 0.000000 0.000000 0.000000
7 **Compiler** 0.932504 0.013043 1.139600 0.000000 0.000000 0.000000 0.000000
8 **Expected 0.206467 0.015217 0.245344 0.000000 0.000000 0.000000 0.000000
9 **Input** 0.698749 0.017391 0.849621 0.000000 0.000000 0.000000 0.000000
10 **Libraries** 0.477970 0.019565 0.576833 0.000000 0.000000 0.000000 0.000000
11 **Logs** 0.779826 0.021739 0.946886 0.000000 0.000000 0.000000 0.000000
12 **Magic** 0.690470 0.023913 0.835748 0.000000 0.000000 0.000000 0.000000
13 **No 1.010678 0.026087 1.228374 0.000000 0.000000 0.000000 0.000000
14 **OS** 0.580215 0.028261 0.697675 0.000000 0.000000 0.000000 0.000000
15 **Only 0.612875 0.030435 0.736616 0.000000 0.000000 0.000000 0.000000
16 **Output** 0.471894 0.032609 0.561980 0.000000 0.000000 0.000000 0.000000
17 **Role** 0.762623 0.034783 0.918346 0.000000 0.000000 0.000000 0.000000
18 **Run 0.978038 0.036957 1.182077 0.000000 0.000000 0.000000 0.000000
19 **Segfaults 0.712631 0.039130 0.854396 0.000000 0.000000 0.000000 0.000000
20 **Test 0.787985 0.041304 0.945852 0.000000 0.000000 0.000000 0.000000
21 **bypass_gl 0.642653 0.043478 0.765863 0.000000 0.000000 0.000000 0.000000
22 **locations 0.156909 0.045652 0.167168 0.000000 0.000000 0.000000 0.000000
23 **primitive 0.736226 0.047826 0.878498 0.000000 0.000000 0.000000 0.000000
24 **read_primitive 0.091173 0.050000 0.083853 0.000000 0.000000 0.000000 0.000000
25 **rgb 1.019412 0.052174 1.224357 0.000000 0.000000 0.000000 0.000000
26 **rgb_gl 0.253006 0.054348 0.280447 0.000000 0.000000 0.000000 0.000000
27 **state 0.685610 0.056522 0.811320 0.000000 0.000000 0.000000 0.000000
28 *Conjured 0.459297 0.058696 0.531725 0.000000 0.000000 0.000000 0.000000
29 *Scrying 0.294638 0.060870 0.327965 0.000000 0.000000 0.000000 0.000000
30 *Soul 0.495034 0.063043 0.573222 0.000000 0.000000 0.000000 0.000000
31 *Soulpen* 0.675919 0.065217 0.794480 0.000000 0.000000 0.000000 0.000000
32 *Spectral 0.462853 0.067391 0.531179 0.000000 0.000000 0.000000 0.000000
33 *The 0.077264 0.069565 0.055675 0.000000 0.000000 0.000000 0.000000
34 *necromancer’s 0.928402 0.071739 1.101344 0.000000 0.000000 0.000000 0.000000
35 *soulpen* 0.855183 0.073913 1.010055 0.000000 0.000000 0.000000 0.000000
36 +rw 0.462705 0.076087 0.526077 0.000000 0.000000 0.000000 0.000000
37 +x 0.897448 0.078261 1.059581 0.000000 0.000000 0.000000 0.000000
38 - 0.214618 0.080435 0.218470 0.000000 0.000000 0.000000 0.000000
39 --- 0.465532 0.082609 0.525864 0.000000 0.000000 0.000000 0.000000
40 -lGL 0.217097 0.084783 0.219059 0.000000 0.000000 0.000000 0.000000
41 -lGLU 0.917286 0.086957 1.079062 0.000000 0.000000 0.000000 0.000000
42 -lglut 0.177442 0.089130 0.167824 0.000000 0.000000 0.000000 0.000000
43 -lglut` 0.544682 0.091304 0.618299 0.000000 0.000000 0.000000 0.000000
44 -o 0.904505 0.093478 1.059651 0.000000 0.000000 0.000000 0.000000
45 /+x/0 1.009590 0.095652 1.187676 0.000000 0.000000 0.000000 0.000000
46 /+x/103 0.575234 0.097826 0.652188 0.000000 0.000000 0.000000 0.000000
