number word embedding pe weight bias1 bias2 bias3 bias4
1 am 0.863219 0.000000 1.061759 0.000000 0.000000 0.000000 0.000000
2 big 0.488287 0.033333 0.599363 0.000000 0.000000 0.000000 0.000000
3 books 0.885523 0.066667 1.086733 0.000000 0.000000 0.000000 0.000000
4 cat 0.491125 0.100000 0.600394 0.000000 0.000000 0.000000 0.000000
5 cats 0.112240 0.133333 0.133135 0.000000 0.000000 0.000000 0.000000
6 cold 0.128207 0.166667 0.151545 0.000000 0.000000 0.000000 0.000000
7 dog 0.495663 0.200000 0.602286 0.000000 0.000000 0.000000 0.000000
8 dogs 0.165994 0.233333 0.195563 0.000000 0.000000 0.000000 0.000000
9 eat 0.498303 0.266667 0.603073 0.000000 0.000000 0.000000 0.000000
10 end-token 0.653298 0.300000 0.792487 0.000000 0.000000 0.000000 0.000000
11 food 0.241117 0.333333 0.284274 0.000000 0.000000 0.000000 0.000000
12 games 0.318634 0.366667 0.378390 0.000000 0.000000 0.000000 0.000000
13 go 0.875419 0.400000 1.062005 0.000000 0.000000 0.000000 0.000000
14 happy 0.510191 0.433333 0.611545 0.000000 0.000000 0.000000 0.000000
15 he 0.877442 0.466667 1.062034 0.000000 0.000000 0.000000 0.000000
16 home 0.317926 0.500000 0.372599 0.000000 0.000000 0.000000 0.000000
17 i 0.193678 0.533333 0.218544 0.000000 0.000000 0.000000 0.000000
18 is 0.880489 0.566667 1.062091 0.000000 0.000000 0.000000 0.000000
19 it 0.881490 0.600000 1.062093 0.000000 0.000000 0.000000 0.000000
20 like 0.459074 0.633333 0.541291 0.000000 0.000000 0.000000 0.000000
21 likes 0.542557 0.666667 0.642745 0.000000 0.000000 0.000000 0.000000
22 love 0.467971 0.700000 0.549774 0.000000 0.000000 0.000000 0.000000
23 plays 0.385822 0.733333 0.447501 0.000000 0.000000 0.000000 0.000000
24 ran 0.527454 0.766667 0.620478 0.000000 0.000000 0.000000 0.000000
25 she 0.529765 0.800000 0.622091 0.000000 0.000000 0.000000 0.000000
26 start-token 0.864489 0.833333 1.032571 0.000000 0.000000 0.000000 0.000000
27 the 0.532854 0.866667 0.623430 0.000000 0.000000 0.000000 0.000000
28 they 0.753303 0.900000 0.893353 0.000000 0.000000 0.000000 0.000000
29 we 0.891937 0.933333 1.062643 0.000000 0.000000 0.000000 0.000000
30 you 0.541546 0.966667 0.630432 0.000000 0.000000 0.000000 0.000000
