number word embedding pe weight bias1 bias2 bias3 bias4
1 start-token 0.840188 0.000000 0.394383 0.000000 0.000000 0.000000 0.000000
2 f 0.783099 0.015385 0.798440 0.000000 0.000000 0.000000 0.000000
3 a 0.911647 0.030769 0.197551 0.000000 0.000000 0.000000 0.000000
4 r 0.335223 0.046154 0.768230 0.000000 0.000000 0.000000 0.000000
5 m 0.277775 0.061538 0.553970 0.000000 0.000000 0.000000 0.000000
6 h 0.477397 0.076923 0.628871 0.000000 0.000000 0.000000 0.000000
7 e 0.364784 0.092308 0.513401 0.000000 0.000000 0.000000 0.000000
8 l 0.952230 0.107692 0.916195 0.000000 0.000000 0.000000 0.000000
9 l 0.635712 0.123077 0.717297 0.000000 0.000000 0.000000 0.000000
10 o 0.141603 0.138462 0.606969 0.000000 0.000000 0.000000 0.000000
11 c 0.016301 0.153846 0.242887 0.000000 0.000000 0.000000 0.000000
12 a 0.137232 0.169231 0.804177 0.000000 0.000000 0.000000 0.000000
13 t 0.156679 0.184615 0.400944 0.000000 0.000000 0.000000 0.000000
14 s 0.129790 0.200000 0.108809 0.000000 0.000000 0.000000 0.000000
15 d 0.998924 0.215385 0.218257 0.000000 0.000000 0.000000 0.000000
16 o 0.512932 0.230769 0.839112 0.000000 0.000000 0.000000 0.000000
17 g 0.612640 0.246154 0.296032 0.000000 0.000000 0.000000 0.000000
18 s 0.637552 0.261538 0.524287 0.000000 0.000000 0.000000 0.000000
19 b 0.493583 0.276923 0.972775 0.000000 0.000000 0.000000 0.000000
20 i 0.292517 0.292308 0.771358 0.000000 0.000000 0.000000 0.000000
21 g 0.526745 0.307692 0.769914 0.000000 0.000000 0.000000 0.000000
22 f 0.400229 0.323077 0.891529 0.000000 0.000000 0.000000 0.000000
23 a 0.283315 0.338462 0.352458 0.000000 0.000000 0.000000 0.000000
24 t 0.807725 0.353846 0.919026 0.000000 0.000000 0.000000 0.000000
25 s 0.069755 0.369231 0.949327 0.000000 0.000000 0.000000 0.000000
26 m 0.525995 0.384615 0.086056 0.000000 0.000000 0.000000 0.000000
27 a 0.192214 0.400000 0.663227 0.000000 0.000000 0.000000 0.000000
28 l 0.890233 0.415385 0.348893 0.000000 0.000000 0.000000 0.000000
29 l 0.064171 0.430769 0.020023 0.000000 0.000000 0.000000 0.000000
30 c 0.457702 0.446154 0.063096 0.000000 0.000000 0.000000 0.000000
31 a 0.238280 0.461538 0.970634 0.000000 0.000000 0.000000 0.000000
32 t 0.902208 0.476923 0.850920 0.000000 0.000000 0.000000 0.000000
33 b 0.266666 0.492308 0.539760 0.000000 0.000000 0.000000 0.000000
34 o 0.375207 0.507692 0.760249 0.000000 0.000000 0.000000 0.000000
35 o 0.512535 0.523077 0.667724 0.000000 0.000000 0.000000 0.000000
36 k 0.531606 0.538462 0.039280 0.000000 0.000000 0.000000 0.000000
37 s 0.437638 0.553846 0.931835 0.000000 0.000000 0.000000 0.000000
38 r 0.930810 0.569231 0.720952 0.000000 0.000000 0.000000 0.000000
39 e 0.284293 0.584615 0.738534 0.000000 0.000000 0.000000 0.000000
40 a 0.639979 0.600000 0.354049 0.000000 0.000000 0.000000 0.000000
41 d 0.687861 0.615385 0.165974 0.000000 0.000000 0.000000 0.000000
42 w 0.440105 0.630769 0.880075 0.000000 0.000000 0.000000 0.000000
43 o 0.829201 0.646154 0.330337 0.000000 0.000000 0.000000 0.000000
44 r 0.228968 0.661538 0.893372 0.000000 0.000000 0.000000 0.000000
45 d 0.350360 0.676923 0.686670 0.000000 0.000000 0.000000 0.000000
46 s 0.956468 0.692308 0.588640 0.000000 0.000000 0.000000 0.000000
47 m 0.657304 0.707692 0.858676 0.000000 0.000000 0.000000 0.000000
48 a 0.439560 0.723077 0.923970 0.000000 0.000000 0.000000 0.000000
49 t 0.398437 0.738462 0.814767 0.000000 0.000000 0.000000 0.000000
50 c 0.684219 0.753846 0.910972 0.000000 0.000000 0.000000 0.000000
51 h 0.482491 0.769231 0.215825 0.000000 0.000000 0.000000 0.000000
52 t 0.950252 0.784615 0.920128 0.000000 0.000000 0.000000 0.000000
53 r 0.147660 0.800000 0.881062 0.000000 0.000000 0.000000 0.000000
54 e 0.641081 0.815385 0.431953 0.000000 0.000000 0.000000 0.000000
55 e 0.619596 0.830769 0.281059 0.000000 0.000000 0.000000 0.000000
56 s 0.786002 0.846154 0.307458 0.000000 0.000000 0.000000 0.000000
57 g 0.447034 0.861538 0.226107 0.000000 0.000000 0.000000 0.000000
58 r 0.187533 0.876923 0.276235 0.000000 0.000000 0.000000 0.000000
59 o 0.556444 0.892308 0.416501 0.000000 0.000000 0.000000 0.000000
60 w 0.169607 0.907692 0.906804 0.000000 0.000000 0.000000 0.000000
61 n 0.103171 0.923077 0.126075 0.000000 0.000000 0.000000 0.000000
62 i 0.495444 0.938462 0.760475 0.000000 0.000000 0.000000 0.000000
63 c 0.984752 0.953846 0.935004 0.000000 0.000000 0.000000 0.000000
64 e 0.684445 0.969231 0.383188 0.000000 0.000000 0.000000 0.000000
65 end-token 0.749771 0.984615 0.368664 0.000000 0.000000 0.000000 0.000000
