number word embedding pe weight bias1 bias2 bias3 bias4
1 start-token 0.840188 0.173354 0.394383 0.000000 0.000000 0.000000 0.000000
2 f 0.783099 0.333241 0.798440 0.000000 0.000000 0.000000 0.000000
3 a 0.911647 0.170878 0.197551 0.000000 0.000000 0.000000 0.000000
4 r 0.335223 0.064959 0.768230 0.000000 0.000000 0.000000 0.000000
5 m 0.277775 0.004254 0.553970 0.000000 0.000000 0.000000 0.000000
6 h 0.477397 0.024789 0.628871 0.000000 0.000000 0.000000 0.000000
7 e 0.364784 0.138713 0.513401 0.000000 0.000000 0.000000 0.000000
8 l 0.952230 0.428679 0.916195 0.000000 0.000000 0.000000 0.000000
9 l 0.635712 0.242329 0.717297 0.000000 0.000000 0.000000 0.000000
10 o 0.141603 0.057458 0.606969 0.000000 0.000000 0.000000 0.000000
11 c 0.016301 0.016275 0.242887 0.000000 0.000000 0.000000 0.000000
12 a 0.137232 0.121116 0.804177 0.000000 0.000000 0.000000 0.000000
13 t 0.156679 0.114881 0.400944 0.000000 0.000000 0.000000 0.000000
14 s 0.129790 0.080121 0.108809 0.000000 0.000000 0.000000 0.000000
15 d 0.998924 0.273470 0.218257 0.000000 0.000000 0.000000 0.000000
16 o 0.512932 0.066137 0.839112 0.000000 0.000000 0.000000 0.000000
17 g 0.612640 -0.145962 0.296032 0.000000 0.000000 0.000000 0.000000
18 s 0.637552 -0.105576 0.524287 0.000000 0.000000 0.000000 0.000000
19 b 0.493583 0.120248 0.972775 0.000000 0.000000 0.000000 0.000000
20 i 0.292517 0.177647 0.771358 0.000000 0.000000 0.000000 0.000000
21 g 0.526745 0.187235 0.769914 0.000000 0.000000 0.000000 0.000000
22 f 0.400229 0.004332 0.891529 0.000000 0.000000 0.000000 0.000000
23 a 0.283315 -0.118039 0.352458 0.000000 0.000000 0.000000 0.000000
24 t 0.807725 -0.228960 0.919026 0.000000 0.000000 0.000000 0.000000
25 s 0.069755 0.070832 0.949327 0.000000 0.000000 0.000000 0.000000
26 m 0.525995 0.161577 0.086056 0.000000 0.000000 0.000000 0.000000
27 a 0.192214 0.046983 0.663227 0.000000 0.000000 0.000000 0.000000
28 l 0.890233 0.063866 0.348893 0.000000 0.000000 0.000000 0.000000
29 l 0.064171 -0.127643 0.020023 0.000000 0.000000 0.000000 0.000000
30 c 0.457702 -0.171961 0.063096 0.000000 0.000000 0.000000 0.000000
31 a 0.238280 -0.066125 0.970634 0.000000 0.000000 0.000000 0.000000
32 t 0.902208 0.072740 0.850920 0.000000 0.000000 0.000000 0.000000
33 b 0.266666 0.063519 0.539760 0.000000 0.000000 0.000000 0.000000
34 o 0.375207 -0.089395 0.760249 0.000000 0.000000 0.000000 0.000000
35 o 0.512535 -0.248005 0.667724 0.000000 0.000000 0.000000 0.000000
36 k 0.531606 -0.222249 0.039280 0.000000 0.000000 0.000000 0.000000
37 s 0.437638 -0.202148 0.931835 0.000000 0.000000 0.000000 0.000000
38 r 0.930810 0.001613 0.720952 0.000000 0.000000 0.000000 0.000000
39 e 0.284293 0.050893 0.738534 0.000000 0.000000 0.000000 0.000000
40 a 0.639979 0.072809 0.354049 0.000000 0.000000 0.000000 0.000000
41 d 0.687861 -0.140350 0.165974 0.000000 0.000000 0.000000 0.000000
42 w 0.440105 -0.370646 0.880075 0.000000 0.000000 0.000000 0.000000
43 o 0.829201 -0.269722 0.330337 0.000000 0.000000 0.000000 0.000000
44 r 0.228968 0.004391 0.893372 0.000000 0.000000 0.000000 0.000000
45 d 0.350360 0.117534 0.686670 0.000000 0.000000 0.000000 0.000000
46 s 0.956468 0.197209 0.588640 0.000000 0.000000 0.000000 0.000000
47 m 0.657304 -0.180815 0.858676 0.000000 0.000000 0.000000 0.000000
48 a 0.439560 -0.357142 0.923970 0.000000 0.000000 0.000000 0.000000
49 t 0.398437 -0.236984 0.814767 0.000000 0.000000 0.000000 0.000000
50 c 0.684219 -0.055093 0.910972 0.000000 0.000000 0.000000 0.000000
51 h 0.482491 0.236246 0.215825 0.000000 0.000000 0.000000 0.000000
52 t 0.950252 0.270901 0.920128 0.000000 0.000000 0.000000 0.000000
53 r 0.147660 -0.162377 0.881062 0.000000 0.000000 0.000000 0.000000
54 e 0.641081 -0.275204 0.431953 0.000000 0.000000 0.000000 0.000000
55 e 0.619596 -0.271245 0.281059 0.000000 0.000000 0.000000 0.000000
56 s 0.786002 -0.062518 0.307458 0.000000 0.000000 0.000000 0.000000
57 g 0.447034 0.253635 0.226107 0.000000 0.000000 0.000000 0.000000
58 r 0.187533 0.194693 0.276235 0.000000 0.000000 0.000000 0.000000
59 o 0.556444 0.062395 0.416501 0.000000 0.000000 0.000000 0.000000
60 w 0.169607 -0.194465 0.906804 0.000000 0.000000 0.000000 0.000000
61 n 0.103171 -0.190317 0.126075 0.000000 0.000000 0.000000 0.000000
62 i 0.495444 0.009260 0.760475 0.000000 0.000000 0.000000 0.000000
63 c 0.984752 0.285902 0.935004 0.000000 0.000000 0.000000 0.000000
64 e 0.684445 0.390688 0.383188 0.000000 0.000000 0.000000 0.000000
65 end-token 0.749771 0.225702 0.368664 0.000000 0.000000 0.000000 0.000000
