number word embedding pe weight bias1 bias2 bias3 bias4
1 start-token 0.840188 0.000000 0.394383 0.000000 0.000000 0.000000 0.000000
2 f 0.783099 0.003077 0.798440 0.000000 0.000000 0.000000 0.000000
3 a 0.911647 0.006154 0.197551 0.000000 0.000000 0.000000 0.000000
4 r 0.335223 0.009231 0.768230 0.000000 0.000000 0.000000 0.000000
5 m 0.277775 0.012308 0.553970 0.000000 0.000000 0.000000 0.000000
6 h 0.477397 0.015385 0.628871 0.000000 0.000000 0.000000 0.000000
7 e 0.364784 0.018462 0.513401 0.000000 0.000000 0.000000 0.000000
8 l 0.952230 0.021538 0.916195 0.000000 0.000000 0.000000 0.000000
9 l 0.635712 0.024615 0.717297 0.000000 0.000000 0.000000 0.000000
10 o 0.141603 0.027692 0.606969 0.000000 0.000000 0.000000 0.000000
11 c 0.016301 0.030769 0.242887 0.000000 0.000000 0.000000 0.000000
12 a 0.137232 0.033846 0.804177 0.000000 0.000000 0.000000 0.000000
13 t 0.156679 0.036923 0.400944 0.000000 0.000000 0.000000 0.000000
14 s 0.129790 0.040000 0.108809 0.000000 0.000000 0.000000 0.000000
15 d 0.998924 0.043077 0.218257 0.000000 0.000000 0.000000 0.000000
16 o 0.512932 0.046154 0.839112 0.000000 0.000000 0.000000 0.000000
17 g 0.612640 0.049231 0.296032 0.000000 0.000000 0.000000 0.000000
18 s 0.637552 0.052308 0.524287 0.000000 0.000000 0.000000 0.000000
19 b 0.493583 0.055385 0.972775 0.000000 0.000000 0.000000 0.000000
20 i 0.292517 0.058462 0.771358 0.000000 0.000000 0.000000 0.000000
21 g 0.526745 0.061538 0.769914 0.000000 0.000000 0.000000 0.000000
22 f 0.400229 0.064615 0.891529 0.000000 0.000000 0.000000 0.000000
23 a 0.283315 0.067692 0.352458 0.000000 0.000000 0.000000 0.000000
24 t 0.807725 0.070769 0.919026 0.000000 0.000000 0.000000 0.000000
25 s 0.069755 0.073846 0.949327 0.000000 0.000000 0.000000 0.000000
26 m 0.525995 0.076923 0.086056 0.000000 0.000000 0.000000 0.000000
27 a 0.192214 0.080000 0.663227 0.000000 0.000000 0.000000 0.000000
28 l 0.890233 0.083077 0.348893 0.000000 0.000000 0.000000 0.000000
29 l 0.064171 0.086154 0.020023 0.000000 0.000000 0.000000 0.000000
30 c 0.457702 0.089231 0.063096 0.000000 0.000000 0.000000 0.000000
31 a 0.238280 0.092308 0.970634 0.000000 0.000000 0.000000 0.000000
32 t 0.902208 0.095385 0.850920 0.000000 0.000000 0.000000 0.000000
33 b 0.266666 0.098462 0.539760 0.000000 0.000000 0.000000 0.000000
34 o 0.375207 0.101538 0.760249 0.000000 0.000000 0.000000 0.000000
35 o 0.512535 0.104615 0.667724 0.000000 0.000000 0.000000 0.000000
36 k 0.531606 0.107692 0.039280 0.000000 0.000000 0.000000 0.000000
37 s 0.437638 0.110769 0.931835 0.000000 0.000000 0.000000 0.000000
38 r 0.930810 0.113846 0.720952 0.000000 0.000000 0.000000 0.000000
39 e 0.284293 0.116923 0.738534 0.000000 0.000000 0.000000 0.000000
40 a 0.639979 0.120000 0.354049 0.000000 0.000000 0.000000 0.000000
41 d 0.687861 0.123077 0.165974 0.000000 0.000000 0.000000 0.000000
42 w 0.440105 0.126154 0.880075 0.000000 0.000000 0.000000 0.000000
43 o 0.829201 0.129231 0.330337 0.000000 0.000000 0.000000 0.000000
