[2026-04-30 23:14:55] FrameRendered: at 2026-04-30 23:14:55 | Source: renderer
[2026-04-30 23:14:57] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-30 23:14:57] FrameRendered: at 2026-04-30 23:14:57 | Source: renderer
[2026-04-30 23:14:57] FrameRendered: at 2026-04-30 23:14:57 | Source: renderer
[2026-04-30 23:15:02] InputReceived: key_code=49 | Source: keyboard_linux
[2026-04-30 23:15:02] FrameRendered: at 2026-04-30 23:15:02 | Source: renderer
[2026-04-30 23:15:02] InputReceived: key_code=54 | Source: keyboard_linux
[2026-04-30 23:15:02] FrameRendered: at 2026-04-30 23:15:02 | Source: renderer
[2026-04-30 23:15:02] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-30 23:15:02] FrameRendered: at 2026-04-30 23:15:02 | Source: renderer
[2026-04-30 23:15:03] FrameRendered: at 2026-04-30 23:15:03 | Source: renderer
[2026-04-30 23:15:03] FrameRendered: at 2026-04-30 23:15:03 | Source: renderer
[2026-04-30 23:15:04] FrameRendered: at 2026-04-30 23:15:04 | Source: renderer
[2026-04-30 23:15:04] FrameRendered: at 2026-04-30 23:15:04 | Source: renderer
[2026-04-30 23:15:05] FrameRendered: at 2026-04-30 23:15:05 | Source: renderer
[2026-04-30 23:15:05] FrameRendered: at 2026-04-30 23:15:05 | Source: renderer
[2026-04-30 23:15:06] FrameRendered: at 2026-04-30 23:15:06 | Source: renderer
[2026-04-30 23:15:06] FrameRendered: at 2026-04-30 23:15:06 | Source: renderer
[2026-04-30 23:15:07] FrameRendered: at 2026-04-30 23:15:07 | Source: renderer
[2026-04-30 23:15:07] FrameRendered: at 2026-04-30 23:15:07 | Source: renderer
[2026-04-30 23:15:08] FrameRendered: at 2026-04-30 23:15:08 | Source: renderer
