[2026-02-14 22:44:32] CommandExecuted: Feed pet | Source: keyboard_input
[2026-02-14 22:44:32] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:05:15] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:05:15] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:05:17] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:05:17] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:05:18] CommandExecuted: Feed pet | Source: keyboard_input
[2026-02-14 23:05:18] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:25:22] CommandExecuted: Play with pet | Source: keyboard_input
[2026-02-14 23:25:22] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 65, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:26:54] CommandExecuted: Play with pet | Source: keyboard_input
[2026-02-14 23:26:54] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 65, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:30:12] CommandExecuted: Feed pet | Source: keyboard_input
[2026-02-14 23:30:12] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:30:13] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:30:13] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:30:15] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 30, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:32:10] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:32:10] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:32:10] StateUpdate: Pet state updated: {'pos_x': 5, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:34:53] MovementEvent: Move Right (key: d) | Source: keyboard_input
[2026-02-14 23:34:53] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:34:54] MovementEvent: Move Up (key: w) | Source: keyboard_input
[2026-02-14 23:34:54] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 4, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:34:55] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:34:55] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 5, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:34:55] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:34:55] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 6, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:34:55] MovementEvent: Move Down (key: s) | Source: keyboard_input
[2026-02-14 23:34:55] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
[2026-02-14 23:39:19] StateUpdate: Pet state updated: {'pos_x': 6, 'pos_y': 7, 'name': 'FuzzPet', 'hunger': 50, 'happiness': 50, 'energy': 50, 'level': 1} | Source: game_logic
