[2026-03-02 22:23:22] FrameComposed: 22 lines | Source: chtpm_parser
[2026-03-02 22:23:23] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:26] FrameComposed: 22 lines | Source: chtpm_parser
[2026-03-02 22:23:26] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:27] FrameComposed: 14 lines | Source: chtpm_parser
[2026-03-02 22:23:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:28] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:28] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:30] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:31] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:31] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:31] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:31] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:32] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:32] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:35] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:35] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:36] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:36] FrameRendered: from current_frame.txt | Source: renderer
[2026-03-02 22:23:37] FrameComposed: 36 lines | Source: chtpm_parser
[2026-03-02 22:23:37] FrameRendered: from current_frame.txt | Source: renderer
