[2026-04-22 20:39:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:11] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:13] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:15] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:16] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:17] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-22 20:40:19] FrameRendered: from current_frame.txt | Source: renderer
