[2026-04-22 19:55:44] FrameRendered: at 2026-04-22 19:55:44 | Source: renderer
[2026-04-22 19:55:46] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:55:46] FrameRendered: at 2026-04-22 19:55:46 | Source: renderer
[2026-04-22 19:55:46] FrameRendered: at 2026-04-22 19:55:46 | Source: renderer
[2026-04-22 19:55:46] FrameRendered: at 2026-04-22 19:55:46 | Source: renderer
[2026-04-22 19:55:47] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:55:47] FrameRendered: at 2026-04-22 19:55:47 | Source: renderer
[2026-04-22 19:55:47] FrameRendered: at 2026-04-22 19:55:47 | Source: renderer
[2026-04-22 19:55:48] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:55:48] FrameRendered: at 2026-04-22 19:55:48 | Source: renderer
[2026-04-22 19:55:49] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:55:49] FrameRendered: at 2026-04-22 19:55:49 | Source: renderer
[2026-04-22 19:55:50] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:55:50] FrameRendered: at 2026-04-22 19:55:50 | Source: renderer
[2026-04-22 19:55:50] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:55:50] FrameRendered: at 2026-04-22 19:55:50 | Source: renderer
[2026-04-22 19:55:50] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:55:50] FrameRendered: at 2026-04-22 19:55:50 | Source: renderer
[2026-04-22 19:55:51] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:55:51] FrameRendered: at 2026-04-22 19:55:51 | Source: renderer
[2026-04-22 19:55:52] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:55:52] FrameRendered: at 2026-04-22 19:55:52 | Source: renderer
[2026-04-22 19:55:52] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:55:52] FrameRendered: at 2026-04-22 19:55:52 | Source: renderer
[2026-04-22 19:55:53] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:55:53] FrameRendered: at 2026-04-22 19:55:53 | Source: renderer
[2026-04-22 19:55:54] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-04-22 19:55:54] FrameRendered: at 2026-04-22 19:55:54 | Source: renderer
[2026-04-22 19:55:55] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:55:55] FrameRendered: at 2026-04-22 19:55:55 | Source: renderer
[2026-04-22 19:55:55] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:55:55] FrameRendered: at 2026-04-22 19:55:55 | Source: renderer
[2026-04-22 19:55:56] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-04-22 19:55:56] FrameRendered: at 2026-04-22 19:55:56 | Source: renderer
[2026-04-22 19:55:57] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-04-22 19:55:57] FrameRendered: at 2026-04-22 19:55:57 | Source: renderer
[2026-04-22 19:55:57] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-04-22 19:55:57] FrameRendered: at 2026-04-22 19:55:57 | Source: renderer
[2026-04-22 19:55:59] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:56:00] FrameRendered: at 2026-04-22 19:56:00 | Source: renderer
[2026-04-22 19:56:00] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:56:00] FrameRendered: at 2026-04-22 19:56:00 | Source: renderer
[2026-04-22 19:56:00] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-22 19:56:00] FrameRendered: at 2026-04-22 19:56:00 | Source: renderer
[2026-04-22 19:56:01] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:56:01] FrameRendered: at 2026-04-22 19:56:01 | Source: renderer
[2026-04-22 19:56:01] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-22 19:56:01] FrameRendered: at 2026-04-22 19:56:01 | Source: renderer
[2026-04-22 19:56:03] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-04-22 19:56:03] FrameRendered: at 2026-04-22 19:56:03 | Source: renderer
[2026-04-22 19:56:03] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-04-22 19:56:03] FrameRendered: at 2026-04-22 19:56:03 | Source: renderer
