[2026-04-22 20:39:45] FrameRendered: at 2026-04-22 20:39:45 | Source: renderer
[2026-04-22 20:40:02] FrameRendered: at 2026-04-22 20:40:02 | Source: renderer
[2026-04-22 20:40:02] FrameRendered: at 2026-04-22 20:40:02 | Source: renderer
[2026-04-22 20:40:02] FrameRendered: at 2026-04-22 20:40:02 | Source: renderer
[2026-04-22 20:40:10] FrameRendered: at 2026-04-22 20:40:10 | Source: renderer
[2026-04-22 20:40:11] FrameRendered: at 2026-04-22 20:40:11 | Source: renderer
[2026-04-22 20:40:11] FrameRendered: at 2026-04-22 20:40:11 | Source: renderer
[2026-04-22 20:40:12] FrameRendered: at 2026-04-22 20:40:12 | Source: renderer
[2026-04-22 20:40:12] FrameRendered: at 2026-04-22 20:40:12 | Source: renderer
[2026-04-22 20:40:12] FrameRendered: at 2026-04-22 20:40:12 | Source: renderer
[2026-04-22 20:40:12] FrameRendered: at 2026-04-22 20:40:12 | Source: renderer
[2026-04-22 20:40:12] FrameRendered: at 2026-04-22 20:40:12 | Source: renderer
[2026-04-22 20:40:13] FrameRendered: at 2026-04-22 20:40:13 | Source: renderer
[2026-04-22 20:40:15] FrameRendered: at 2026-04-22 20:40:15 | Source: renderer
[2026-04-22 20:40:15] FrameRendered: at 2026-04-22 20:40:15 | Source: renderer
[2026-04-22 20:40:16] FrameRendered: at 2026-04-22 20:40:16 | Source: renderer
[2026-04-22 20:40:17] FrameRendered: at 2026-04-22 20:40:17 | Source: renderer
[2026-04-22 20:40:19] FrameRendered: at 2026-04-22 20:40:19 | Source: renderer
[2026-04-22 20:40:19] FrameRendered: at 2026-04-22 20:40:19 | Source: renderer
[2026-04-22 20:40:19] FrameRendered: at 2026-04-22 20:40:19 | Source: renderer
[2026-04-22 20:40:19] FrameRendered: at 2026-04-22 20:40:19 | Source: renderer
[2026-04-22 20:40:19] FrameRendered: at 2026-04-22 20:40:19 | Source: renderer
