[2026-04-23 01:55:56] FrameRendered: at 2026-04-23 01:55:56 | Source: renderer
[2026-04-23 01:55:58] FrameRendered: at 2026-04-23 01:55:58 | Source: renderer
[2026-04-23 01:55:58] FrameRendered: at 2026-04-23 01:55:58 | Source: renderer
[2026-04-23 01:55:58] FrameRendered: at 2026-04-23 01:55:58 | Source: renderer
[2026-04-23 01:55:59] FrameRendered: at 2026-04-23 01:55:59 | Source: renderer
[2026-04-23 01:56:00] FrameRendered: at 2026-04-23 01:56:00 | Source: renderer
[2026-04-23 01:56:00] FrameRendered: at 2026-04-23 01:56:00 | Source: renderer
[2026-04-23 01:56:00] FrameRendered: at 2026-04-23 01:56:00 | Source: renderer
[2026-04-23 01:56:01] FrameRendered: at 2026-04-23 01:56:01 | Source: renderer
[2026-04-23 01:56:01] FrameRendered: at 2026-04-23 01:56:01 | Source: renderer
[2026-04-23 01:56:02] FrameRendered: at 2026-04-23 01:56:02 | Source: renderer
[2026-04-23 01:56:04] FrameRendered: at 2026-04-23 01:56:04 | Source: renderer
[2026-04-23 01:56:05] FrameRendered: at 2026-04-23 01:56:05 | Source: renderer
[2026-04-23 01:56:06] FrameRendered: at 2026-04-23 01:56:06 | Source: renderer
[2026-04-23 01:56:06] FrameRendered: at 2026-04-23 01:56:06 | Source: renderer
[2026-04-23 01:56:06] FrameRendered: at 2026-04-23 01:56:06 | Source: renderer
[2026-04-23 01:56:08] FrameRendered: at 2026-04-23 01:56:08 | Source: renderer
[2026-04-23 01:56:09] FrameRendered: at 2026-04-23 01:56:09 | Source: renderer
[2026-04-23 01:56:10] FrameRendered: at 2026-04-23 01:56:10 | Source: renderer
[2026-04-23 01:56:11] FrameRendered: at 2026-04-23 01:56:11 | Source: renderer
[2026-04-23 01:56:11] FrameRendered: at 2026-04-23 01:56:11 | Source: renderer
[2026-04-23 01:56:16] FrameRendered: at 2026-04-23 01:56:16 | Source: renderer
[2026-04-23 01:56:21] FrameRendered: at 2026-04-23 01:56:21 | Source: renderer
[2026-04-23 01:56:26] FrameRendered: at 2026-04-23 01:56:26 | Source: renderer
