[2026-04-23 22:08:11] FrameRendered: at 2026-04-23 22:08:11 | Source: renderer
[2026-04-23 22:08:13] FrameRendered: at 2026-04-23 22:08:13 | Source: renderer
[2026-04-23 22:08:13] FrameRendered: at 2026-04-23 22:08:13 | Source: renderer
[2026-04-23 22:08:14] FrameRendered: at 2026-04-23 22:08:14 | Source: renderer
[2026-04-23 22:08:14] FrameRendered: at 2026-04-23 22:08:14 | Source: renderer
[2026-04-23 22:08:17] FrameRendered: at 2026-04-23 22:08:17 | Source: renderer
[2026-04-23 22:08:17] FrameRendered: at 2026-04-23 22:08:17 | Source: renderer
[2026-04-23 22:08:18] FrameRendered: at 2026-04-23 22:08:18 | Source: renderer
[2026-04-23 22:08:18] FrameRendered: at 2026-04-23 22:08:18 | Source: renderer
[2026-04-23 22:08:19] FrameRendered: at 2026-04-23 22:08:19 | Source: renderer
[2026-04-23 22:08:19] FrameRendered: at 2026-04-23 22:08:19 | Source: renderer
[2026-04-23 22:08:19] FrameRendered: at 2026-04-23 22:08:19 | Source: renderer
[2026-04-23 22:08:20] FrameRendered: at 2026-04-23 22:08:20 | Source: renderer
[2026-04-23 22:08:20] FrameRendered: at 2026-04-23 22:08:20 | Source: renderer
[2026-04-23 22:08:20] FrameRendered: at 2026-04-23 22:08:20 | Source: renderer
[2026-04-23 22:08:21] FrameRendered: at 2026-04-23 22:08:21 | Source: renderer
[2026-04-23 22:08:21] FrameRendered: at 2026-04-23 22:08:21 | Source: renderer
[2026-04-23 22:08:21] FrameRendered: at 2026-04-23 22:08:21 | Source: renderer
[2026-04-23 22:08:21] FrameRendered: at 2026-04-23 22:08:21 | Source: renderer
[2026-04-23 22:08:21] FrameRendered: at 2026-04-23 22:08:21 | Source: renderer
[2026-04-23 22:08:21] FrameRendered: at 2026-04-23 22:08:21 | Source: renderer
[2026-04-23 22:08:21] FrameRendered: at 2026-04-23 22:08:21 | Source: renderer
[2026-04-23 22:08:22] FrameRendered: at 2026-04-23 22:08:22 | Source: renderer
[2026-04-23 22:08:22] FrameRendered: at 2026-04-23 22:08:22 | Source: renderer
