[2026-04-24 20:26:00] FrameRendered: at 2026-04-24 20:26:00 | Source: renderer
[2026-04-24 20:26:01] InputReceived: key_code=52 | Source: keyboard_linux
[2026-04-24 20:26:01] FrameRendered: at 2026-04-24 20:26:01 | Source: renderer
[2026-04-24 20:26:01] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-24 20:26:01] FrameRendered: at 2026-04-24 20:26:01 | Source: renderer
[2026-04-24 20:26:04] FrameRendered: at 2026-04-24 20:26:04 | Source: renderer
[2026-04-24 20:26:08] FrameRendered: at 2026-04-24 20:26:08 | Source: renderer
[2026-04-24 20:26:08] FrameRendered: at 2026-04-24 20:26:08 | Source: renderer
[1777076769] EntityMoved: xlector | from (8,6) to (8,5)
[2026-04-24 20:26:09] FrameRendered: at 2026-04-24 20:26:09 | Source: renderer
[2026-04-24 20:26:09] FrameRendered: at 2026-04-24 20:26:09 | Source: renderer
[1777076769] EntityMoved: xlector | from (8,5) to (8,6)
[2026-04-24 20:26:09] FrameRendered: at 2026-04-24 20:26:09 | Source: renderer
[1777076769] EntityMoved: xlector | from (8,6) to (8,7)
[2026-04-24 20:26:09] FrameRendered: at 2026-04-24 20:26:09 | Source: renderer
[1777076770] EntityMoved: xlector | from (8,7) to (8,6)
[2026-04-24 20:26:10] FrameRendered: at 2026-04-24 20:26:10 | Source: renderer
[1777076770] EntityMoved: xlector | from (8,6) to (7,6)
[2026-04-24 20:26:10] FrameRendered: at 2026-04-24 20:26:10 | Source: renderer
[1777076771] EntityMoved: xlector | from (7,6) to (6,6)
[2026-04-24 20:26:11] FrameRendered: at 2026-04-24 20:26:11 | Source: renderer
[1777076771] EntityMoved: xlector | from (6,6) to (7,6)
[2026-04-24 20:26:11] FrameRendered: at 2026-04-24 20:26:11 | Source: renderer
[1777076771] EntityMoved: xlector | from (7,6) to (8,6)
[2026-04-24 20:26:11] FrameRendered: at 2026-04-24 20:26:11 | Source: renderer
[1777076772] EntityMoved: xlector | from (8,6) to (9,6)
[2026-04-24 20:26:12] FrameRendered: at 2026-04-24 20:26:12 | Source: renderer
[2026-04-24 20:26:12] FrameRendered: at 2026-04-24 20:26:12 | Source: renderer
[1777076772] EntityMoved: xlector | from (9,6) to (8,6)
[2026-04-24 20:26:12] FrameRendered: at 2026-04-24 20:26:12 | Source: renderer
[1777076773] EntityMoved: xlector | from (8,6) to (9,6)
[2026-04-24 20:26:13] FrameRendered: at 2026-04-24 20:26:13 | Source: renderer
[1777076775] EntityMoved: xlector | from (9,6) to (10,6)
[2026-04-24 20:26:15] FrameRendered: at 2026-04-24 20:26:15 | Source: renderer
[1777076775] EntityMoved: xlector | from (10,6) to (11,6)
[2026-04-24 20:26:15] FrameRendered: at 2026-04-24 20:26:15 | Source: renderer
[1777076776] EntityMoved: xlector | from (11,6) to (12,6)
[2026-04-24 20:26:16] FrameRendered: at 2026-04-24 20:26:16 | Source: renderer
[1777076776] EntityMoved: xlector | from (12,6) to (11,6)
[2026-04-24 20:26:16] FrameRendered: at 2026-04-24 20:26:16 | Source: renderer
[1777076777] EntityMoved: xlector | from (11,6) to (10,6)
[2026-04-24 20:26:17] FrameRendered: at 2026-04-24 20:26:17 | Source: renderer
