[2026-04-24 23:44:24] FrameRendered: at 2026-04-24 23:44:24 | Source: renderer
[2026-04-24 23:44:25] FrameRendered: at 2026-04-24 23:44:25 | Source: renderer
[2026-04-24 23:44:26] FrameRendered: at 2026-04-24 23:44:26 | Source: renderer
[2026-04-24 23:44:28] FrameRendered: at 2026-04-24 23:44:28 | Source: renderer
[2026-04-24 23:44:28] FrameRendered: at 2026-04-24 23:44:28 | Source: renderer
[2026-04-24 23:44:31] FrameRendered: at 2026-04-24 23:44:31 | Source: renderer
[2026-04-24 23:44:32] FrameRendered: at 2026-04-24 23:44:32 | Source: renderer
[2026-04-24 23:44:32] FrameRendered: at 2026-04-24 23:44:32 | Source: renderer
[2026-04-24 23:44:32] FrameRendered: at 2026-04-24 23:44:32 | Source: renderer
[2026-04-24 23:44:32] FrameRendered: at 2026-04-24 23:44:32 | Source: renderer
[2026-04-24 23:44:32] FrameRendered: at 2026-04-24 23:44:32 | Source: renderer
[2026-04-24 23:44:32] FrameRendered: at 2026-04-24 23:44:32 | Source: renderer
[2026-04-24 23:44:32] FrameRendered: at 2026-04-24 23:44:32 | Source: renderer
[2026-04-24 23:44:32] FrameRendered: at 2026-04-24 23:44:32 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:33] FrameRendered: at 2026-04-24 23:44:33 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:34] FrameRendered: at 2026-04-24 23:44:34 | Source: renderer
[2026-04-24 23:44:35] FrameRendered: at 2026-04-24 23:44:35 | Source: renderer
[2026-04-24 23:44:35] FrameRendered: at 2026-04-24 23:44:35 | Source: renderer
[2026-04-24 23:44:35] FrameRendered: at 2026-04-24 23:44:35 | Source: renderer
[2026-04-24 23:44:35] FrameRendered: at 2026-04-24 23:44:35 | Source: renderer
[2026-04-24 23:44:35] FrameRendered: at 2026-04-24 23:44:35 | Source: renderer
[2026-04-24 23:44:35] FrameRendered: at 2026-04-24 23:44:35 | Source: renderer
[2026-04-24 23:44:35] FrameRendered: at 2026-04-24 23:44:35 | Source: renderer
[2026-04-24 23:44:35] FrameRendered: at 2026-04-24 23:44:35 | Source: renderer
