[2026-03-21 15:41:51] FrameRendered: at 2026-03-21 15:41:51 | Source: renderer
[2026-03-21 15:41:52] InputReceived: key_code=13 | Source: orchestrator
[2026-03-21 15:41:52] FrameRendered: at 2026-03-21 15:41:52 | Source: renderer
[2026-03-21 15:41:53] InputReceived: key_code=50 | Source: orchestrator
[2026-03-21 15:41:53] FrameRendered: at 2026-03-21 15:41:53 | Source: renderer
[2026-03-21 15:41:53] InputReceived: key_code=13 | Source: orchestrator
[2026-03-21 15:41:53] FrameRendered: at 2026-03-21 15:41:53 | Source: renderer
[2026-03-21 15:41:57] InputReceived: key_code=49 | Source: orchestrator
[2026-03-21 15:41:57] FrameRendered: at 2026-03-21 15:41:57 | Source: renderer
[2026-03-21 15:41:57] InputReceived: key_code=49 | Source: orchestrator
[2026-03-21 15:41:57] FrameRendered: at 2026-03-21 15:41:57 | Source: renderer
[2026-03-21 15:41:59] InputReceived: key_code=49 | Source: orchestrator
[2026-03-21 15:41:59] FrameRendered: at 2026-03-21 15:41:59 | Source: renderer
[2026-03-21 15:41:59] InputReceived: key_code=50 | Source: orchestrator
[2026-03-21 15:41:59] FrameRendered: at 2026-03-21 15:41:59 | Source: renderer
[2026-03-21 15:42:02] InputReceived: key_code=51 | Source: orchestrator
[2026-03-21 15:42:02] FrameRendered: at 2026-03-21 15:42:02 | Source: renderer
[2026-03-21 15:42:03] InputReceived: key_code=52 | Source: orchestrator
[2026-03-21 15:42:03] FrameRendered: at 2026-03-21 15:42:03 | Source: renderer
[2026-03-21 15:42:03] InputReceived: key_code=13 | Source: orchestrator
[2026-03-21 15:42:03] FrameRendered: at 2026-03-21 15:42:03 | Source: renderer
[2026-03-21 15:42:03] FrameRendered: at 2026-03-21 15:42:03 | Source: renderer
[2026-03-21 15:42:04] InputReceived: key_code=13 | Source: orchestrator
[2026-03-21 15:42:04] FrameRendered: at 2026-03-21 15:42:04 | Source: renderer
[2026-03-21 15:42:05] InputReceived: key_code=1003 | Source: orchestrator
[2026-03-21 15:42:05] FrameRendered: at 2026-03-21 15:42:05 | Source: renderer
[1774132925] EntityMoved: selector | from (14,5) to (14,6)
[2026-03-21 15:42:05] FrameRendered: at 2026-03-21 15:42:05 | Source: renderer
[2026-03-21 15:42:05] FrameRendered: at 2026-03-21 15:42:05 | Source: renderer
[2026-03-21 15:42:05] InputReceived: key_code=1003 | Source: orchestrator
[1774132926] EntityMoved: selector | from (14,6) to (14,7)
[2026-03-21 15:42:06] FrameRendered: at 2026-03-21 15:42:06 | Source: renderer
[2026-03-21 15:42:06] FrameRendered: at 2026-03-21 15:42:06 | Source: renderer
[2026-03-21 15:42:06] FrameRendered: at 2026-03-21 15:42:06 | Source: renderer
[2026-03-21 15:42:06] InputReceived: key_code=1000 | Source: orchestrator
[2026-03-21 15:42:06] FrameRendered: at 2026-03-21 15:42:06 | Source: renderer
[1774132926] EntityMoved: selector | from (14,7) to (13,7)
[2026-03-21 15:42:06] FrameRendered: at 2026-03-21 15:42:06 | Source: renderer
[2026-03-21 15:42:06] FrameRendered: at 2026-03-21 15:42:06 | Source: renderer
[2026-03-21 15:42:06] InputReceived: key_code=1000 | Source: orchestrator
[1774132926] EntityMoved: selector | from (13,7) to (12,7)
[2026-03-21 15:42:06] FrameRendered: at 2026-03-21 15:42:06 | Source: renderer
[2026-03-21 15:42:06] FrameRendered: at 2026-03-21 15:42:06 | Source: renderer
