color_a,color_b,color_g,color_r,part,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,size_x,size_y,size_z,type,voxel_id
255.0,30.0,105.00,210.0,core,0.0,0.0,0.0,center,0.0,0.0,0.0,1.0,1.0,8.0,8.0,8.0,surface,voxel_000
255.0,143.0,143.00,188.0,crust,1.0,0.0,0.0,outer_layer,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,surface,voxel_001
255.0,143.0,143.00,188.0,crust,-1.0,0.0,0.0,outer_layer,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,surface,voxel_002
255.0,143.0,143.00,188.0,crust,0.0,1.0,0.0,outer_layer,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,surface,voxel_003
255.0,143.0,143.00,188.0,crust,0.0,-1.0,0.0,outer_layer,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,surface,voxel_004
255.0,143.0,143.00,188.0,crust,0.0,0.0,1.0,outer_layer,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,surface,voxel_005
255.0,143.0,143.00,188.0,crust,0.0,0.0,-1.0,outer_layer,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,surface,voxel_006
255.0,92.0,92.00,205.0,volcano,2.0,0.0,0.0,region,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_007
255.0,92.0,92.00,205.0,volcano,-2.0,0.0,0.0,region,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_008
255.0,92.0,92.00,205.0,volcano,0.0,2.0,0.0,region,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_009
255.0,92.0,92.00,205.0,volcano,0.0,-2.0,0.0,region,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_010
255.0,92.0,92.00,205.0,volcano,0.0,0.0,2.0,region,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_011
255.0,92.0,92.00,205.0,volcano,0.0,0.0,-2.0,region,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_012
255.0,19.0,69.00,139.0,crater,1.0,1.0,0.0,dry,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_013
255.0,19.0,69.00,139.0,crater,-1.0,1.0,0.0,dry,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_014
255.0,19.0,69.00,139.0,crater,-1.0,-1.0,0.0,dry,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_015
255.0,19.0,69.00,139.0,crater,1.0,-1.0,0.0,dry,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,biome,voxel_016
255.0,250.0,250.00,255.0,ice,1.5,1.5,0.0,frozen,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,biome,voxel_017
255.0,250.0,250.00,255.0,ice,-1.5,-1.5,0.0,frozen,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,biome,voxel_018
255.0,45.0,82.00,160.0,mountain,0.0,0.0,0.5,peak,0.0,0.0,0.0,1.0,1.0,1.2,1.2,0.5,biome,voxel_019
255.0,211.0,211.00,211.0,dust_storm,0.5,0.0,0.0,weather,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.8,atmosphere,voxel_020
255.0,211.0,211.00,211.0,dust_storm,-0.5,0.5,0.0,weather,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.8,atmosphere,voxel_021
255.0,211.0,211.00,211.0,dust_storm,0.0,-0.5,-0.5,weather,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.8,atmosphere,voxel_022
255.0,19.0,69.00,139.0,canyon,1.0,0.0,1.0,valley,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,biome,voxel_023
255.0,19.0,69.00,139.0,canyon,-1.0,0.0,1.0,valley,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,biome,voxel_024
255.0,30.0,105.00,210.0,plateau,0.0,1.0,1.0,rocky,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,biome,voxel_025
255.0,30.0,105.00,210.0,plateau,0.0,-1.0,1.0,rocky,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,biome,voxel_026
255.0,45.0,82.00,160.0,basin,1.0,1.0,1.0,dried,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,biome,voxel_027
255.0,45.0,82.00,160.0,basin,-1.0,-1.0,1.0,dried,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,biome,voxel_028
