[1773620083] Shadow sync: pet_01 pos_x=13, pos_y=5
[1773620083] Shadow sync: pet_01 pos_x=14, pos_y=5
[1773620083] Shadow sync: pet_01 pos_x=15, pos_y=5
[1773620084] Shadow sync: pet_01 pos_x=14, pos_y=5
[1773620084] Shadow sync: pet_01 pos_x=13, pos_y=5
[1773620496] Shadow sync: pet_01 pos_x=12, pos_y=5
[1773620496] Shadow sync: pet_01 pos_x=11, pos_y=5
[1773620976] Shadow sync: pet_02 pos_x=11, pos_y=4
[1773620977] Shadow sync: pet_02 pos_x=11, pos_y=3
[1773620977] Shadow sync: pet_02 pos_x=11, pos_y=4
[1773620977] Shadow sync: pet_02 pos_x=11, pos_y=5
[1773620978] Shadow sync: pet_02 pos_x=10, pos_y=5
[1773620978] Shadow sync: pet_02 pos_x=9, pos_y=5
[1773620979] Shadow sync: pet_02 pos_x=10, pos_y=5
[1773620979] Shadow sync: pet_02 pos_x=11, pos_y=5
[1773620979] Shadow sync: pet_02 pos_x=12, pos_y=5
[1773620979] Shadow sync: pet_02 pos_x=11, pos_y=5
[1773620980] Shadow sync: pet_02 pos_x=12, pos_y=5
[1773620980] Shadow sync: pet_02 pos_x=13, pos_y=5
[1773620980] Shadow sync: pet_02 pos_x=14, pos_y=5
[1773621606] Shadow sync: pet_01 pos_x=12, pos_y=5
[1773621606] Shadow sync: pet_01 pos_x=13, pos_y=5
[1773621607] Shadow sync: pet_01 pos_x=14, pos_y=5
[1773621607] Shadow sync: pet_01 pos_x=13, pos_y=5
[1773621607] Shadow sync: pet_01 pos_x=13, pos_y=4
[1773621987] Shadow sync: pet_01 pos_x=12, pos_y=4
[1773621988] Shadow sync: pet_01 pos_x=11, pos_y=4
[1773621988] Shadow sync: pet_01 pos_x=11, pos_y=3
[1773621988] Shadow sync: pet_01 pos_x=11, pos_y=2
[1773621989] Shadow sync: pet_01 pos_x=11, pos_y=3
[1773621989] Shadow sync: pet_01 pos_x=11, pos_y=4
[1773621990] Shadow sync: pet_01 pos_x=11, pos_y=5
[1773622146] Shadow sync: pet_01 pos_x=11, pos_y=4
[1773622146] Shadow sync: pet_01 pos_x=11, pos_y=3
[1773622147] Shadow sync: pet_01 pos_x=12, pos_y=3
[1773622576] Shadow sync: zombie_01 pos_x=11, pos_y=3
[1773622576] Shadow sync: zombie_01 pos_x=10, pos_y=3
[1773622577] Shadow sync: zombie_01 pos_x=10, pos_y=2
[1773622577] Shadow sync: zombie_01 pos_x=10, pos_y=3
[1773622577] Shadow sync: zombie_01 pos_x=10, pos_y=4
[1773622578] Shadow sync: zombie_01 pos_x=10, pos_y=3
[1773622579] Shadow sync: zombie_01 pos_x=10, pos_y=2
[1773623236] Shadow sync: pet_01 pos_x=12, pos_y=4
[1773623237] Shadow sync: pet_01 pos_x=12, pos_y=3
[1773623237] Shadow sync: pet_01 pos_x=12, pos_y=4
[1773623237] Shadow sync: pet_01 pos_x=12, pos_y=5
[1773623238] Shadow sync: pet_01 pos_x=11, pos_y=5
[1773623929] Shadow sync: pet_01 pos_x=11, pos_y=4
[1773623929] Shadow sync: pet_01 pos_x=11, pos_y=3
[1773623930] Shadow sync: pet_01 pos_x=11, pos_y=2
[1773623930] Shadow sync: pet_01 pos_x=10, pos_y=2
[1773623931] Shadow sync: pet_01 pos_x=9, pos_y=2
[1773623931] Shadow sync: pet_01 pos_x=10, pos_y=2
[1773623932] Shadow sync: pet_01 pos_x=11, pos_y=2
[1773623932] Shadow sync: pet_01 pos_x=10, pos_y=2
