[2026-04-03 08:11:52] FrameRendered: at 2026-04-03 08:11:52 | Source: renderer
[2026-04-03 08:11:53] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-03 08:11:53] FrameRendered: at 2026-04-03 08:11:53 | Source: renderer
[2026-04-03 08:11:53] FrameRendered: at 2026-04-03 08:11:53 | Source: renderer
[2026-04-03 08:11:55] InputReceived: key_code=52 | Source: keyboard_linux
[2026-04-03 08:11:55] FrameRendered: at 2026-04-03 08:11:55 | Source: renderer
[2026-04-03 08:11:55] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-03 08:11:55] FrameRendered: at 2026-04-03 08:11:55 | Source: renderer
[2026-04-03 08:11:56] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-03 08:11:56] FrameRendered: at 2026-04-03 08:11:56 | Source: renderer
[2026-04-03 08:11:56] InputReceived: key_code=1001 | Source: keyboard_linux
[2026-04-03 08:11:56] FrameRendered: at 2026-04-03 08:11:56 | Source: renderer
[1775229116] EntityMoved: selector | from (9,6) to (10,6)
[2026-04-03 08:11:56] FrameRendered: at 2026-04-03 08:11:56 | Source: renderer
[2026-04-03 08:11:57] InputReceived: key_code=1001 | Source: keyboard_linux
[1775229117] EntityMoved: selector | from (10,6) to (11,6)
[2026-04-03 08:11:57] FrameRendered: at 2026-04-03 08:11:57 | Source: renderer
[2026-04-03 08:11:57] FrameRendered: at 2026-04-03 08:11:57 | Source: renderer
[2026-04-03 08:11:57] FrameRendered: at 2026-04-03 08:11:57 | Source: renderer
[2026-04-03 08:11:58] InputReceived: key_code=1002 | Source: keyboard_linux
[2026-04-03 08:11:58] FrameRendered: at 2026-04-03 08:11:58 | Source: renderer
[1775229118] EntityMoved: selector | from (11,6) to (11,5)
[2026-04-03 08:11:58] FrameRendered: at 2026-04-03 08:11:58 | Source: renderer
[2026-04-03 08:11:58] InputReceived: key_code=1000 | Source: keyboard_linux
[2026-04-03 08:11:58] FrameRendered: at 2026-04-03 08:11:58 | Source: renderer
[1775229118] EntityMoved: selector | from (11,5) to (10,5)
[2026-04-03 08:11:58] FrameRendered: at 2026-04-03 08:11:58 | Source: renderer
[2026-04-03 08:11:58] FrameRendered: at 2026-04-03 08:11:58 | Source: renderer
[2026-04-03 08:11:59] InputReceived: key_code=1000 | Source: keyboard_linux
[1775229119] EntityMoved: selector | from (10,5) to (9,5)
[2026-04-03 08:11:59] FrameRendered: at 2026-04-03 08:11:59 | Source: renderer
[2026-04-03 08:11:59] FrameRendered: at 2026-04-03 08:11:59 | Source: renderer
[2026-04-03 08:11:59] FrameRendered: at 2026-04-03 08:11:59 | Source: renderer
[2026-04-03 08:12:00] InputReceived: key_code=50 | Source: keyboard_linux
[2026-04-03 08:12:00] FrameRendered: at 2026-04-03 08:12:00 | Source: renderer
[1775229120] EventFire: Scan (9,5): Wall (Impassable) | Source: scan_op
[2026-04-03 08:12:00] FrameRendered: at 2026-04-03 08:12:00 | Source: renderer
[2026-04-03 08:12:00] InputReceived: key_code=51 | Source: keyboard_linux
[2026-04-03 08:12:00] FrameRendered: at 2026-04-03 08:12:00 | Source: renderer
[1775229120] EventFire: Nothing to collect here. | Source: collect_op
[2026-04-03 08:12:00] FrameRendered: at 2026-04-03 08:12:00 | Source: renderer
