[2026-03-30 22:42:14] FrameRendered: at 2026-03-30 22:42:14 | Source: renderer
[2026-03-30 22:42:15] InputReceived: key_code=13 | Source: orchestrator
[2026-03-30 22:42:15] FrameRendered: at 2026-03-30 22:42:15 | Source: renderer
[2026-03-30 22:42:16] InputReceived: key_code=50 | Source: orchestrator
[2026-03-30 22:42:16] FrameRendered: at 2026-03-30 22:42:16 | Source: renderer
[2026-03-30 22:42:16] InputReceived: key_code=13 | Source: orchestrator
[2026-03-30 22:42:16] FrameRendered: at 2026-03-30 22:42:16 | Source: renderer
[2026-03-30 22:42:20] InputReceived: key_code=53 | Source: orchestrator
[2026-03-30 22:42:20] FrameRendered: at 2026-03-30 22:42:20 | Source: renderer
[2026-03-30 22:42:20] InputReceived: key_code=13 | Source: orchestrator
[2026-03-30 22:42:20] FrameRendered: at 2026-03-30 22:42:20 | Source: renderer
[2026-03-30 22:42:22] InputReceived: key_code=13 | Source: orchestrator
[2026-03-30 22:42:22] FrameRendered: at 2026-03-30 22:42:22 | Source: renderer
[2026-03-30 22:42:22] InputReceived: key_code=1000 | Source: orchestrator
[2026-03-30 22:42:22] FrameRendered: at 2026-03-30 22:42:22 | Source: renderer
[1774935742] EntityMoved: selector | from (11,5) to (10,5)
[2026-03-30 22:42:22] FrameRendered: at 2026-03-30 22:42:22 | Source: renderer
[2026-03-30 22:42:23] InputReceived: key_code=1003 | Source: orchestrator
[1774935743] EntityMoved: selector | from (10,5) to (10,6)
[2026-03-30 22:42:23] FrameRendered: at 2026-03-30 22:42:23 | Source: renderer
[2026-03-30 22:42:23] FrameRendered: at 2026-03-30 22:42:23 | Source: renderer
[2026-03-30 22:42:23] FrameRendered: at 2026-03-30 22:42:23 | Source: renderer
[2026-03-30 22:42:23] InputReceived: key_code=1003 | Source: orchestrator
[2026-03-30 22:42:23] FrameRendered: at 2026-03-30 22:42:23 | Source: renderer
[1774935743] EntityMoved: selector | from (10,6) to (10,7)
[2026-03-30 22:42:23] FrameRendered: at 2026-03-30 22:42:23 | Source: renderer
[2026-03-30 22:42:23] FrameRendered: at 2026-03-30 22:42:23 | Source: renderer
[2026-03-30 22:42:24] InputReceived: key_code=1001 | Source: orchestrator
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
[1774935744] EntityMoved: selector | from (10,7) to (11,7)
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
[2026-03-30 22:42:24] InputReceived: key_code=1001 | Source: orchestrator
[1774935744] EntityMoved: selector | from (11,7) to (12,7)
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
[2026-03-30 22:42:24] InputReceived: key_code=1001 | Source: orchestrator
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
[1774935744] EntityMoved: selector | from (12,7) to (13,7)
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
[2026-03-30 22:42:24] FrameRendered: at 2026-03-30 22:42:24 | Source: renderer
