[DEBUG] Manager starting with root: /home/no/.local/share/Trash/files/TPMOS_c_+rmmp_52.07/TPMOS_c_+rmmp_52.01
[DEBUG] Click at 1115,801 | Win 0 at 50,50 w=500 h=400
[DEBUG] Click at 442,61 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 442,61 | Win 0 at 50,50 w=500 h=400
[DEBUG] Drag START on window 0
[DEBUG] Drag END
[DEBUG] Click at 401,41 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 401,41 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 413,68 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 413,68 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 399,70 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 399,70 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 413,476 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 413,476 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 421,509 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 421,509 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 341,400 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 341,400 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 483,60 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 483,60 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 645,305 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 645,305 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 449,477 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 449,477 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 449,477 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 449,477 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 449,477 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 449,477 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 209,507 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 209,507 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 350,65 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 350,65 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 378,63 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 378,63 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 437,61 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 437,61 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 449,68 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 449,68 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 426,62 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 426,62 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 315,69 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 315,69 | Win 0 at 274,176 w=500 h=400
[DEBUG] Click at 425,55 | Win 1 at 841,796 w=150 h=100
[DEBUG] Click at 425,55 | Win 0 at 274,176 w=500 h=400
[DEBUG] Manager starting with root: /home/no/.local/share/Trash/files/TPMOS_c_+rmmp_52.07/TPMOS_c_+rmmp_52.01
