[2026-04-01 16:57:23] FrameRendered: at 2026-04-01 16:57:23 | Source: renderer
[2026-04-01 16:57:28] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-01 16:57:28] FrameRendered: at 2026-04-01 16:57:28 | Source: renderer
[2026-04-01 16:57:29] InputReceived: key_code=1003 | Source: keyboard_linux
[2026-04-01 16:57:29] FrameRendered: at 2026-04-01 16:57:29 | Source: renderer
[2026-04-01 16:57:30] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-01 16:57:30] FrameRendered: at 2026-04-01 16:57:30 | Source: renderer
[2026-04-01 16:57:30] FrameRendered: at 2026-04-01 16:57:30 | Source: renderer
[2026-04-01 16:57:32] InputReceived: key_code=53 | Source: keyboard_linux
[2026-04-01 16:57:32] FrameRendered: at 2026-04-01 16:57:32 | Source: renderer
[2026-04-01 16:57:32] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-01 16:57:32] FrameRendered: at 2026-04-01 16:57:32 | Source: renderer
[2026-04-01 16:57:33] InputReceived: key_code=1000 | Source: keyboard_linux
[2026-04-01 16:57:33] FrameRendered: at 2026-04-01 16:57:33 | Source: renderer
[2026-04-01 16:57:34] InputReceived: key_code=1000 | Source: keyboard_linux
[2026-04-01 16:57:34] FrameRendered: at 2026-04-01 16:57:34 | Source: renderer
[2026-04-01 16:57:34] InputReceived: key_code=13 | Source: keyboard_linux
[2026-04-01 16:57:34] FrameRendered: at 2026-04-01 16:57:34 | Source: renderer
[2026-04-01 16:57:34] InputReceived: key_code=1000 | Source: keyboard_linux
[2026-04-01 16:57:34] FrameRendered: at 2026-04-01 16:57:34 | Source: renderer
[1775087854] EntityMoved: selector | from (11,1) to (10,1)
[2026-04-01 16:57:34] FrameRendered: at 2026-04-01 16:57:34 | Source: renderer
[2026-04-01 16:57:35] InputReceived: key_code=50 | Source: keyboard_linux
[2026-04-01 16:57:35] FrameRendered: at 2026-04-01 16:57:35 | Source: renderer
[2026-04-01 16:57:35] FrameRendered: at 2026-04-01 16:57:35 | Source: renderer
[2026-04-01 16:57:36] InputReceived: key_code=51 | Source: keyboard_linux
[2026-04-01 16:57:36] FrameRendered: at 2026-04-01 16:57:36 | Source: renderer
[2026-04-01 16:57:36] FrameRendered: at 2026-04-01 16:57:36 | Source: renderer
[2026-04-01 16:57:38] InputReceived: key_code=27 | Source: keyboard_linux
[2026-04-01 16:57:38] FrameRendered: at 2026-04-01 16:57:38 | Source: renderer
