[2026-04-03 23:49:45] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:45] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:46] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:47] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-03 23:49:47] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-03 23:49:47] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-03 23:49:48] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-03 23:49:48] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:49] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:50] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-03 23:49:50] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-03 23:49:51] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-03 23:49:51] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:52] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-03 23:49:52] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-03 23:49:52] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-03 23:49:53] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-03 23:49:53] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:53] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-03 23:49:54] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-03 23:49:54] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-03 23:49:54] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-03 23:49:54] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-03 23:49:54] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-03 23:49:55] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-03 23:49:55] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-03 23:49:55] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-03 23:49:56] KeyCaptured: 1002 ('?') | Source: keyboard_linux
