[2026-03-06 00:57:27] ProcessRegister: orchestrator PID=43789
[2026-03-06 00:57:27] ProcessRegister: keyboard_input PID=43836
[2026-03-06 00:57:27] ProcessRegister: joystick_input PID=43839
[2026-03-06 00:57:27] ProcessRegister: response_handler PID=43842
[2026-03-06 00:57:27] ProcessRegister: chtpm_parser PID=43844
[2026-03-06 00:57:27] ProcessUnregister: joystick_input
[2026-03-06 00:57:27] FrameRendered: at 2026-03-06 00:57:27 | Source: renderer
[2026-03-06 00:57:27] ProcessRegister: clock_daemon PID=43863
[2026-03-06 00:57:27] ProcessRegister: gl_renderer PID=43865
[2026-03-06 00:57:27] ProcessRegister: renderer PID=43861
[2026-03-06 00:57:27] FrameRendered: at 2026-03-06 00:57:27 | Source: renderer
[2026-03-06 00:57:28] FrameRendered: at 2026-03-06 00:57:28 | Source: renderer
[2026-03-06 00:57:29] InputReceived: key_code=50 | Source: keyboard_input
[2026-03-06 00:57:29] FrameRendered: at 2026-03-06 00:57:29 | Source: renderer
[2026-03-06 00:57:29] InputReceived: key_code=13 | Source: keyboard_input
[2026-03-06 00:57:29] FrameRendered: at 2026-03-06 00:57:29 | Source: renderer
[2026-03-06 00:57:29] FrameRendered: at 2026-03-06 00:57:29 | Source: renderer
[2026-03-06 00:57:30] InputReceived: key_code=13 | Source: keyboard_input
[2026-03-06 00:57:30] ProcessRegister: fuzzpet_manager PID=43894
[2026-03-06 00:57:30] FrameRendered: at 2026-03-06 00:57:30 | Source: renderer
[2026-03-06 00:57:30] FrameRendered: at 2026-03-06 00:57:30 | Source: renderer
[2026-03-06 00:57:30] FrameRendered: at 2026-03-06 00:57:30 | Source: renderer
[2026-03-06 00:57:31] InputReceived: key_code=13 | Source: keyboard_input
[2026-03-06 00:57:31] FrameRendered: at 2026-03-06 00:57:31 | Source: renderer
[2026-03-06 00:57:31] FrameRendered: at 2026-03-06 00:57:31 | Source: renderer
[2026-03-06 00:57:32] InputReceived: key_code=1002 | Source: keyboard_input
[2026-03-06 00:57:32] StateChange: selector pos_x 5 | Trigger: piece_manager_set_state
[2026-03-06 00:57:32] StateChange: selector pos_y 4 | Trigger: piece_manager_set_state
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] InputReceived: key_code=1002 | Source: keyboard_input
[2026-03-06 00:57:32] StateChange: selector pos_x 5 | Trigger: piece_manager_set_state
[2026-03-06 00:57:32] StateChange: selector pos_y 3 | Trigger: piece_manager_set_state
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] InputReceived: key_code=1002 | Source: keyboard_input
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] StateChange: selector pos_x 5 | Trigger: piece_manager_set_state
[2026-03-06 00:57:32] StateChange: selector pos_y 2 | Trigger: piece_manager_set_state
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] FrameRendered: at 2026-03-06 00:57:32 | Source: renderer
[2026-03-06 00:57:32] InputReceived: key_code=13 | Source: keyboard_input
