[2026-03-03 21:57:36] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 21:57:36] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 21:57:37] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 21:57:39] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 21:57:39] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 21:57:40] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 21:57:40] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 21:57:41] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:01:28] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:01:29] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:01:30] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:01:31] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:01:32] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:01:32] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:01:33] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:01:33] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:01:33] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:01:34] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:01:34] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:01:34] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:01:34] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:01:35] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:01:35] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:01:35] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:01:36] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:01:36] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:01:36] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:48] KeyCaptured: 50 ('2') | Source: keyboard_input
[2026-03-03 22:02:48] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:02:49] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:02:50] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:51] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:51] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:02:52] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:52] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:53] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:53] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:53] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:54] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:02:54] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:54] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:02:56] KeyCaptured: 57 ('9') | Source: keyboard_input
[2026-03-03 22:02:57] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:02:57] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:02:57] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:02:58] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:02:58] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:02:59] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:02:59] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:03:00] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:03:01] KeyCaptured: 57 ('9') | Source: keyboard_input
[2026-03-03 22:03:02] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:07:14] KeyCaptured: 50 ('2') | Source: keyboard_input
[2026-03-03 22:07:15] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:07:15] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:07:17] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:07:18] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:07:18] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:07:19] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:07:19] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:07:19] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:07:20] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:07:20] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:07:21] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:07:21] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:07:22] KeyCaptured: 57 ('9') | Source: keyboard_input
[2026-03-03 22:07:23] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:07:23] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:07:23] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:07:23] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:07:24] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:07:24] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:07:24] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:07:25] KeyCaptured: 57 ('9') | Source: keyboard_input
[2026-03-03 22:07:26] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:07:59] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:08:00] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:08:01] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:08:02] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:08:03] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:08:03] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:04] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-03 22:08:04] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:08:04] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:04] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:05] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:05] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:05] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:06] KeyCaptured: 57 ('9') | Source: keyboard_input
[2026-03-03 22:08:07] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:08:07] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:08:07] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:08:08] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:08:08] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:08] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:08] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:08:09] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:08:09] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:08:09] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:08:10] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:08:10] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-03 22:08:10] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:08:10] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:08:10] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:08:11] KeyCaptured: 50 ('2') | Source: keyboard_input
[2026-03-03 22:08:13] KeyCaptured: 57 ('9') | Source: keyboard_input
[2026-03-03 22:09:09] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:09:10] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-03 22:09:11] KeyCaptured: 51 ('3') | Source: keyboard_input
[2026-03-03 22:09:12] KeyCaptured: 52 ('4') | Source: keyboard_input
[2026-03-03 22:54:06] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:54:07] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-03 22:54:07] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-03 22:54:08] KeyCaptured: 13 ('?') | Source: keyboard_input
