[2026-03-04 01:48:45] FrameRendered: at 2026-03-04 01:48:45 | Source: renderer
[2026-03-04 01:48:48] InputReceived: key_code=1003 | Source: keyboard_input
[2026-03-04 01:48:48] FrameRendered: at 2026-03-04 01:48:48 | Source: renderer
[2026-03-04 01:48:49] InputReceived: key_code=13 | Source: keyboard_input
[2026-03-04 01:48:49] FrameRendered: at 2026-03-04 01:48:49 | Source: renderer
[2026-03-04 01:48:50] InputReceived: key_code=13 | Source: keyboard_input
[2026-03-04 01:48:50] FrameRendered: at 2026-03-04 01:48:50 | Source: renderer
[2026-03-04 01:48:50] FrameRendered: at 2026-03-04 01:48:50 | Source: renderer
[2026-03-04 01:48:52] InputReceived: key_code=13 | Source: keyboard_input
[2026-03-04 01:48:52] FrameRendered: at 2026-03-04 01:48:52 | Source: renderer
[2026-03-04 01:48:53] InputReceived: key_code=1002 | Source: keyboard_input
[2026-03-04 01:48:53] FrameRendered: at 2026-03-04 01:48:53 | Source: renderer
[2026-03-04 01:48:53] StateChange: selector pos_x 5 | Trigger: piece_manager_set_state
[2026-03-04 01:48:53] StateChange: selector pos_y 4 | Trigger: piece_manager_set_state
[2026-03-04 01:48:53] FrameRendered: at 2026-03-04 01:48:53 | Source: renderer
[2026-03-04 01:48:53] FrameRendered: at 2026-03-04 01:48:53 | Source: renderer
[2026-03-04 01:48:53] FrameRendered: at 2026-03-04 01:48:53 | Source: renderer
[2026-03-04 01:48:53] InputReceived: key_code=1002 | Source: keyboard_input
[2026-03-04 01:48:53] FrameRendered: at 2026-03-04 01:48:53 | Source: renderer
[2026-03-04 01:48:53] StateChange: selector pos_x 5 | Trigger: piece_manager_set_state
[2026-03-04 01:48:53] StateChange: selector pos_y 3 | Trigger: piece_manager_set_state
[2026-03-04 01:48:53] FrameRendered: at 2026-03-04 01:48:53 | Source: renderer
[2026-03-04 01:48:53] FrameRendered: at 2026-03-04 01:48:53 | Source: renderer
[2026-03-04 01:48:54] InputReceived: key_code=1002 | Source: keyboard_input
[2026-03-04 01:48:54] FrameRendered: at 2026-03-04 01:48:54 | Source: renderer
[2026-03-04 01:48:54] StateChange: selector pos_x 5 | Trigger: piece_manager_set_state
[2026-03-04 01:48:54] StateChange: selector pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:48:54] FrameRendered: at 2026-03-04 01:48:54 | Source: renderer
[2026-03-04 01:48:54] FrameRendered: at 2026-03-04 01:48:54 | Source: renderer
[2026-03-04 01:48:55] InputReceived: key_code=13 | Source: keyboard_input
[2026-03-04 01:48:55] FrameRendered: at 2026-03-04 01:48:55 | Source: renderer
[2026-03-04 01:48:55] FrameRendered: at 2026-03-04 01:48:55 | Source: renderer
[2026-03-04 01:48:56] InputReceived: key_code=1001 | Source: keyboard_input
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] StateChange: pet_01 pos_x 6 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] StateChange: pet_01 pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] StateChange: selector pos_x 6 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] StateChange: selector pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] InputReceived: key_code=1001 | Source: keyboard_input
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] StateChange: pet_01 pos_x 7 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] StateChange: pet_01 pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] StateChange: selector pos_x 7 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] StateChange: selector pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] InputReceived: key_code=1001 | Source: keyboard_input
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] StateChange: pet_01 pos_x 8 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] StateChange: pet_01 pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] StateChange: selector pos_x 8 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] StateChange: selector pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:56] FrameRendered: at 2026-03-04 01:48:56 | Source: renderer
[2026-03-04 01:48:57] InputReceived: key_code=50 | Source: keyboard_input
[2026-03-04 01:48:57] FrameRendered: at 2026-03-04 01:48:57 | Source: renderer
[2026-03-04 01:48:57] FrameRendered: at 2026-03-04 01:48:57 | Source: renderer
[2026-03-04 01:48:58] InputReceived: key_code=51 | Source: keyboard_input
[2026-03-04 01:48:58] FrameRendered: at 2026-03-04 01:48:58 | Source: renderer
[2026-03-04 01:48:58] FrameRendered: at 2026-03-04 01:48:58 | Source: renderer
[2026-03-04 01:49:00] InputReceived: key_code=57 | Source: keyboard_input
[2026-03-04 01:49:00] FrameRendered: at 2026-03-04 01:49:00 | Source: renderer
[2026-03-04 01:49:00] FrameRendered: at 2026-03-04 01:49:00 | Source: renderer
[2026-03-04 01:49:00] InputReceived: key_code=1001 | Source: keyboard_input
[2026-03-04 01:49:00] FrameRendered: at 2026-03-04 01:49:00 | Source: renderer
[2026-03-04 01:49:00] StateChange: selector pos_x 9 | Trigger: piece_manager_set_state
[2026-03-04 01:49:00] StateChange: selector pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:49:00] FrameRendered: at 2026-03-04 01:49:00 | Source: renderer
[2026-03-04 01:49:00] FrameRendered: at 2026-03-04 01:49:00 | Source: renderer
[2026-03-04 01:49:01] InputReceived: key_code=1001 | Source: keyboard_input
[2026-03-04 01:49:01] FrameRendered: at 2026-03-04 01:49:01 | Source: renderer
[2026-03-04 01:49:01] StateChange: selector pos_x 10 | Trigger: piece_manager_set_state
[2026-03-04 01:49:01] StateChange: selector pos_y 2 | Trigger: piece_manager_set_state
[2026-03-04 01:49:01] FrameRendered: at 2026-03-04 01:49:01 | Source: renderer
[2026-03-04 01:49:01] FrameRendered: at 2026-03-04 01:49:01 | Source: renderer
[2026-03-04 01:49:01] InputReceived: key_code=1003 | Source: keyboard_input
[2026-03-04 01:49:01] FrameRendered: at 2026-03-04 01:49:01 | Source: renderer
[2026-03-04 01:49:01] StateChange: selector pos_x 10 | Trigger: piece_manager_set_state
[2026-03-04 01:49:01] StateChange: selector pos_y 3 | Trigger: piece_manager_set_state
[2026-03-04 01:49:01] FrameRendered: at 2026-03-04 01:49:01 | Source: renderer
[2026-03-04 01:49:01] FrameRendered: at 2026-03-04 01:49:01 | Source: renderer
[2026-03-04 01:49:03] InputReceived: key_code=50 | Source: keyboard_input
[2026-03-04 01:49:03] FrameRendered: at 2026-03-04 01:49:03 | Source: renderer
[RESPONSE] selector: Entities: pet_01 pet_02 selector 
[2026-03-04 01:49:03] FrameRendered: at 2026-03-04 01:49:03 | Source: renderer
[2026-03-04 01:49:05] InputReceived: key_code=1003 | Source: keyboard_input
[2026-03-04 01:49:05] FrameRendered: at 2026-03-04 01:49:05 | Source: renderer
[2026-03-04 01:49:05] StateChange: selector pos_x 10 | Trigger: piece_manager_set_state
[2026-03-04 01:49:05] StateChange: selector pos_y 4 | Trigger: piece_manager_set_state
[2026-03-04 01:49:05] FrameRendered: at 2026-03-04 01:49:05 | Source: renderer
[2026-03-04 01:49:05] FrameRendered: at 2026-03-04 01:49:05 | Source: renderer
[2026-03-04 01:49:05] InputReceived: key_code=1003 | Source: keyboard_input
[2026-03-04 01:49:05] FrameRendered: at 2026-03-04 01:49:05 | Source: renderer
[2026-03-04 01:49:05] StateChange: selector pos_x 10 | Trigger: piece_manager_set_state
[2026-03-04 01:49:05] StateChange: selector pos_y 5 | Trigger: piece_manager_set_state
[2026-03-04 01:49:05] FrameRendered: at 2026-03-04 01:49:05 | Source: renderer
[2026-03-04 01:49:05] FrameRendered: at 2026-03-04 01:49:05 | Source: renderer
[2026-03-04 01:49:05] FrameRendered: at 2026-03-04 01:49:05 | Source: renderer
[2026-03-04 01:49:06] InputReceived: key_code=13 | Source: keyboard_input
[2026-03-04 01:49:06] FrameRendered: at 2026-03-04 01:49:06 | Source: renderer
[2026-03-04 01:49:06] FrameRendered: at 2026-03-04 01:49:06 | Source: renderer
[2026-03-04 01:49:08] InputReceived: key_code=1002 | Source: keyboard_input
[2026-03-04 01:49:08] StateChange: pet_02 pos_x 10 | Trigger: piece_manager_set_state
[2026-03-04 01:49:08] FrameRendered: at 2026-03-04 01:49:08 | Source: renderer
[2026-03-04 01:49:08] StateChange: pet_02 pos_y 4 | Trigger: piece_manager_set_state
[2026-03-04 01:49:08] FrameRendered: at 2026-03-04 01:49:08 | Source: renderer
[2026-03-04 01:49:08] StateChange: selector pos_x 10 | Trigger: piece_manager_set_state
[2026-03-04 01:49:08] StateChange: selector pos_y 4 | Trigger: piece_manager_set_state
[2026-03-04 01:49:08] FrameRendered: at 2026-03-04 01:49:08 | Source: renderer
[2026-03-04 01:49:08] FrameRendered: at 2026-03-04 01:49:08 | Source: renderer
[2026-03-04 01:49:08] FrameRendered: at 2026-03-04 01:49:08 | Source: renderer
[2026-03-04 01:49:09] InputReceived: key_code=1002 | Source: keyboard_input
[2026-03-04 01:49:09] FrameRendered: at 2026-03-04 01:49:09 | Source: renderer
[2026-03-04 01:49:09] StateChange: pet_02 pos_x 10 | Trigger: piece_manager_set_state
[2026-03-04 01:49:09] StateChange: pet_02 pos_y 3 | Trigger: piece_manager_set_state
[2026-03-04 01:49:09] FrameRendered: at 2026-03-04 01:49:09 | Source: renderer
[2026-03-04 01:49:09] StateChange: selector pos_x 10 | Trigger: piece_manager_set_state
[2026-03-04 01:49:09] StateChange: selector pos_y 3 | Trigger: piece_manager_set_state
[2026-03-04 01:49:09] FrameRendered: at 2026-03-04 01:49:09 | Source: renderer
[2026-03-04 01:49:09] FrameRendered: at 2026-03-04 01:49:09 | Source: renderer
[2026-03-04 01:49:10] InputReceived: key_code=57 | Source: keyboard_input
[2026-03-04 01:49:10] FrameRendered: at 2026-03-04 01:49:10 | Source: renderer
[2026-03-04 01:49:10] FrameRendered: at 2026-03-04 01:49:10 | Source: renderer
[2026-03-04 01:49:10] InputReceived: key_code=1001 | Source: keyboard_input
[2026-03-04 01:49:10] FrameRendered: at 2026-03-04 01:49:10 | Source: renderer
[2026-03-04 01:49:10] StateChange: selector pos_x 11 | Trigger: piece_manager_set_state
