[2026-03-10 04:37:48] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-10 04:37:48] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-10 04:37:49] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-10 04:37:50] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-10 04:37:51] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-10 04:37:51] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-10 04:37:52] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-10 04:37:53] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-10 04:37:53] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-10 04:37:54] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-10 04:37:54] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:54] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:54] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:54] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:55] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:55] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-10 04:37:55] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-10 04:37:55] KeyCaptured: 1003 ('?') | Source: keyboard_input
[2026-03-10 04:37:55] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:55] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:56] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:56] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-10 04:37:56] KeyCaptured: 1001 ('?') | Source: keyboard_input
[2026-03-10 04:37:57] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-10 04:37:57] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-10 04:37:57] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-10 04:37:58] KeyCaptured: 1002 ('?') | Source: keyboard_input
[2026-03-10 04:37:58] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-10 04:37:59] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-10 04:38:00] KeyCaptured: 1000 ('?') | Source: keyboard_input
[2026-03-10 04:38:00] KeyCaptured: 13 ('?') | Source: keyboard_input
[2026-03-10 04:38:04] KeyCaptured: 1001 ('?') | Source: keyboard_input
