[2026-04-16 07:28:05] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:28:06] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:28:18] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:28:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:28:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:28:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:28:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:36:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:36:59] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:36:59] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:16] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:18] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:19] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:20] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:21] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:21] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:23] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 07:39:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 04:46:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 04:46:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 04:46:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 04:46:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 04:46:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 04:46:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 04:46:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:26] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:28] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:29] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:53:32] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:27] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:30] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:31] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:34] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-04-16 21:56:44] FrameRendered: from current_frame.txt | Source: renderer
