AminoAcid,3Letter,1Letter,Property,Hydrophobicity,MW,pKa_COOH,pKa_NH3,pKa_Side,pI,AtomIndex,AtomSymbol,X,Y,Z
# Your existing lines from Glycine to Tyrosine go here (copy from your file, ensuring no truncation)
# ... (insert your 13 amino acids' atom lines)

# Generated missing amino acids:
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,1,N,-1.4475670689513205,-1.467464318888402,-1.0923117443882426
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,2,C,-0.6891473680177714,-0.8039296778752221,0.0007517411976838607
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,3,C,0.6328330160983111,-0.2663446026049638,-0.545777043141074
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,4,C,1.5271701677108698,0.21833460146947756,0.5727533624397865
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,5,N,2.704067756225892,0.7678070406946457,0.15417412325693464
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,6,O,1.2640035460431323,0.12667948916553007,1.7653308223305317
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,7,C,-1.581199828353597,0.2732840829113134,0.6345736878708017
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,8,O,-1.2230864111297066,1.542209990657567,0.35954769984028756
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,9,O,-2.6116011499002787,0.05582491639937243,1.2570451986997944
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,10,H,-1.7472506402301504,-0.7607351650729137,-1.7649701119589907
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,11,H,-2.3119923915158482,-1.837133933982698,-0.6867784422591464
Asparagine,Asn,N,Polar (uncharged),-3.5,132.12,2.02,8.8,-,5.41,12,H,-0.4851366695860313,-1.548096360349473,0.7800880029672804
