AminoAcid,Atom1,Atom2,BondOrder
# Your existing lines from Glycine to Tyrosine go here (copy from your file, ensuring no truncation)
# ... (insert your bonds for the 13 amino acids)

# Generated missing amino acids:
Asparagine,1,2,1.0
Asparagine,2,3,1.0
Asparagine,3,4,1.0
Asparagine,4,5,1.0
Asparagine,4,6,2.0
Asparagine,2,7,1.0
Asparagine,7,8,1.0
Asparagine,7,9,2.0
Asparagine,1,10,1.0
Asparagine,1,11,1.0
Asparagine,2,12,1.0
Asparagine,3,13,1.0
Asparagine,3,14,1.0
Asparagine,5,15,1.0
Asparagine,5,16,1.0
Asparagine,8,17,1.0
Glutamine,1,2,1.0
Glutamine,2,3,1.0
Glutamine,3,4,1.0
Glutamine,4,5,1.0
Glutamine,5,6,1.0
Glutamine,5,7,2.0
Glutamine,2,8,1.0
Glutamine,8,9,1.0
Glutamine,8,10,2.0
Glutamine,1,11,1.0
Glutamine,1,12,1.0
Glutamine,2,13,1.0
Glutamine,3,14,1.0
Glutamine,3,15,1.0
Glutamine,4,16,1.0
Glutamine,4,17,1.0
Glutamine,6,18,1.0
Glutamine,6,19,1.0
Glutamine,9,20,1.0
Aspartic Acid,1,2,1.0
Aspartic Acid,2,3,1.0
Aspartic Acid,3,4,1.0
Aspartic Acid,4,5,1.0
Aspartic Acid,4,6,2.0
Aspartic Acid,2,7,1.0
Aspartic Acid,7,8,1.0
Aspartic Acid,7,9,2.0
Aspartic Acid,1,10,1.0
Aspartic Acid,1,11,1.0
Aspartic Acid,2,12,1.0
Aspartic Acid,3,13,1.0
Aspartic Acid,3,14,1.0
Aspartic Acid,5,15,1.0
Aspartic Acid,8,16,1.0
Glutamic Acid,1,2,1.0
Glutamic Acid,2,3,1.0
Glutamic Acid,3,4,1.0
Glutamic Acid,4,5,1.0
Glutamic Acid,5,6,1.0
Glutamic Acid,5,7,2.0
Glutamic Acid,2,8,1.0
Glutamic Acid,8,9,1.0
Glutamic Acid,8,10,2.0
Glutamic Acid,1,11,1.0
Glutamic Acid,1,12,1.0
Glutamic Acid,2,13,1.0
Glutamic Acid,3,14,1.0
Glutamic Acid,3,15,1.0
Glutamic Acid,4,16,1.0
Glutamic Acid,4,17,1.0
Glutamic Acid,6,18,1.0
Glutamic Acid,9,19,1.0
Lysine,1,2,1.0
Lysine,2,3,1.0
Lysine,3,4,1.0
Lysine,4,5,1.0
Lysine,5,6,1.0
Lysine,6,7,1.0
Lysine,2,8,1.0
Lysine,8,9,1.0
Lysine,8,10,2.0
Lysine,1,11,1.0
Lysine,1,12,1.0
Lysine,2,13,1.0
Lysine,3,14,1.0
Lysine,3,15,1.0
Lysine,4,16,1.0
Lysine,4,17,1.0
Lysine,5,18,1.0
Lysine,5,19,1.0
Lysine,6,20,1.0
Lysine,6,21,1.0
Lysine,7,22,1.0
Lysine,7,23,1.0
Lysine,9,24,1.0
Arginine,1,2,1.0
Arginine,2,3,1.0
Arginine,3,4,1.0
Arginine,4,5,1.0
Arginine,5,6,1.0
Arginine,6,7,1.0
Arginine,7,8,1.0
Arginine,7,9,2.0
Arginine,2,10,1.0
Arginine,10,11,1.0
Arginine,10,12,2.0
Arginine,1,13,1.0
Arginine,1,14,1.0
Arginine,2,15,1.0
Arginine,3,16,1.0
Arginine,3,17,1.0
Arginine,4,18,1.0
Arginine,4,19,1.0
Arginine,5,20,1.0
Arginine,5,21,1.0
Arginine,6,22,1.0
Arginine,8,23,1.0
Arginine,8,24,1.0
Arginine,9,25,1.0
Arginine,11,26,1.0
Histidine,1,2,1.0
Histidine,2,3,1.0
Histidine,3,4,1.0
Histidine,4,5,1.5
Histidine,5,6,1.5
Histidine,6,7,1.5
Histidine,7,8,1.5
Histidine,2,9,1.0
Histidine,9,10,1.0
Histidine,9,11,2.0
Histidine,8,4,1.5
Histidine,1,12,1.0
Histidine,1,13,1.0
Histidine,2,14,1.0
Histidine,3,15,1.0
Histidine,3,16,1.0
Histidine,5,17,1.0
Histidine,7,18,1.0
Histidine,8,19,1.0
Histidine,10,20,1.0
